n,Find Unrolled (O1),Find Unrolled (O2),Find Unrolled (O3),Find Unrolled (Os),Find Unrolled (Oz),Find (O1),Find (O2),Find (O3),Find (Os),Find (Oz),Insert Cache (O1),Insert Cache (O2),Insert Cache (O3),Insert Cache (Os),Insert Cache (Oz),Heap Cache (O1),Heap Cache (O2),Heap Cache (O3),Heap Cache (Os),Heap Cache (Oz),Tournament Tree (O1),Tournament Tree (O2),Tournament Tree (O3),Tournament Tree (Os),Tournament Tree (Oz),State Machine Cache (O1),State Machine Cache (O2),State Machine Cache (O3),State Machine Cache (Os),State Machine Cache (Oz)
3,120,120,119,122,120,398,399,553,442,428,162,166,172,170,171,221,230,229,228,228,177,169,169,219,224,133,127,118,128,131
4,194,197,195,195,192,567,570,678,614,598,240,247,255,249,249,317,307,304,311,310,306,299,300,362,377,205,195,185,199,202
5,281,271,284,268,282,723,726,851,773,757,317,327,336,325,324,421,396,390,400,405,451,441,441,513,534,294,293,266,302,304
6,364,366,375,358,362,865,852,999,902,909,401,414,435,400,399,572,529,533,528,549,541,517,516,624,634,536,487,476,510,521
7,478,475,477,476,490,1104,1006,1140,1079,1065,482,490,525,483,486,738,685,686,687,710,731,710,705,821,847,0,0,0,0,0
8,596,573,594,586,592,1318,1240,1312,1315,1291,574,587,651,578,580,848,785,784,793,806,850,826,825,959,987,0,0,0,0,0
9,699,693,693,694,684,1329,1376,1504,1475,1408,667,682,758,680,681,981,895,892,916,941,1066,1043,1039,1227,1229,0,0,0,0,0
10,878,876,887,892,870,1459,1500,1664,1606,1552,770,786,877,783,789,1145,1051,1045,1074,1113,1228,1203,1197,1344,1418,0,0,0,0,0
11,1066,1060,1049,1049,1050,1614,1690,1852,1805,1737,884,897,989,910,922,1367,1265,1255,1286,1332,1408,1382,1373,1545,1649,0,0,0,0,0
12,1260,1298,1276,1270,1255,1810,1857,2055,1987,1907,982,1012,1112,1024,1038,1525,1423,1409,1438,1493,1470,1439,1449,1634,1758,0,0,0,0,0
13,1545,1565,1569,1560,1551,2033,2026,2223,2155,2060,1090,1117,1367,1130,1136,1729,1599,1600,1625,1684,1799,1750,1739,1949,2015,0,0,0,0,0
14,1814,1813,1894,1834,1813,2139,2207,2404,2346,2243,1197,1237,1552,1251,1247,1943,1834,1821,1839,1897,1951,1887,1882,2094,2190,0,0,0,0,0
15,2102,2073,2113,2058,2100,2301,2399,2575,2592,2434,1312,1365,1475,1370,1370,2180,2058,2052,2065,2138,2109,2043,2045,2284,2364,0,0,0,0,0
16,2423,2500,2437,2400,2408,2473,2634,2740,2778,2645,1429,1475,1582,1492,1484,2283,2186,2176,2191,2265,2258,2185,2181,2438,2521,0,0,0,0,0
17,2733,2746,2755,2753,2781,2921,2684,2990,2902,2729,1561,1601,1814,1608,1609,2437,2307,2308,2354,2435,2532,2452,2450,2730,2822,0,0,0,0,0
18,3040,3003,3005,3023,3002,3096,2815,3185,3033,2896,1685,1722,1996,1747,1746,2599,2491,2479,2529,2645,2804,2698,2700,2999,3111,0,0,0,0,0
19,3465,3512,3481,3515,3467,3243,2977,3348,3215,3057,1821,1851,2569,1879,1884,2815,2685,2680,2759,2873,3082,2968,2966,3290,3401,0,0,0,0,0
20,3735,3716,3721,3741,3830,3429,3141,3524,3386,3219,1960,1992,2689,2010,2012,2971,2860,2844,2904,3053,3305,3161,3162,3512,3635,0,0,0,0,0
