COMPILER_VERSION 15.1.1 20250528
ARRAY_LENGTH 10000000
ARRAY_COUNT 20
ITER_COUNT 1
NUM_TESTS 30
SEED 1759287768

Init: 12341

## MERGING 3 LISTS ##
Baseline (copy+sort) 482
Name                                     | Success | Init   | Min, Med, Max     | Standard Deviation | Error Msg
----------------------------------------------------------------------------------------------------------------
Find Unrolled (O3)                       | true    |      ? |       119,119,119 |             0.0000 |
Find (O1)                                | true    |      ? |       398,398,398 |             0.0000 |
Find (O3)                                | true    |      ? |       553,553,553 |             0.0000 |
Find (Oz)                                | true    |      ? |       428,428,428 |             0.0000 |
Heap Cache (Oz)                          | true    |      ? |       228,228,228 |             0.0000 |
Heap Cache (Os)                          | true    |      ? |       228,228,228 |             0.0000 |
Insert Cache (O2)                        | true    |      ? |       166,166,166 |             0.0000 |
Heap Cache (O1)                          | true    |      ? |       221,221,221 |             0.0000 |
Heap Cache (O3)                          | true    |      ? |       229,229,229 |             0.0000 |
Find Unrolled (O2)                       | true    |      ? |       120,120,120 |             0.0000 |
Tournament Tree (Oz)                     | true    |      ? |       224,224,224 |             0.0000 |
Tournament Tree (O1)                     | true    |      ? |       177,177,177 |             0.0000 |
Find (O2)                                | true    |      ? |       399,399,399 |             0.0000 |
State Machine Cache (O2)                 | true    |      ? |       127,127,127 |             0.0000 |
Tournament Tree (O3)                     | true    |      ? |       169,169,169 |             0.0000 |
Find (Os)                                | true    |      ? |       442,442,442 |             0.0000 |
Find Unrolled (Oz)                       | true    |      ? |       120,120,120 |             0.0000 |
Tournament Tree (O2)                     | true    |      ? |       169,169,169 |             0.0000 |
State Machine Cache (O1)                 | true    |      ? |       133,133,133 |             0.0000 |
Insert Cache (O3)                        | true    |      ? |       172,172,172 |             0.0000 |
Find Unrolled (O1)                       | true    |      ? |       120,120,120 |             0.0000 |
Insert Cache (Oz)                        | true    |      ? |       171,171,171 |             0.0000 |
Insert Cache (O1)                        | true    |      ? |       162,162,162 |             0.0000 |
Tournament Tree (Os)                     | true    |      ? |       219,219,219 |             0.0000 |
State Machine Cache (O3)                 | true    |      ? |       118,118,118 |             0.0000 |
Heap Cache (O2)                          | true    |      ? |       230,230,230 |             0.0000 |
Find Unrolled (Os)                       | true    |      ? |       122,122,122 |             0.0000 |
State Machine Cache (Oz)                 | true    |      ? |       131,131,131 |             0.0000 |
Insert Cache (Os)                        | true    |      ? |       170,170,170 |             0.0000 |
State Machine Cache (Os)                 | true    |      ? |       128,128,128 |             0.0000 |

## MERGING 4 LISTS ##
Baseline (copy+sort) 1063
Name                                     | Success | Init   | Min, Med, Max     | Standard Deviation | Error Msg
----------------------------------------------------------------------------------------------------------------
Find Unrolled (O3)                       | true    |      ? |       195,195,195 |             0.0000 |
Find (O1)                                | true    |      ? |       567,567,567 |             0.0000 |
Find (O3)                                | true    |      ? |       678,678,678 |             0.0000 |
