n,Find Unrolled,Find,Insert Cache,Heap Cache,Tournament Tree,State Machine Cache
3,22,223,23,46,47,16
4,30,306,31,61,63,22
5,49,383,38,77,80,27
6,82,451,46,92,97,33
7,124,527,54,108,115,0
8,175,607,62,123,132,0
9,242,736,70,139,148,0
10,320,823,77,155,165,0
11,413,906,85,170,180,0
12,517,1001,92,186,196,0
13,633,1073,100,197,209,0
14,764,1148,107,212,225,0
15,934,1287,116,232,245,0
16,1095,1376,123,243,258,0
17,1290,1508,130,260,277,0
18,1523,1562,137,274,296,0
19,1750,1644,145,289,315,0
20,2033,1746,153,304,336,0
