COMPILER_VERSION 15.1.1 20250528
ARRAY_LENGTH 10000000
ARRAY_COUNT 20
ITER_COUNT 1
NUM_TESTS 30
TEST_TYPE ordered
SEED 1759363683

Init: 14334

## MERGING 3 LISTS ##
Baseline (copy+sort) 193
Name                                     | Success | Init   | Min, Med, Max     | Standard Deviation | Error Msg
----------------------------------------------------------------------------------------------------------------
Find (Os)                                | true    |      ? |       224,224,224 |             0.0000 |
Find Unrolled (O1)                       | true    |      ? |          23,23,23 |             0.0000 |
Heap Cache (O3)                          | true    |      ? |       186,186,186 |             0.0000 |
State Machine Cache (Oz)                 | true    |      ? |          20,20,20 |             0.0000 |
Find Unrolled (O2)                       | true    |      ? |          22,22,22 |             0.0000 |
Heap Cache (O2)                          | true    |      ? |       186,186,186 |             0.0000 |
Find Unrolled (O3)                       | true    |      ? |          22,22,22 |             0.0000 |
State Machine Cache (O1)                 | true    |      ? |          17,17,17 |             0.0000 |
Find (Oz)                                | true    |      ? |       226,226,226 |             0.0000 |
Find (O2)                                | true    |      ? |       223,223,223 |             0.0000 |
State Machine Cache (Os)                 | true    |      ? |          20,20,20 |             0.0000 |
Insert Cache (O2)                        | true    |      ? |          34,34,34 |             0.0000 |
Insert Cache (Os)                        | true    |      ? |          23,23,23 |             0.0000 |
Tournament Tree (Os)                     | true    |      ? |          77,77,77 |             0.0000 |
Tournament Tree (O1)                     | true    |      ? |          58,58,58 |             0.0000 |
Insert Cache (O1)                        | true    |      ? |          42,42,42 |             0.0000 |
Insert Cache (Oz)                        | true    |      ? |          23,23,23 |             0.0000 |
Insert Cache (O3)                        | true    |      ? |          48,48,48 |             0.0000 |
Heap Cache (Oz)                          | true    |      ? |       186,186,186 |             0.0000 |
State Machine Cache (O3)                 | true    |      ? |          16,16,16 |             0.0000 |
Heap Cache (Os)                          | true    |      ? |       186,186,186 |             0.0000 |
State Machine Cache (O2)                 | true    |      ? |          17,17,17 |             0.0000 |
Find (O3)                                | true    |      ? |       363,363,363 |             0.0000 |
Tournament Tree (Oz)                     | true    |      ? |          78,78,78 |             0.0000 |
Find Unrolled (Oz)                       | true    |      ? |          22,22,22 |             0.0000 |
Tournament Tree (O3)                     | true    |      ? |          47,47,47 |             0.0000 |
Heap Cache (O1)                          | true    |      ? |          46,46,46 |             0.0000 |
Find (O1)                                | true    |      ? |       224,224,224 |             0.0000 |
Tournament Tree (O2)                     | true    |      ? |          47,47,47 |             0.0000 |
Find Unrolled (Os)                       | true    |      ? |          22,22,22 |             0.0000 |

## MERGING 4 LISTS ##
Baseline (copy+sort) 263
Name                                     | Success | Init   | Min, Med, Max     | Standard Deviation | Error Msg
----------------------------------------------------------------------------------------------------------------
Find (Os)                                | true    |      ? |       307,307,307 |             0.0000 |
Find Unrolled (O1)                       | true    |      ? |          32,32,32 |             0.0000 |
Heap Cache (O3)                          | true    |      ? |       247,247,247 |             0.0000 |
State Machine Cache (Oz)                 | true    |      ? |          25,25,25 |             0.0000 |
Find Unrolled (O2)                       | true    |      ? |          30,30,30 |             0.0000 |
Heap Cache (O2)                          | true    |      ? |       248,248,248 |             0.0000 |
Find Unrolled (O3)                       | true    |      ? |          31,31,31 |             0.0000 |
State Machine Cache (O1)                 | true    |      ? |          24,24,24 |             0.0000 |
Find (Oz)                                | true    |      ? |       314,314,314 |             0.0000 |
Find (O2)                                | true    |      ? |       306,306,306 |             0.0000 |
State Machine Cache (Os)                 | true    |      ? |          28,28,28 |             0.0000 |
Insert Cache (O2)                        | true    |      ? |          31,31,31 |             0.0000 |
Insert Cache (Os)                        | true    |      ? |          31,31,31 |             0.0000 |
Tournament Tree (Os)                     | true    |      ? |       104,104,104 |             0.0000 |
Tournament Tree (O1)                     | true    |      ? |          78,78,78 |             0.0000 |
Insert Cache (O1)                        | true    |      ? |          56,56,56 |             0.0000 |
Insert Cache (Oz)                        | true    |      ? |          31,31,31 |             0.0000 |
Insert Cache (O3)                        | true    |      ? |          57,57,57 |             0.0000 |
Heap Cache (Oz)                          | true    |      ? |       249,249,249 |             0.0000 |
State Machine Cache (O3)                 | true    |      ? |          22,22,22 |             0.0000 |
Heap Cache (Os)                          | true    |      ? |       249,249,249 |             0.0000 |
State Machine Cache (O2)                 | true    |      ? |          27,27,27 |             0.0000 |
Find (O3)                                | true    |      ? |       494,494,494 |             0.0000 |
Tournament Tree (Oz)                     | true    |      ? |       103,103,103 |             0.0000 |
Find Unrolled (Oz)                       | true    |      ? |          30,30,30 |             0.0000 |
Tournament Tree (O3)                     | true    |      ? |          63,63,63 |             0.0000 |
Heap Cache (O1)                          | true    |      ? |          61,61,61 |             0.0000 |
Find (O1)                                | true    |      ? |       306,306,306 |             0.0000 |
Tournament Tree (O2)                     | true    |      ? |          63,63,63 |             0.0000 |
Find Unrolled (Os)                       | true    |      ? |          30,30,30 |             0.0000 |

## MERGING 5 LISTS ##
Baseline (copy+sort) 325
Name                                     | Success | Init   | Min, Med, Max     | Standard Deviation | Error Msg
----------------------------------------------------------------------------------------------------------------
Find (Os)                                | true    |      ? |       385,385,385 |             0.0000 |
Find Unrolled (O1)                       | true    |      ? |          50,50,50 |             0.0000 |
Heap Cache (O3)                          | true    |      ? |       309,309,309 |             0.0000 |
State Machine Cache (Oz)                 | true    |      ? |          37,37,37 |             0.0000 |
Find Unrolled (O2)                       | true    |      ? |          51,51,51 |             0.0000 |
Heap Cache (O2)                          | true    |      ? |       310,310,310 |             0.0000 |
Find Unrolled (O3)                       | true    |      ? |          50,50,50 |             0.0000 |
State Machine Cache (O1)                 | true    |      ? |          37,37,37 |             0.0000 |
