n,Find (Cache),Find (Cache Unrolled),Find (Cache Unrolled Best)
3,17,11,15
4,26,20,23
5,35,26,32
6,45,36,41
7,59,46,49
8,70,59,68
9,97,69,78
10,114,89,97
11,136,102,111
12,164,123,138
13,188,151,163
14,212,178,203
15,242,198,227
16,277,235,254
17,312,270,279
18,354,305,315
19,386,327,340
20,412,374,388
21,465,419,422
22,505,452,452
23,573,483,509
24,573,540,537
25,609,567,572
26,646,623,624
27,685,652,658
28,724,698,722
29,763,766,769
30,803,807,816
31,847,868,869
32,894,885,913
33,942,962,975
34,1004,1016,1034
35,1040,1074,1100
36,1078,1112,1154
37,1157,1188,1191
38,1212,1249,1263
39,1262,1303,1306
40,1311,1367,1367
41,1362,1408,1432
42,1413,1473,1485
43,1466,1556,1562
44,1519,1621,1642
45,1570,1710,1730
46,1626,1762,1777
47,1677,1824,1829
48,1734,1927,1932
49,1790,1978,1966
50,1845,2049,2044
