n,Find (Cache),Find (Cache Unrolled),Find (Cache Unrolled Best)
3,172,116,151
4,258,199,232
5,348,264,314
6,449,356,412
7,583,463,495
8,703,588,674
9,963,694,780
10,1134,886,986
11,1349,1051,1112
12,1621,1270,1399
13,1856,1513,1670
14,2104,1805,2045
15,2399,2028,2269
16,2746,2371,2579
17,3084,2691,2810
18,3521,3079,3215
19,3817,3344,3449
20,4073,3815,3932
21,4623,4298,4277
22,5013,4588,4682
23,5347,4943,5155
24,5684,5471,5457
25,6042,5786,5854
26,6407,6314,6362
27,6791,6621,6701
28,7175,7112,7309
29,7559,7803,7858
30,7973,8212,8288
31,8401,8820,8812
32,8854,8986,9239
33,9294,9790,9949
34,9851,10082,10317
35,10342,10896,11185
36,10744,11404,11747
37,11510,12184,12113
38,12082,12774,12904
39,12576,13261,13341
40,13075,13978,13956
41,13565,14415,14663
42,14077,15034,15213
43,14596,15891,16070
44,15127,16533,16733
45,15638,17428,17657
46,16176,17942,18121
47,16706,18641,18673
48,17264,19673,19787
49,17831,20215,20097
50,18387,21000,20962
