n,Find (Cache),Find (Cache Unrolled)
3,17,12
4,26,19
5,35,27
6,45,37
7,58,45
8,72,59
9,97,69
10,115,90
11,137,105
12,164,125
13,187,152
14,212,181
15,239,204
16,275,237
17,309,267
18,362,309
19,392,334
20,423,380
21,482,426
22,521,460
23,555,490
24,589,545
25,626,574
26,666,633
27,702,664
28,741,702
29,778,775
30,824,814
31,868,868
32,915,896
33,956,971
34,1012,1002
35,1063,1105
36,1110,1129
37,1185,1211
38,1252,1273
39,1299,1319
40,1350,1387
41,1400,1429
42,1454,1500
43,1500,1584
44,1558,1645
45,1613,1737
46,1668,1788
47,1724,1855
48,1781,1963
49,1834,2013
50,1915,2107
51,1957,2188
52,2014,2215
53,2072,2279
54,2128,2406
55,2191,2457
56,2258,2528
57,2320,2637
58,2386,2691
59,2402,2716
60,2463,2825
61,2526,2901
62,2594,2707
63,2653,2749
64,2719,2816
65,2785,2879
66,2856,2982
67,2926,3069
68,2991,3136
69,3062,3213
70,3134,3326
71,3255,3411
72,3278,3536
73,3348,3581
74,3445,3705
75,3497,3747
76,3650,3873
77,3718,4054
78,3816,4076
79,3851,4185
80,3932,4304
81,4013,4400
82,4091,4458
83,4171,4584
84,4255,4685
85,4338,4795
86,4413,4860
87,4491,4983
88,4585,5069
89,4665,5160
90,4694,5230
91,4765,5340
92,4846,5424
93,4933,5517
94,5022,5638
95,5139,5705
96,5201,5775
97,5286,5926
98,5428,6010
99,5465,6127
100,5553,6223
