n,Find (Cache),Find (Cache Unrolled)
3,17,12
4,26,20
5,35,27
6,46,36
7,59,49
8,71,60
9,98,69
10,116,89
11,137,103
12,166,125
13,190,153
14,215,177
15,241,198
16,281,234
17,314,267
18,358,305
19,383,330
20,411,380
21,467,424
22,505,449
23,537,480
24,573,539
25,607,568
26,643,619
27,680,651
28,717,694
29,759,773
30,801,805
31,843,870
32,888,886
33,933,967
34,987,991
35,1038,1074
36,1079,1142
37,1155,1189
38,1212,1244
39,1262,1326
40,1315,1344
41,1363,1433
42,1415,1500
43,1465,1552
44,1519,1617
45,1571,1699
46,1624,1778
47,1678,1840
48,1735,1929
49,1790,1976
50,1847,2042
51,1905,2141
52,1961,2187
53,2018,2240
54,2078,2355
55,2140,2418
56,2199,2485
57,2258,2605
58,2322,2681
59,2385,2731
60,2445,2815
61,2510,2909
62,2572,2721
63,2638,2781
64,2703,2875
65,2776,2909
66,2837,2988
67,2906,3045
68,2976,3122
69,3044,3189
70,3115,3302
71,3186,3413
72,3256,3498
73,3333,3554
74,3403,3661
75,3477,3735
76,3549,3867
77,3626,3907
78,3701,4043
79,3778,4147
80,3856,4270
81,3932,4339
82,4007,4377
83,4094,4511
84,4169,4611
85,4252,4691
86,4331,4831
87,4413,4873
88,4494,4977
89,4580,5103
90,4661,5182
91,4747,5326
92,4834,5382
93,4916,5514
94,5004,5647
95,5093,5672
96,5180,5841
97,5274,5874
98,5359,6026
99,5448,6137
100,5536,6250
101,5631,6324
102,5729,6464
103,5821,6582
104,5909,6677
105,6002,6797
106,6101,6894
107,6194,7045
108,6300,7187
109,6387,7256
110,6488,7366
111,6585,7479
112,6684,7626
113,6780,7761
114,6879,7911
115,6983,7988
116,7079,8177
117,7187,8275
118,7284,8379
119,7388,8506
120,7492,8621
121,7600,8742
122,7703,8931
123,7820,9001
124,7924,9155
125,8015,9269
126,8128,9370
127,8241,9525
128,8359,9678
129,8458,9804
130,8576,9939
131,8679,10088
132,8792,10163
133,8911,10347
134,9054,10462
135,9145,10653
136,9276,10759
137,9472,11019
138,9636,11190
139,9745,11443
140,9881,11549
141,9979,11674
142,10111,11807
143,10236,11986
144,10334,12081
145,10490,12280
146,10606,12392
147,10725,12581
148,10843,12735
149,10967,12871
150,11083,12990
151,11131,13032
152,11272,13210
153,11414,13423
154,11531,13519
155,11612,13763
156,11759,13875
157,11898,14006
158,12029,14156
159,12180,14450
160,12290,14491
161,12457,14711
162,12599,14817
163,12742,15007
164,12857,15159
165,13007,15325
166,13155,15521
167,13289,15684
168,13410,15878
169,13531,16103
170,13672,16272
171,13841,16424
172,13932,16585
173,14132,16717
174,14215,16878
175,14351,17084
176,14479,17353
177,14699,17466
178,14820,17637
179,14921,17768
180,15109,17977
181,15243,18083
182,15384,18350
183,15557,18507
184,15673,18626
185,15819,18893
186,15940,19043
187,16151,19282
188,16300,19469
189,16398,19582
190,16586,19833
191,16716,19888
192,16891,20197
193,17016,20343
194,17175,20591
195,17309,20722
196,17496,20930
197,17659,21079
198,17829,21305
199,17911,21533
200,18134,21662
