n,Find SIMD,Insert Cache,Heap Cache,Tournament Tree
3,391,158,215,166
4,544,234,297,292
5,693,314,383,430
6,840,397,522,514
7,1000,481,684,705
8,1234,571,782,823
9,1332,665,889,1038
10,1480,770,1043,1194
11,1637,864,1225,1350
12,1795,961,1378,1403
13,1966,1066,1561,1707
14,2139,1170,1785,1847
15,2305,1283,2012,2003
16,2475,1400,2129,2139
17,2628,1522,2256,2403
18,2750,1648,2425,2642
19,2909,1780,2621,2899
20,3072,1912,2781,3093
21,3238,2050,2977,3340
22,3413,2179,3202,3480
23,3587,2318,3433,3610
24,3793,2465,3603,3709
25,3887,2614,3798,4037
26,4017,2767,4034,4256
27,4186,2929,4281,4438
28,4354,3092,4514,4578
29,4528,3261,4754,4770
30,4703,3430,5027,4923
31,4894,3601,5295,5106
32,5107,3784,5442,5291
33,5279,3969,5570,5583
34,5415,4164,5774,5872
35,5585,4353,5983,6169
36,5763,4566,6162,6443
37,5947,4770,6370,6754
38,6128,4960,6607,7021
39,6317,5170,6858,7290
40,6531,5366,7039,7531
41,6879,5584,7241,7857
42,7017,5786,7481,8144
43,7193,6021,7768,8422
44,7380,6233,7985,8618
45,7582,6465,8243,8867
46,7786,6693,8526,9088
47,7990,6973,8802,9317
48,8204,7168,8990,9516
49,8684,7425,9186,9817
50,8832,7666,9496,10079
51,9013,7912,9752,10327
52,9215,8163,9949,10540
53,9399,8409,10236,10770
54,9627,8673,10579,10966
55,9817,8937,10878,11175
56,10048,9219,11150,11406
57,10357,9511,11404,11628
58,10522,9712,11720,11853
59,10734,9911,12054,12058
60,10912,10124,12347,12264
61,11104,10336,12642,12467
62,11346,10563,12974,12657
63,11547,10778,13286,12862
64,11753,10880,13470,13078
65,12097,11065,13630,13465
66,12289,11261,13835,13836
67,12458,11720,14056,14215
68,12664,11734,14275,14557
69,12869,11945,14486,14915
70,13084,12147,14741,15257
71,13273,12333,14992,15603
72,13517,12495,15190,15936
73,14068,12757,15376,16306
74,14225,12960,15671,16654
75,14426,13221,15914,16991
76,14644,13280,16166,17318
77,14845,13524,16415,17653
78,15032,13722,16733,17964
79,15254,13959,16997,18279
80,15478,14999,17189,18572
81,15967,15209,17383,18868
82,16108,14685,17667,19140
83,16313,14911,17919,19389
84,16546,15233,18187,19634
85,16748,15453,18444,19884
86,16968,15464,18774,20106
87,17181,15751,19090,20341
88,17412,15983,19355,20546
89,17649,16202,19604,20817
90,17825,16527,19954,21052
91,18032,16713,20253,21313
92,18255,16916,20576,21526
93,18458,17158,20853,21768
94,18666,17399,21218,21989
95,18888,17639,21536,22238
96,19108,17717,21744,22451
97,19655,18003,21936,22755
98,19814,18279,22220,23016
99,20023,18557,22462,23310
100,20250,18921,22749,23550
