n,Find SIMD (O1),Find SIMD (O2),Find SIMD (O3),Find SIMD (Os),Find SIMD (Oz),Insert Cache (O1),Insert Cache (O2),Insert Cache (O3),Insert Cache (Os),Insert Cache (Oz),Heap Cache (O1),Heap Cache (O2),Heap Cache (O3),Heap Cache (Os),Heap Cache (Oz),Tournament Tree (O1),Tournament Tree (O2),Tournament Tree (O3),Tournament Tree (Os),Tournament Tree (Oz)
3,391,391,489,434,418,158,162,169,167,167,215,224,224,222,221,173,167,166,214,219
4,545,544,649,591,576,234,242,249,246,243,308,299,297,303,302,305,292,292,354,370
5,693,693,809,744,731,314,320,329,317,317,413,388,383,392,398,441,430,430,506,524
6,852,840,978,898,887,398,405,427,397,399,566,526,522,529,540,531,515,514,610,626
7,1041,1000,1137,1069,1060,481,491,519,483,484,745,684,686,685,706,728,706,705,821,848
8,1274,1234,1318,1316,1283,571,584,660,577,578,842,783,782,790,802,850,823,825,958,986
9,1332,1372,1544,1473,1408,665,683,763,680,679,977,893,889,915,937,1065,1039,1038,1187,1226
10,1480,1514,1695,1609,1555,770,780,881,786,787,1141,1051,1043,1070,1106,1223,1198,1194,1342,1417
11,1637,1673,1873,1775,1714,864,881,973,890,891,1339,1237,1225,1257,1296,1373,1350,1351,1507,1613
12,1795,1837,2047,1952,1877,961,987,1096,1010,1003,1488,1387,1378,1405,1457,1440,1404,1403,1596,1716
13,1966,2006,2221,2125,2043,1066,1095,1198,1108,1112,1700,1561,1568,1590,1646,1758,1712,1707,1911,1973
14,2139,2187,2397,2309,2218,1170,1213,1328,1226,1225,1901,1792,1785,1796,1863,1905,1850,1847,2053,2138
15,2305,2371,2568,2504,2408,1283,1331,1734,1342,1339,2144,2012,2013,2017,2093,2065,2009,2003,2237,2314
16,2475,2609,2739,2739,2618,1400,1450,1934,1458,1455,2233,2139,2129,2149,2220,2206,2139,2142,2390,2470
17,2863,2628,2947,2835,2684,1522,1568,2139,1575,1571,2391,2259,2256,2312,2385,2477,2404,2403,2676,2764
18,2986,2750,3118,2968,2826,1648,1684,2333,1709,1708,2534,2436,2425,2473,2581,2744,2646,2642,2936,3044
19,3170,2909,3290,3144,2992,1780,1813,2514,1842,1841,2767,2622,2621,2703,2813,3011,2899,2900,3219,3327
20,3358,3072,3468,3323,3161,1912,1950,2631,1972,1972,2899,2795,2781,2841,2985,3234,3093,3097,3437,3552
21,3546,3238,3646,3502,3330,2050,2098,2813,2110,2109,3119,2980,2977,3073,3180,3504,3344,3340,3707,3842
22,3740,3413,3818,3685,3511,2179,2238,2991,2278,2259,3332,3226,3202,3254,3414,3674,3486,3480,3875,4033
23,3937,3587,3993,3882,3702,2318,2381,3195,2441,2417,3598,3449,3433,3506,3664,3826,3615,3610,4046,4211
24,4167,3793,4207,4133,3912,2465,2529,3377,2617,2574,3746,3621,3603,3662,3853,3962,3709,3729,4192,4367
25,4236,3887,4413,4259,4051,2614,2687,3565,2795,2744,3971,3798,3798,3903,4050,4204,4037,4042,4434,4624
26,4360,4017,4591,4410,4217,2767,2851,3753,2955,2909,4171,4040,4034,4117,4292,4401,4256,4258,4620,4833
27,4540,4186,4779,4600,4402,2929,3013,3677,3164,3088,4473,4281,4303,4391,4556,4581,4440,4438,4817,5047
28,4725,4354,4974,4792,4594,3092,3181,3878,3335,3270,4659,4523,4514,4579,4784,4741,4581,4578,4982,5228
29,4922,4528,5158,5007,4783,3261,3352,4072,3529,3444,4951,4754,4767,4831,5028,4928,4770,4771,5190,5451
30,5125,4703,5342,5211,4990,3430,3525,4283,3716,3617,5191,5048,5027,5085,5297,5092,4930,4923,5360,5633
31,5342,4894,5515,5435,5189,3601,3700,4483,3901,3815,5508,5307,5295,5349,5581,5265,5109,5106,5558,5846
32,5583,5107,5710,5692,5410,3784,3894,4576,4108,4009,5595,5446,5442,5490,5732,5435,5299,5291,5745,6030
33,5649,5279,6005,5945,5551,3969,4087,4775,4310,4191,5792,5570,5580,5709,5946,5754,5583,5594,6077,6387
34,5788,5415,6169,6094,5701,4164,4268,4975,4498,4380,5931,5780,5774,5899,6166,6067,5872,5900,6388,6729
35,5974,5585,6367,6305,5897,4353,4469,5181,4783,4628,6190,5985,5983,6153,6450,6376,6169,6219,6713,7070
36,6160,5763,6566,6528,6087,4566,4674,5379,5006,4854,6326,6175,6162,6307,6653,6682,6443,6509,7023,7391
37,6365,5947,6757,6738,6278,4770,4876,5580,5242,5076,6597,6370,6372,6596,6901,6995,6754,6839,7363,7729
38,6571,6128,6936,6951,6456,4960,5084,5768,5462,5290,6799,6637,6607,6768,7160,7281,7021,7136,7659,8010
39,6799,6317,7129,7178,6662,5170,5293,5962,5711,5505,7111,6892,6858,7119,7454,7556,7290,7362,7946,8288
