COMPILER_VERSION 15.1.1 20250528
ARRAY_LENGTH 10000000
ARRAY_COUNT 100
ITER_COUNT 11
NUM_TESTS 20
TEST_TYPE random
SEED 1763077086

Init: 60572

## MERGING 3 LISTS ##
Baseline (copy+sort) 461
Name                                     | Success | Init   | Min, Med, Max     | Standard Deviation | Error Msg
----------------------------------------------------------------------------------------------------------------
Tournament Tree (O2)                     | true    |      ? |       166,167,172 |             1.8631 |
Heap Cache (O2)                          | true    |      ? |       224,224,284 |            17.1734 |
Find SIMD (O2)                           | true    |      ? |       391,391,392 |             0.4979 |
Find SIMD (Oz)                           | true    |      ? |       416,418,419 |             0.9959 |
Find SIMD (O1)                           | true    |      ? |       389,391,392 |             1.0833 |
Heap Cache (Os)                          | true    |      ? |       222,222,222 |             0.0000 |
Insert Cache (O1)                        | true    |      ? |       158,158,159 |             0.3857 |
Heap Cache (O3)                          | true    |      ? |       224,224,224 |             0.0000 |
Heap Cache (Oz)                          | true    |      ? |       221,221,275 |            15.3704 |
Tournament Tree (O1)                     | true    |      ? |       172,173,174 |             0.6428 |
Tournament Tree (Os)                     | true    |      ? |       214,214,214 |             0.0000 |
Tournament Tree (O3)                     | true    |      ? |       166,166,166 |             0.0000 |
Insert Cache (Oz)                        | true    |      ? |       167,167,168 |             0.2875 |
Insert Cache (O2)                        | true    |      ? |       162,162,166 |             1.1355 |
Find SIMD (Os)                           | true    |      ? |       433,434,443 |             2.9570 |
Insert Cache (O3)                        | true    |      ? |       169,169,174 |             1.6006 |
Heap Cache (O1)                          | true    |      ? |       214,215,216 |             0.5143 |
Find SIMD (O3)                           | true    |      ? |       488,489,523 |            11.5623 |
Insert Cache (Os)                        | true    |      ? |       166,167,168 |             0.5750 |
Tournament Tree (Oz)                     | true    |      ? |       219,219,220 |             0.3857 |

## MERGING 4 LISTS ##
Baseline (copy+sort) 1125
Name                                     | Success | Init   | Min, Med, Max     | Standard Deviation | Error Msg
----------------------------------------------------------------------------------------------------------------
Tournament Tree (O2)                     | true    |      ? |       292,292,295 |             0.8814 |
Heap Cache (O2)                          | true    |      ? |       298,299,300 |             0.4264 |
Find SIMD (O2)                           | true    |      ? |       544,544,544 |             0.0000 |
Find SIMD (Oz)                           | true    |      ? |       575,576,631 |            15.9094 |
Find SIMD (O1)                           | true    |      ? |       545,545,546 |             0.4454 |
Heap Cache (Os)                          | true    |      ? |       302,303,305 |             0.8528 |
Insert Cache (O1)                        | true    |      ? |       234,234,235 |             0.4810 |
Heap Cache (O3)                          | true    |      ? |       296,297,297 |             0.3857 |
Heap Cache (Oz)                          | true    |      ? |       301,302,354 |            15.1002 |
Tournament Tree (O1)                     | true    |      ? |       299,305,306 |             2.4596 |
Tournament Tree (Os)                     | true    |      ? |       353,354,359 |             2.1320 |
Tournament Tree (O3)                     | true    |      ? |       291,292,294 |             0.6680 |
Insert Cache (Oz)                        | true    |      ? |       242,243,247 |             1.7249 |
Insert Cache (O2)                        | true    |      ? |       240,242,242 |             0.7714 |
Find SIMD (Os)                           | true    |      ? |       591,591,651 |            17.1431 |
Insert Cache (O3)                        | true    |      ? |       248,249,250 |             0.4264 |
Heap Cache (O1)                          | true    |      ? |       307,308,309 |             0.6030 |
Find SIMD (O3)                           | true    |      ? |       648,649,654 |             1.6959 |
Insert Cache (Os)                        | true    |      ? |       243,246,249 |             1.7487 |
Tournament Tree (Oz)                     | true    |      ? |       368,370,417 |            13.4466 |

## MERGING 5 LISTS ##
Baseline (copy+sort) 1125
Name                                     | Success | Init   | Min, Med, Max     | Standard Deviation | Error Msg
----------------------------------------------------------------------------------------------------------------
Tournament Tree (O2)                     | true    |      ? |       428,430,431 |             0.9959 |
Heap Cache (O2)                          | true    |      ? |       387,388,389 |             0.6428 |
Find SIMD (O2)                           | true    |      ? |       693,693,703 |             2.9345 |
Find SIMD (Oz)                           | true    |      ? |       728,731,786 |            15.8234 |
Find SIMD (O1)                           | true    |      ? |       693,693,694 |             0.4454 |
Heap Cache (Os)                          | true    |      ? |       391,392,393 |             0.4264 |
Insert Cache (O1)                        | true    |      ? |       314,314,315 |             0.4810 |
Heap Cache (O3)                          | true    |      ? |       382,383,428 |            12.8636 |
Heap Cache (Oz)                          | true    |      ? |       398,398,398 |             0.0000 |
Tournament Tree (O1)                     | true    |      ? |       440,441,442 |             0.6166 |
Tournament Tree (Os)                     | true    |      ? |       506,506,507 |             0.3857 |
Tournament Tree (O3)                     | true    |      ? |       429,430,487 |            16.2598 |
Insert Cache (Oz)                        | true    |      ? |       316,317,321 |             1.5428 |
Insert Cache (O2)                        | true    |      ? |       319,320,323 |             1.1134 |
Find SIMD (Os)                           | true    |      ? |       744,744,747 |             0.8907 |
Insert Cache (O3)                        | true    |      ? |       329,329,388 |            16.9081 |
Heap Cache (O1)                          | true    |      ? |       412,413,414 |             0.5750 |
Find SIMD (O3)                           | true    |      ? |       809,809,812 |             0.9875 |
Insert Cache (Os)                        | true    |      ? |       317,317,320 |             0.8624 |
Tournament Tree (Oz)                     | true    |      ? |       522,524,581 |            16.4060 |

## MERGING 6 LISTS ##
Baseline (copy+sort) 1430
Name                                     | Success | Init   | Min, Med, Max     | Standard Deviation | Error Msg
----------------------------------------------------------------------------------------------------------------
Tournament Tree (O2)                     | true    |      ? |       514,515,515 |             0.4810 |
Heap Cache (O2)                          | true    |      ? |       525,526,527 |             0.6030 |
Find SIMD (O2)                           | true    |      ? |       840,840,894 |            15.4711 |
Find SIMD (Oz)                           | true    |      ? |       886,887,889 |             0.8332 |
Find SIMD (O1)                           | true    |      ? |       849,852,856 |             2.0929 |
Heap Cache (Os)                          | true    |      ? |       529,529,586 |            16.0701 |
Insert Cache (O1)                        | true    |      ? |       398,398,398 |             0.0000 |
Heap Cache (O3)                          | true    |      ? |       521,522,524 |             0.7714 |
Heap Cache (Oz)                          | true    |      ? |       540,540,540 |             0.0000 |
Tournament Tree (O1)                     | true    |      ? |       530,531,587 |            16.1609 |
Tournament Tree (Os)                     | true    |      ? |       609,610,612 |             0.9535 |
Tournament Tree (O3)                     | true    |      ? |       513,514,519 |             1.7487 |
Insert Cache (Oz)                        | true    |      ? |       397,399,406 |             2.2998 |
Insert Cache (O2)                        | true    |      ? |       402,405,464 |            17.0725 |
Find SIMD (Os)                           | true    |      ? |       893,898,900 |             2.2709 |
Insert Cache (O3)                        | true    |      ? |       426,427,441 |             4.7447 |
Heap Cache (O1)                          | true    |      ? |       565,566,627 |            17.4773 |
Find SIMD (O3)                           | true    |      ? |       971,978,981 |             3.5373 |
Insert Cache (Os)                        | true    |      ? |       397,397,399 |             0.6556 |
Tournament Tree (Oz)                     | true    |      ? |       626,626,686 |            17.1098 |

## MERGING 7 LISTS ##
Baseline (copy+sort) 1382
Name                                     | Success | Init   | Min, Med, Max     | Standard Deviation | Error Msg
----------------------------------------------------------------------------------------------------------------
Tournament Tree (O2)                     | true    |      ? |       705,706,711 |             1.6109 |
Heap Cache (O2)                          | true    |      ? |       684,684,686 |             0.6556 |
Find SIMD (O2)                           | true    |      ? |    1000,1000,1056 |            15.9057 |
Find SIMD (Oz)                           | true    |      ? |    1059,1060,1069 |             2.8690 |
Find SIMD (O1)                           | true    |      ? |    1038,1041,1100 |            17.1252 |
Heap Cache (Os)                          | true    |      ? |       684,685,687 |             0.7497 |
Insert Cache (O1)                        | true    |      ? |       480,481,482 |             0.5750 |
Heap Cache (O3)                          | true    |      ? |       686,686,739 |            15.1286 |
Heap Cache (Oz)                          | true    |      ? |       706,706,708 |             0.6166 |
Tournament Tree (O1)                     | true    |      ? |       728,728,731 |             1.1355 |
Tournament Tree (Os)                     | true    |      ? |       820,821,877 |            16.1045 |
Tournament Tree (O3)                     | true    |      ? |       704,705,706 |             0.7158 |
Insert Cache (Oz)                        | true    |      ? |       484,484,539 |            15.7091 |
Insert Cache (O2)                        | true    |      ? |       490,491,492 |             0.7497 |
Find SIMD (Os)                           | true    |      ? |    1067,1069,1073 |             1.8719 |
Insert Cache (O3)                        | true    |      ? |       517,519,578 |            16.9720 |
Heap Cache (O1)                          | true    |      ? |       739,745,747 |             2.7634 |
Find SIMD (O3)                           | true    |      ? |    1135,1137,1204 |            19.3882 |
Insert Cache (Os)                        | true    |      ? |       480,483,490 |             2.9570 |
Tournament Tree (Oz)                     | true    |      ? |       846,848,905 |            16.3990 |

## MERGING 8 LISTS ##
Baseline (copy+sort) 2067
Name                                     | Success | Init   | Min, Med, Max     | Standard Deviation | Error Msg
----------------------------------------------------------------------------------------------------------------
Tournament Tree (O2)                     | true    |      ? |       822,823,830 |             2.4292 |
Heap Cache (O2)                          | true    |      ? |       781,783,787 |             2.1475 |
Find SIMD (O2)                           | true    |      ? |    1232,1234,1236 |             1.1282 |
Find SIMD (Oz)                           | true    |      ? |    1282,1283,1315 |             9.1886 |
Find SIMD (O1)                           | true    |      ? |    1273,1274,1324 |            14.4119 |
Heap Cache (Os)                          | true    |      ? |       789,790,795 |             2.0889 |
Insert Cache (O1)                        | true    |      ? |       571,571,571 |             0.0000 |
Heap Cache (O3)                          | true    |      ? |       781,782,834 |            15.0476 |
Heap Cache (Oz)                          | true    |      ? |       802,802,808 |             1.8318 |
Tournament Tree (O1)                     | true    |      ? |       850,850,853 |             0.9791 |
Tournament Tree (Os)                     | true    |      ? |      957,958,1020 |            17.7051 |
Tournament Tree (O3)                     | true    |      ? |       821,825,833 |             3.7505 |
Insert Cache (Oz)                        | true    |      ? |       577,578,633 |            15.6427 |
Insert Cache (O2)                        | true    |      ? |       584,584,585 |             0.2875 |
Find SIMD (Os)                           | true    |      ? |    1312,1316,1317 |             1.5266 |
Insert Cache (O3)                        | true    |      ? |       651,660,711 |            15.4176 |
Heap Cache (O1)                          | true    |      ? |       840,842,845 |             1.3545 |
Find SIMD (O3)                           | true    |      ? |    1315,1318,1390 |            20.7731 |
Insert Cache (Os)                        | true    |      ? |       577,577,578 |             0.4810 |
