n,Find SIMD (O1),Find SIMD (O2),Find SIMD (O3),Find SIMD (Os),Find SIMD (Oz)
3,391,391,489,434,418
4,545,544,649,591,576
5,693,693,809,744,731
6,852,840,978,898,887
7,1041,1000,1137,1069,1060
8,1274,1234,1318,1316,1283
9,1332,1372,1544,1473,1408
10,1480,1514,1695,1609,1555
11,1637,1673,1873,1775,1714
12,1795,1837,2047,1952,1877
13,1966,2006,2221,2125,2043
14,2139,2187,2397,2309,2218
15,2305,2371,2568,2504,2408
16,2475,2609,2739,2739,2618
17,2863,2628,2947,2835,2684
18,2986,2750,3118,2968,2826
19,3170,2909,3290,3144,2992
20,3358,3072,3468,3323,3161
21,3546,3238,3646,3502,3330
22,3740,3413,3818,3685,3511
23,3937,3587,3993,3882,3702
24,4167,3793,4207,4133,3912
25,4236,3887,4413,4259,4051
26,4360,4017,4591,4410,4217
27,4540,4186,4779,4600,4402
28,4725,4354,4974,4792,4594
29,4922,4528,5158,5007,4783
30,5125,4703,5342,5211,4990
31,5342,4894,5515,5435,5189
32,5583,5107,5710,5692,5410
33,5649,5279,6005,5945,5551
34,5788,5415,6169,6094,5701
35,5974,5585,6367,6305,5897
36,6160,5763,6566,6528,6087
37,6365,5947,6757,6738,6278
38,6571,6128,6936,6951,6456
39,6799,6317,7129,7178,6662
40,7041,6531,7324,7429,6879
41,7259,6879,7697,7747,7090
42,7392,7017,7867,7908,7247
43,7593,7193,8068,8150,7440
44,7791,7380,8285,8314,7647
45,7993,7582,8471,8521,7833
46,8257,7786,8673,8739,8065
47,8481,7990,8858,8962,8267
48,8675,8204,9065,9189,8464
49,9208,8684,9416,9479,8725
50,9333,8832,9578,9648,8888
51,9531,9013,9767,9905,9080
52,9736,9215,9958,10061,9293
53,9948,9399,10160,10325,9468
54,10168,9627,10380,10491,9670
55,10400,9817,10579,10723,9882
56,10663,10048,10772,10949,10088
57,10948,10397,11204,11379,10357
58,11078,10583,11376,11558,10522
59,11275,10735,11608,11728,10734
60,11481,10963,11802,11952,10912
61,11692,11160,11982,12170,11104
62,11868,11363,12204,12404,11346
63,12121,11585,12406,12594,11547
64,12359,11753,12597,12858,11769
65,12794,12137,13064,13209,12097
66,12953,12289,13228,13406,12301
67,13153,12458,13411,13631,12498
68,13353,12664,13637,13815,12690
69,13573,12869,13829,14060,12898
70,13809,13084,14020,14273,13097
71,14033,13273,14205,14500,13304
72,14271,13517,14404,14767,13526
73,15160,14243,15016,15377,14068
74,15299,14393,15196,15560,14225
75,15507,14596,15396,15816,14426
76,15730,14801,15594,16054,14644
77,15960,14998,15791,16223,14845
78,16215,15209,15929,16498,15032
79,16450,15446,16170,16716,15254
80,16709,15687,16362,16971,15478
81,16996,16417,16897,17391,15967
82,17129,16554,17069,17544,16108
83,17339,16762,17262,17767,16313
84,17574,16993,17469,18032,16546
85,17816,17212,17676,18275,16748
86,18052,17432,17867,18482,16968
87,18314,17673,18069,18756,17181
88,18566,17941,18263,18999,17412
89,19143,17725,18863,19417,17649
90,19294,17884,19046,19603,17825
91,19530,18078,19237,19859,18032
92,19758,18280,19447,20113,18255
93,19993,18502,19677,20349,18458
94,20242,18706,19846,20566,18666
95,20491,18931,20057,20829,18888
96,20771,19193,20255,21097,19108
97,21020,19655,20820,21926,19761
98,21206,19814,20992,22114,19927
99,21431,20023,21197,22354,20144
100,21664,20250,21417,22623,20381
