n,Insert Cache (O1),Insert Cache (O2),Insert Cache (O3),Insert Cache (Os),Insert Cache (Oz)
3,158,162,169,167,167
4,234,242,249,246,243
5,314,320,329,317,317
6,398,405,427,397,399
7,481,491,519,483,484
8,571,584,660,577,578
9,665,683,763,680,679
10,770,780,881,786,787
11,864,881,973,890,891
12,961,987,1096,1010,1003
13,1066,1095,1198,1108,1112
14,1170,1213,1328,1226,1225
15,1283,1331,1734,1342,1339
16,1400,1450,1934,1458,1455
17,1522,1568,2139,1575,1571
18,1648,1684,2333,1709,1708
19,1780,1813,2514,1842,1841
20,1912,1950,2631,1972,1972
21,2050,2098,2813,2110,2109
22,2179,2238,2991,2278,2259
23,2318,2381,3195,2441,2417
24,2465,2529,3377,2617,2574
25,2614,2687,3565,2795,2744
26,2767,2851,3753,2955,2909
27,2929,3013,3677,3164,3088
28,3092,3181,3878,3335,3270
29,3261,3352,4072,3529,3444
30,3430,3525,4283,3716,3617
31,3601,3700,4483,3901,3815
32,3784,3894,4576,4108,4009
33,3969,4087,4775,4310,4191
34,4164,4268,4975,4498,4380
35,4353,4469,5181,4783,4628
36,4566,4674,5379,5006,4854
37,4770,4876,5580,5242,5076
38,4960,5084,5768,5462,5290
39,5170,5293,5962,5711,5505
40,5366,5500,6085,5942,5718
41,5584,5713,6292,6201,5986
42,5786,5930,6491,6440,6215
43,6021,6151,6920,6697,6448
44,6233,6385,7046,6963,6756
45,6465,6615,7241,7222,7017
46,6693,6857,7383,7494,7208
47,6973,7102,8016,7765,7458
48,7168,7338,7788,8011,7755
49,7425,7573,7996,8231,7920
50,7666,7818,8205,8488,8169
51,7912,8073,8426,8798,8428
52,8163,8333,8495,9101,8745
53,8409,8605,8681,9437,9047
54,8673,8875,8889,9736,9341
55,8937,9154,9118,10017,9663
56,9219,9440,9331,10315,9991
57,9561,9735,9511,10634,10294
58,9791,9961,9712,10945,10630
59,10066,10280,9911,11244,10940
60,10390,10608,10124,11570,11243
61,10689,10904,10336,11879,11453
62,10960,11215,10563,12184,11808
63,11266,11570,10778,12515,12125
64,11550,11836,10880,12748,12256
65,11852,12137,11065,13071,12583
66,12154,12493,11261,13507,13205
67,12463,12798,11720,13822,13491
68,12792,13145,11734,14172,13877
69,13111,13483,11945,14490,14219
70,13417,13805,12147,14838,14523
71,13745,14128,12333,15209,14930
72,14072,14480,12495,15561,15305
73,14379,14819,12757,15919,15617
74,14712,15171,12960,16278,16004
75,15042,15516,13221,16648,16328
76,15383,15880,13280,16994,16739
77,15714,16234,13524,17416,17293
78,16038,16593,13722,17756,17555
79,16409,16965,13959,18160,17980
80,16735,17379,14999,18573,18042
81,17079,17766,15209,19002,18455
82,17455,18083,14685,19295,19261
83,17805,18467,14911,19713,19734
84,18165,18856,15233,20121,20086
85,18535,19241,15453,20526,20461
86,18894,19637,15464,20951,20832
87,19257,20032,15751,21311,21105
88,19631,20435,15983,21731,21527
89,20009,20839,16202,22116,21991
90,20372,21239,16527,22550,22415
91,20773,21661,16713,22959,22860
92,21185,22119,16916,23433,23233
93,21582,22540,17158,23893,23654
94,21953,22935,17399,24201,24028
95,22331,23358,17639,24651,24497
96,22729,23792,17717,25128,24817
97,23129,24232,18003,25487,24980
98,23536,24665,18279,25904,25467
99,23942,25125,18557,26342,25913
100,24341,25575,18921,26818,26376
