n,Insert Cache (O1),Insert Cache (O3)
3,158,169
4,234,249
5,314,329
6,398,427
7,481,519
8,571,660
9,665,763
10,770,881
11,864,973
12,961,1096
13,1066,1198
14,1170,1328
15,1283,1734
16,1400,1934
17,1522,2139
18,1648,2333
19,1780,2514
20,1912,2631
21,2050,2813
22,2179,2991
23,2318,3195
24,2465,3377
25,2614,3565
26,2767,3753
27,2929,3677
28,3092,3878
29,3261,4072
30,3430,4283
31,3601,4483
32,3784,4576
33,3969,4775
34,4164,4975
35,4353,5181
36,4566,5379
37,4770,5580
38,4960,5768
39,5170,5962
40,5366,6085
41,5584,6292
42,5786,6491
43,6021,6920
44,6233,7046
45,6465,7241
46,6693,7383
47,6973,8016
48,7168,7788
49,7425,7996
50,7666,8205
51,7912,8426
52,8163,8495
53,8409,8681
54,8673,8889
55,8937,9118
56,9219,9331
57,9561,9511
58,9791,9712
59,10066,9911
60,10390,10124
61,10689,10336
62,10960,10563
63,11266,10778
64,11550,10880
65,11852,11065
66,12154,11261
67,12463,11720
68,12792,11734
69,13111,11945
70,13417,12147
71,13745,12333
72,14072,12495
73,14379,12757
74,14712,12960
75,15042,13221
76,15383,13280
77,15714,13524
78,16038,13722
79,16409,13959
80,16735,14999
81,17079,15209
82,17455,14685
83,17805,14911
84,18165,15233
85,18535,15453
86,18894,15464
87,19257,15751
88,19631,15983
89,20009,16202
90,20372,16527
91,20773,16713
92,21185,16916
93,21582,17158
94,21953,17399
95,22331,17639
96,22729,17717
97,23129,18003
98,23536,18279
99,23942,18557
100,24341,18921
