n,Find 1,Insert 1,Find 2,Insert 2,Find 3,Insert 3,Find 4,Insert 4,Find 5,Insert 5,Find 6,Insert 6,Find 7,Insert 7,Find 8,Insert 8,Find 9,Insert 9,Find 10,Insert 10,Find 11,Insert 11,Find 12,Insert 12,Find 13,Insert 13,Find 14,Insert 14,Find 15,Insert 15,Find 16,Insert 16,Find 17,Insert 17,Find 18,Insert 18,Find 19,Insert 19,Find 20,Insert 20
3,399,169,399,169,399,169,392,169,392,169,392,169,391,169,398,169,399,172,391,169,394,169,392,171,392,169,392,169,392,168,449,169,392,169,392,169,400,169,399,171
4,545,250,545,250,545,250,545,250,547,251,545,250,545,250,545,251,545,251,545,250,545,250,545,250,545,250,545,251,545,250,547,250,545,250,545,250,545,250,554,260
5,698,329,696,329,733,329,696,331,696,330,696,332,696,330,696,330,696,331,696,331,696,330,696,330,695,330,696,329,696,330,696,330,696,329,695,330,750,329,708,349
6,862,430,862,428,862,427,844,430,844,428,844,431,844,428,862,430,861,430,843,430,843,433,844,428,844,428,844,431,843,431,845,429,844,431,843,429,862,428,855,431
7,1030,522,1030,523,1031,520,1011,520,1011,520,1010,521,1010,522,1043,519,1032,522,1009,519,1010,521,1011,520,1010,521,1013,519,1011,519,1011,520,1011,521,1011,519,1031,519,1018,526
8,1271,660,1271,658,1271,658,1248,659,1246,666,1247,663,1247,659,1271,660,1272,654,1307,646,1247,654,1245,664,1246,666,1247,660,1247,658,1248,661,1248,651,1248,651,1271,662,1271,660
9,1383,752,1383,752,1382,747,1382,751,1384,753,1383,752,1384,748,1385,752,1383,750,1384,754,1384,750,1384,748,1383,750,1384,745,1384,752,1384,752,1383,748,1383,749,1384,751,1408,757
10,1519,883,1518,879,1519,887,1519,882,1518,887,1520,885,1519,874,1522,878,1519,881,1519,882,1519,879,1520,876,1519,882,1518,887,1518,884,1518,940,1518,881,1518,879,1518,879,1544,891
11,1688,975,1687,967,1687,966,1687,981,1688,969,1688,1018,1687,971,1687,969,1688,963,1687,969,1687,977,1688,967,1687,967,1687,971,1686,971,1687,979,1687,975,1687,974,1687,1026,1754,990
12,1852,1103,1852,1098,1852,1109,1853,1105,1851,1155,1855,1101,1852,1110,1912,1107,1852,1111,1853,1099,1853,1108,1906,1100,1854,1098,1853,1101,1852,1097,1854,1105,1852,1096,1858,1096,1852,1106,1877,1108
13,2024,1341,2022,1341,2025,1341,2024,1341,2024,1340,2024,1340,2025,1341,2024,1341,2024,1341,2025,1341,2073,1341,2025,1340,2024,1340,2024,1340,2025,1401,2025,1343,2024,1347,2024,1341,2024,1340,2047,1366
14,2203,1524,2202,1523,2202,1573,2204,1523,2205,1522,2202,1524,2201,1524,2202,1528,2203,1523,2203,1523,2203,1523,2202,1522,2203,1523,2202,1529,2203,1522,2202,1523,2203,1523,2202,1524,2262,1523,2229,1543
