n,Find SIMD (O2),Insert Cache (O3)
3,399,169
4,545,250
5,696,329
6,862,429
7,1032,527
8,1271,661
9,1384,747
10,1519,877
11,1688,970
12,1852,1094
13,2024,1341
14,2255,1527
15,2398,1737
16,2649,1940
17,2616,2174
18,2753,2336
19,2957,2519
20,3057,2649
21,3278,2832
22,3398,3006
23,3578,3260
24,3777,3392
25,3845,3580
26,4017,3774
27,4129,3671
28,4288,3869
29,4515,4067
30,4632,4274
31,4804,4472
32,5011,4615
33,5295,4885
34,5435,4963
35,5648,5402
36,5824,5536
37,6013,5729
38,6207,5921
39,6410,6133
40,6608,6322
41,6758,6570
42,6957,6773
43,7143,6715
44,7271,6942
45,7454,7184
46,7672,7345
47,7936,7548
48,8154,7615
49,8617,7887
50,8814,8089
51,8943,8437
52,9177,8667
53,9326,8925
54,9577,8899
55,9753,9165
56,10033,9323
57,10207,9529
58,10378,9815
59,10597,9881
60,10763,10115
61,10945,10395
62,11187,10544
63,11420,10802
64,11568,10895
65,12057,11176
66,12211,11380
67,12402,11504
68,12604,11690
69,12809,11908
70,13013,12104
71,13233,12341
72,13453,12560
73,14170,12743
74,14303,12962
75,14525,13677
76,14721,13433
77,14996,13728
78,15129,13903
79,15445,14144
80,15611,14224
81,16315,14442
82,16451,14636
83,16672,14807
84,16899,15104
85,17103,15299
86,17342,15429
87,17526,15692
88,17841,15873
89,17659,16160
90,17807,16545
91,18008,17992
92,18215,16924
93,18373,17203
94,18614,17418
95,18845,17661
96,19084,17741
97,19915,17992
98,20103,18330
99,20374,18438
100,20604,18726
