n,Find SIMD,Insert Cache,Heap Cache,Tournament Tree
3,3,1,2,1
4,5,2,3,2
5,7,3,3,4
6,8,4,5,5
7,10,4,6,7
8,12,5,7,8
9,13,6,9,10
10,14,7,10,12
11,16,8,12,13
12,17,9,14,14
13,19,10,15,17
14,20,11,18,18
15,22,13,20,20
16,23,14,21,21
17,26,15,23,24
18,27,16,24,26
19,28,18,26,29
20,30,19,28,31
21,31,21,30,34
22,33,22,33,35
23,35,23,35,36
24,36,25,37,37
25,38,26,38,41
26,39,28,41,43
27,40,29,44,45
28,42,31,46,46
29,44,33,49,48
30,45,35,51,50
31,47,36,54,51
32,49,38,55,53
33,51,40,57,56
34,51,42,59,59
35,53,44,61,62
36,55,46,63,65
37,56,48,65,68
38,58,50,67,71
39,59,52,70,74
40,61,54,71,76
41,65,56,73,79
42,66,59,76,81
43,68,61,79,84
44,70,63,81,86
45,72,66,83,89
46,73,68,87,91
47,75,70,89,93
48,78,72,92,95
49,81,74,94,97
50,83,78,96,100
51,85,81,99,103
52,87,82,102,105
53,88,85,104,107
54,91,87,108,109
55,92,91,111,111
56,94,94,113,113
57,98,96,116,115
58,99,98,120,117
59,101,101,123,120
60,102,102,125,121
61,104,104,128,123
62,105,107,132,126
63,107,109,134,128
64,109,110,137,131
65,113,112,138,134
66,114,114,140,138
67,116,119,143,140
68,118,118,145,144
69,119,121,147,149
70,121,122,149,152
71,123,123,152,156
72,125,126,154,160
73,131,129,157,164
74,133,130,159,168
75,134,133,161,171
76,137,134,164,175
77,138,136,167,178
78,140,137,171,180
79,141,140,173,184
80,144,151,175,187
81,149,153,177,190
82,150,148,179,193
83,152,150,182,196
84,154,152,186,199
85,156,153,188,200
86,158,156,192,202
87,158,160,193,204
88,161,162,197,209
89,164,164,200,210
90,165,167,202,212
91,165,169,203,214
92,167,169,207,218
93,168,171,210,219
94,172,175,217,220
95,172,179,220,224
96,173,177,218,226
97,180,182,224,229
98,179,183,225,232
99,182,186,227,234
100,184,189,229,236
