n,Find SIMD (O2),Insert Cache (O3)
3,4,1
4,5,2
5,7,3
6,8,4
7,10,5
8,12,6
9,13,7
10,15,9
11,16,9
12,18,10
13,19,13
14,21,15
15,23,17
16,25,19
17,25,21
18,26,23
19,28,25
20,30,26
21,31,28
22,33,30
23,34,32
24,36,34
25,37,36
26,38,38
27,40,36
28,41,39
29,42,40
30,44,43
31,46,45
32,48,46
33,50,48
34,52,50
35,53,54
36,55,55
37,56,57
38,58,59
39,60,61
40,62,63
41,64,65
42,65,67
43,67,67
44,68,69
45,70,71
46,72,74
47,73,75
48,76,76
49,81,78
50,82,81
51,84,84
52,85,87
53,87,89
54,89,89
55,91,91
56,93,93
57,96,96
58,97,98
59,99,99
60,102,103
61,102,104
62,104,106
63,106,108
64,108,110
65,113,112
66,114,114
67,115,115
68,117,117
69,119,118
70,121,121
71,123,123
72,125,125
73,128,128
74,129,130
75,131,137
76,132,135
77,134,136
78,136,139
79,141,141
80,139,142
81,150,145
82,151,147
83,153,148
84,155,151
85,157,153
86,159,154
87,160,157
88,163,160
89,163,161
90,164,164
91,165,178
92,167,170
93,170,172
94,173,174
95,173,177
96,175,177
97,184,181
98,185,186
99,188,184
100,189,188
