n,Insert Cache (O1),Insert Cache (O3)
3,1,1
4,2,2
5,3,3
6,4,4
7,5,5
8,5,6
9,6,7
10,7,8
11,8,9
12,9,10
13,10,13
14,11,15
15,12,17
16,14,19
17,15,21
18,16,23
19,17,21
20,19,23
21,20,25
22,21,28
23,23,30
24,24,30
25,26,32
26,27,35
27,29,40
28,31,40
29,32,42
30,34,44
31,36,46
32,38,49
33,39,51
34,41,53
35,43,52
36,46,54
37,47,56
38,49,57
39,51,60
40,53,61
41,56,63
42,58,65
43,60,69
44,62,70
45,65,73
46,67,74
47,69,76
48,71,78
49,74,80
50,77,82
51,78,83
52,82,88
53,84,90
54,87,90
55,89,92
56,92,93
57,95,94
58,98,97
59,101,100
60,103,102
61,107,103
62,109,105
63,114,107
64,116,109
65,118,110
66,122,113
67,125,116
68,137,118
69,131,120
70,134,121
71,140,125
72,143,128
73,144,128
74,148,130
75,152,137
76,154,134
77,158,137
78,162,139
79,167,142
80,172,144
81,173,146
82,177,149
83,181,151
84,182,153
85,185,155
86,189,156
87,195,160
88,195,159
89,200,162
90,205,164
91,209,176
92,212,167
93,216,170
94,220,173
95,224,176
96,229,180
97,234,180
98,235,183
99,240,185
100,244,188
101,251,193
102,253,195
103,258,196
104,261,203
105,268,258
106,271,204
107,272,202
108,281,208
109,283,207
110,287,212
111,291,214
112,296,218
113,305,221
114,308,222
115,310,226
116,319,241
117,321,250
118,324,240
119,331,240
120,335,244
121,346,246
122,343,244
123,352,245
124,357,243
125,358,247
126,362,282
127,369,259
128,373,262
129,380,268
130,392,259
131,397,268
132,399,271
133,398,271
134,407,278
135,408,278
136,413,282
137,420,285
138,425,288
139,430,309
140,442,312
141,441,316
142,451,319
143,455,296
144,460,298
145,463,302
146,469,305
147,474,310
148,479,312
149,487,372
150,492,321
151,498,324
152,503,326
153,509,329
154,520,338
155,521,335
156,531,340
157,544,344
158,543,344
159,543,349
160,550,353
161,556,357
162,563,361
163,574,366
164,582,369
165,580,373
166,587,378
167,597,384
168,606,386
169,610,394
170,622,394
171,622,392
172,627,394
173,635,399
174,647,406
175,655,404
176,656,408
177,663,412
178,673,418
179,682,429
180,687,428
181,691,432
182,699,435
183,706,442
184,712,448
185,730,450
186,731,458
187,750,485
188,764,497
189,765,495
190,759,498
191,766,465
192,786,471
193,779,473
194,794,476
195,807,488
196,813,494
197,823,496
198,821,494
199,825,500
200,834,503
