n,Find SIMD (1m),Insert Cache (1m),Find SIMD (5m),Insert Cache (5m),Find SIMD (10m),Insert Cache (10m)
3,400,170,398,168,399,169
4,550,250,544,250,545,250
5,700,330,696,330,698,329
6,870,440,982,428,862,430
7,1040,530,1032,520,1030,522
8,1260,650,1262,658,1271,660
9,1370,750,1372,750,1383,752
10,1490,900,1506,870,1519,883
11,1670,980,1672,972,1688,975
12,1840,1100,1834,1096,1852,1103
13,2000,1360,2000,1342,2024,1341
14,2180,1550,2176,1524,2203,1524
15,2360,1750,2366,1740,2398,1736
16,2580,1960,2600,1938,2638,1936
17,2570,2150,2584,2140,2616,2144
18,2700,2350,2710,2342,2741,2391
19,2830,2530,2862,2520,2901,2520
20,2980,2670,3016,2650,3068,2648
21,3150,2910,3178,2834,3225,2840
22,3310,3030,3354,3010,3464,3011
23,3470,3230,3528,3214,3585,3219
24,3680,3420,3718,3394,3776,3389
25,3760,3660,3800,3582,3911,3579
26,3900,3830,3924,3776,3978,3774
27,4050,3740,4082,3674,4128,3731
28,4190,3900,4238,3872,4341,3873
29,4310,4110,4402,4068,4457,4067
30,4500,4310,4568,4280,4626,4270
31,4700,4570,4742,4482,4807,4530
32,4880,4700,4942,4624,5067,4622
33,5200,4910,5218,4822,5294,4817
34,5270,5040,5350,4980,5436,4969
35,5390,5480,5512,5410,5605,5404
36,5580,5640,5676,5542,5780,5535
37,5740,5800,5850,5740,5962,5730
38,6250,5980,6280,6030,6162,5915
39,6340,6230,6462,6124,6349,6124
40,6350,6410,6410,6328,6563,6311
41,6480,6610,6600,6510,6758,6508
42,6590,6780,6734,6718,6950,6717
43,6830,6810,6914,6712,7128,6710
44,6970,6990,7184,6930,7262,6928
45,7160,7260,7262,7150,7455,7196
46,7310,7450,7466,7460,7667,7342
47,7500,7660,7660,7550,7889,7546
48,7710,7680,7878,7620,8094,7677
49,8170,7880,8384,7948,8615,7898
50,8300,8340,8538,8294,8815,8089
51,8490,8400,8714,8384,8944,8417
52,8430,8850,8750,8916,9185,8670
53,8610,9080,9036,9020,9330,8919
54,9020,8930,9280,8902,9582,8903
55,9200,9160,9486,9122,9807,9182
56,9420,9360,9676,9438,9975,9311
57,9590,9560,10042,9524,10250,9528
58,9730,9810,10076,9762,10430,9754
59,9940,9940,10254,10004,10556,9940
60,10080,10150,10546,10120,10800,10120
61,10310,10440,10722,10340,10938,10342
62,10490,10650,10816,10556,11145,10602
63,10650,10900,11006,10820,11422,10803
64,10850,10990,11210,10908,11567,10959
65,11290,11150,11698,11120,12048,11167
66,11380,11380,11842,11336,12212,11384
67,11610,11480,12038,11452,12417,11509
68,11770,11680,12216,11762,12658,11635
69,11980,11890,12438,11848,12866,11850
70,12130,12110,12722,12050,13075,12052
71,12310,12360,12930,12300,13302,12290
72,12530,12540,13016,12630,13510,12509
73,12860,12800,13532,12866,14112,12795
74,12980,13020,13672,13048,14272,13022
75,13160,13760,13860,13676,14518,13673
76,13430,13500,14052,13436,14724,13416
77,13550,13740,14250,13654,14902,13669
78,13710,14000,14550,13870,15162,13861
79,13890,14120,14782,14086,15414,14082
80,14100,14360,15146,14382,15585,14220
81,15130,14570,15988,14610,16312,14385
82,15250,14700,16124,14946,16403,14681
83,15370,14800,16134,15096,16657,14745
84,15570,15060,16498,15240,16820,15046
85,15720,15790,16792,15548,17093,15298
86,16090,15400,17018,15612,17335,15443
87,16160,15740,17276,15924,17566,15627
88,16450,15950,17404,16142,17833,15871
89,16390,16270,17262,16350,17658,16100
90,16400,16420,17402,16620,17763,16406
91,16610,17820,17606,18002,17967,17702
92,17020,17000,17814,17156,18231,16889
93,16960,17220,17994,17420,18455,17190
94,17170,17520,18214,17644,18666,17417
95,17410,17870,18424,17892,18895,17658
96,17580,17800,18720,17978,19146,17740
97,18580,18120,19556,18282,19969,18030
98,18740,18450,19748,18606,20163,18328
99,18940,18690,19960,18686,20315,18368
100,18920,18820,20160,18980,20576,18718
