n,Find SIMD (O2),Insert Cache (O3)
3,40,17
4,55,25
5,71,33
6,87,43
7,104,52
8,127,67
9,138,74
10,151,90
11,168,98
12,184,112
13,200,136
14,218,154
15,236,176
16,259,197
17,259,218
18,272,238
19,287,256
20,303,270
21,318,289
22,335,308
23,409,327
24,369,345
25,376,363
26,390,383
27,405,373
28,421,392
29,436,413
30,452,435
31,467,455
32,486,468
33,517,488
34,533,508
35,548,550
36,563,564
37,583,584
38,598,602
39,616,623
40,632,641
41,651,660
42,664,684
43,678,683
44,696,705
45,714,725
46,732,746
47,750,765
48,767,773
49,825,797
50,842,825
51,856,847
52,872,879
53,889,899
54,907,899
55,927,925
56,950,942
57,979,964
58,992,989
59,1006,1007
60,1022,1031
61,1040,1053
62,1060,1073
63,1074,1097
64,1091,1107
65,1139,1129
66,1153,1151
67,1174,1162
68,1204,1178
69,1206,1205
70,1225,1222
71,1242,1246
72,1261,1267
73,1298,1292
74,1311,1314
75,1328,1388
76,1346,1359
77,1372,1382
78,1381,1405
79,1402,1428
80,1420,1435
81,1521,1457
82,1538,1483
83,1557,1498
84,1579,1525
85,1604,1546
86,1621,1565
87,1634,1587
88,1655,1607
89,1641,1626
90,1650,1668
91,1672,1815
92,1691,1711
93,1706,1735
94,1728,1759
95,1749,1790
96,1770,1801
97,1869,1825
98,1873,1849
99,1897,1860
100,1911,1888
