n,Find SIMD (O2)
3,40
4,55
5,70
6,87
7,103
8,126
9,137
10,150
11,166
12,182
13,199
14,216
15,233
16,256
17,261
18,273
19,288
20,305
21,321
22,337
23,353
24,373
25,383
26,393
27,411
28,426
29,443
30,457
31,475
32,495
33,517
34,531
35,548
36,563
37,579
38,596
39,614
40,632
41,656
42,667
43,685
44,698
45,715
46,736
47,755
48,776
49,831
50,841
51,860
52,877
53,897
54,921
55,933
56,1013
57,980
58,991
59,1007
60,1024
61,1043
62,1059
63,1081
64,1096
65,1161
66,1177
67,1189
68,1207
69,1222
70,1242
71,1264
72,1286
73,1305
74,1321
75,1337
76,1346
77,1374
78,1389
79,1403
80,1424
81,1530
82,1543
83,1556
84,1578
85,1593
86,1611
87,1636
88,1656
89,1638
90,1655
91,1675
92,1691
93,1706
94,1724
95,1746
96,1766
97,1891
98,1908
99,1925
100,1945
