n,Find SIMD (O2),Insert Cache (O3)
3,199,84
4,272,125
5,348,165
6,491,214
7,516,260
8,631,329
9,686,375
10,753,435
11,836,486
12,917,548
13,1000,671
14,1088,762
15,1183,870
16,1300,969
17,1292,1070
18,1355,1171
19,1431,1260
20,1508,1325
21,1589,1417
22,1677,1505
23,1764,1607
24,1859,1697
25,1900,1791
26,1962,1888
27,2041,1837
28,2119,1936
29,2201,2034
30,2284,2140
31,2371,2241
32,2471,2312
33,2609,2411
34,2675,2490
35,2756,2705
36,2838,2771
37,2925,2870
38,3140,3015
39,3231,3062
40,3205,3164
41,3300,3255
42,3367,3359
43,3457,3356
44,3592,3465
45,3631,3575
46,3733,3730
47,3830,3775
48,3939,3810
49,4192,3974
50,4269,4147
51,4357,4192
52,4375,4458
53,4518,4510
54,4640,4451
55,4743,4561
56,4838,4719
57,5021,4762
58,5038,4881
59,5127,5002
60,5273,5060
61,5361,5170
62,5408,5278
63,5503,5410
64,5605,5454
65,5849,5560
66,5921,5668
67,6019,5726
68,6108,5881
69,6219,5924
70,6361,6025
71,6465,6150
72,6508,6315
73,6766,6433
74,6836,6524
75,6930,6838
76,7026,6718
77,7125,6827
78,7275,6935
79,7391,7043
80,7573,7191
81,7994,7305
82,8062,7473
83,8067,7548
84,8249,7620
85,8396,7774
86,8509,7806
87,8638,7962
88,8702,8071
89,8631,8175
90,8701,8310
91,8803,9001
92,8907,8578
93,8997,8710
94,9107,8822
95,9212,8946
96,9360,8989
97,9778,9141
98,9874,9303
99,9980,9343
100,10080,9490
