n,Find SIMD (1m),Find SIMD (2m),Find SIMD (3m),Find SIMD (4m),Find SIMD (5m),Find SIMD (10m),Find SIMD (20m)
3,2400,2430,2420,2400,2412,2412,2445
4,3300,3300,3320,3270,3288,3270,3297
5,4200,4200,4240,4170,4176,4182,4221
6,5220,5250,5240,5175,5172,5178,5274
7,6180,6210,6200,6105,6132,6210,6294
8,7560,7590,7620,7500,7524,7650,7830
9,8220,8190,8280,8160,8172,8310,8511
10,9000,9000,9060,8925,8976,9060,9345
11,9960,9990,10000,9900,9912,10158,10365
12,10920,10950,11000,10860,10896,11082,11397
13,11940,12000,12040,12480,11916,12114,12495
14,12960,12990,13040,12885,12924,13206,13674
15,13980,14190,14120,13995,14040,14364,14859
16,15360,15450,15500,15345,15420,15732,16353
17,15660,15720,15760,15570,15672,15906,16485
18,16380,16440,16560,16365,16368,16626,17262
19,17280,17370,17460,17235,17940,17646,18273
20,18300,18300,18460,18150,18252,18582,19308
21,19260,19320,19440,19125,19236,19560,20334
22,20220,20250,20340,20115,20316,20616,21474
23,21180,21270,21400,21180,21336,21678,22716
24,22380,22410,22620,22305,22500,22932,24009
25,22980,22980,23200,22905,23040,23424,24342
26,23580,23850,23960,23625,23796,24222,25119
27,24660,24750,24840,24630,24696,25134,26166
28,25560,25650,25780,25575,26412,26124,27204
29,26580,26610,26760,26415,26640,27102,27867
30,27420,27690,27840,27570,27696,28152,28962
31,28500,28800,28860,28620,28764,29634,30381
32,29700,29850,29960,29745,29880,30390,31680
33,31020,31410,31600,31215,31332,32010,32988
34,31860,32100,32260,32010,32160,32772,33801
35,32880,33180,33300,33045,33228,33822,35094
36,33780,34170,34240,33960,34116,34920,36009
37,34740,35220,35420,34995,35124,36084,37239
38,35760,36150,36420,36090,36312,37188,38439
39,36840,37290,37560,37935,37356,38286,39840
40,37920,38340,38720,38325,38508,39558,41046
41,39360,39930,40000,39570,39804,41274,42486
42,40020,40650,40940,40335,40608,42096,43368
43,41100,41670,41980,41490,41700,42780,44346
44,41880,42720,42840,42585,42588,43908,45519
45,42900,43620,43960,44430,43728,45108,46752
46,44160,44910,45180,44625,44904,46272,48129
47,45300,45780,46280,45810,46104,47508,49437
48,46560,47100,47540,47070,47364,48798,50877
49,49860,50550,50900,50355,50688,52176,54174
50,50460,51270,51720,51150,52128,53070,55161
51,51600,52470,52620,52200,52452,54090,56190
52,52620,53310,53740,53205,53580,55080,57540
53,53820,54420,54900,54345,54696,56346,58794
54,55260,55530,56020,55500,55920,57732,60081
55,55980,56790,57120,56805,57060,58788,61266
56,60780,58830,58380,57915,58356,60312,62721
57,58800,59910,60280,60720,60864,62340,65529
58,59460,60600,61340,60780,61056,63294,66618
59,60420,61440,62380,61605,62136,64410,67845
60,61440,62370,63060,62790,63216,65502,69027
61,62580,63540,64260,64455,64356,66624,70164
62,63540,64770,65400,64920,66036,68340,71631
63,64860,65850,66760,66810,66720,69318,72936
64,65760,67080,67940,67455,67980,70734,74592
65,69660,70740,71480,71565,72096,74082,77784
66,70620,71580,72360,71670,72264,74970,78939
67,71340,72750,73400,72825,73380,76542,80127
68,72420,73620,74380,74070,74496,77574,81429
69,73320,74880,75800,75105,76452,79044,82860
70,74520,76050,76920,76380,76956,79932,84273
71,75840,77190,78380,77475,78012,81642,85599
72,77160,78810,79540,79665,80136,82590,87189
73,78300,79500,80720,79755,80652,83976,88449
74,79260,80430,81360,80775,81324,84852,89742
75,80220,81450,82480,82710,82308,86232,90828
76,80760,82710,83660,83010,83592,87222,92079
77,82440,83820,84680,84060,85344,88332,93639
78,83340,84660,85560,85215,85920,89622,94953
79,84180,85830,87020,86490,87120,91194,96513
80,85440,86700,88340,87675,88272,92292,97800
81,91800,93150,94560,93810,94608,98526,103503
82,92580,93960,95180,94860,95532,99852,104649
83,93360,95070,96760,96195,96732,100692,106059
84,94680,95370,97500,97875,98124,101892,107343
85,95580,97650,98680,98205,99732,103554,108831
86,96660,98670,100020,99465,100932,104568,110229
87,98160,99990,101540,100830,102312,106032,111816
88,99360,101190,102660,103320,103920,107592,113571
89,98280,100620,101580,103005,102048,105810,111531
90,99300,101310,102520,103290,102744,106836,112956
91,100500,102480,103960,104430,104640,107622,114435
92,101460,103830,104680,105675,105696,109044,115698
93,102360,104910,105780,106920,106188,110004,117228
94,103440,106140,106960,107895,108060,111708,118647
95,104760,107400,108540,109365,109536,112914,120180
96,105960,108750,109660,111090,110628,114528,121866
97,113460,115560,116700,117360,117396,120750,127491
98,114480,116610,117940,118635,118452,121800,128892
99,115500,118230,119280,119910,119028,122994,129960
100,116700,119010,120360,121200,119976,124638,131775
