n,Insert Cache (O1),Insert Cache (O2),Insert Cache (O3),Insert Cache (Os),Insert Cache (Oz)
3,16,16,17,16,16
4,23,24,25,24,24
5,31,32,33,32,31
6,40,40,43,40,40
7,49,50,53,49,49
8,57,59,65,58,59
9,66,69,79,68,69
10,78,79,88,129,80
11,87,88,98,91,90
12,96,99,109,102,101
13,107,109,133,111,111
14,118,123,152,123,123
15,129,133,143,135,134
16,142,146,155,147,146
17,154,157,179,161,160
18,166,169,199,173,174
19,180,182,251,184,184
20,192,197,263,198,199
21,206,213,283,212,213
22,219,224,299,232,231
23,235,238,321,253,250
24,248,255,338,268,269
25,265,269,359,287,285
26,280,287,376,364,303
27,295,302,396,326,317
28,313,319,406,347,343
29,327,335,424,366,366
30,342,352,443,385,382
31,362,372,466,402,399
32,384,390,483,422,425
33,400,410,502,447,439
34,414,427,521,464,517
35,436,447,522,490,492
36,459,466,538,512,510
37,477,490,559,535,534
38,492,504,578,557,559
39,512,524,596,582,582
40,535,550,615,661,601
41,556,571,635,632,630
42,587,592,652,660,659
43,608,618,689,680,680
44,623,637,698,708,707
45,642,659,715,743,728
46,667,683,735,762,755
47,700,708,756,788,784
48,719,733,780,818,811
49,742,756,795,839,830
50,766,793,814,860,854
51,788,805,829,891,886
52,813,834,869,923,915
53,838,858,890,956,945
54,866,892,899,990,977
55,892,917,919,1016,999
56,919,942,926,1047,1030
57,1009,972,947,1079,1087
58,977,992,971,1108,1093
59,1003,1030,991,1136,1128
60,1089,1065,998,1172,1159
61,1062,1089,1019,1201,1188
62,1091,1123,1036,1233,1219
63,1122,1153,1060,1275,1249
64,1148,1182,1077,1294,1284
65,1180,1214,1102,1327,1317
66,1210,1244,1117,1366,1353
67,1246,1276,1153,1400,1387
68,1277,1314,1172,1430,1419
69,1303,1342,1196,1462,1454
70,1335,1374,1223,1499,1485
71,1420,1411,1242,1539,1519
72,1401,1445,1250,1570,1562
73,1432,1485,1274,1605,1591
74,1460,1512,1295,1639,1625
75,1495,1549,1349,1675,1664
76,1530,1642,1318,1712,1694
77,1563,1616,1332,1752,1733
78,1656,1656,1360,1788,1793
79,1632,1691,1383,1822,1804
80,1729,1727,1405,1862,1853
81,1705,1770,1429,1902,1891
82,1791,1804,1446,1937,1937
83,1781,1850,1488,1978,1962
84,1810,1882,1509,2019,2010
85,1846,1925,1528,2061,2044
86,1883,2019,1558,2096,2084
87,1924,2002,1579,2144,2136
88,1960,2042,1590,2184,2189
89,2008,2080,1618,2221,2223
90,2032,2123,1637,2261,2246
91,2076,2169,1741,2309,2278
92,2113,2204,1651,2353,2325
93,2168,2316,1677,2393,2389
94,2193,2295,1708,2445,2411
95,2230,2337,1739,2486,2484
96,2268,2374,1818,2522,2513
97,2311,2421,1786,2580,2551
98,2351,2464,1802,2608,2597
99,2395,2517,1860,2654,2640
100,2432,2557,1878,2700,2679
