n,Find SIMD,Insert Cache,Heap Cache,Tournament Tree
3,3,1,2,1
4,4,2,3,3
5,5,3,3,4
6,7,4,5,5
7,8,5,7,7
8,9,6,8,8
9,11,7,9,10
10,12,8,10,12
11,14,10,12,13
12,15,11,14,14
13,16,12,15,17
14,17,13,18,18
15,18,17,20,20
16,20,19,21,21
17,22,21,23,24
18,23,23,24,27
19,25,25,26,29
20,26,27,28,31
21,27,28,30,34
22,28,30,32,35
23,29,32,35,36
24,31,34,36,37
25,33,36,39,41
26,34,38,41,43
27,35,40,44,45
28,37,41,46,46
29,38,43,48,48
30,39,45,51,50
31,40,47,54,51
32,42,49,55,53
33,45,51,57,56
34,46,53,60,60
35,47,55,61,62
36,48,56,64,65
37,50,58,66,69
38,51,60,68,71
39,53,62,70,74
40,54,63,72,77
41,56,66,74,79
42,57,67,76,82
43,59,68,79,84
44,60,70,82,87
45,61,72,84,89
46,62,74,87,91
47,64,80,90,93
48,65,77,92,95
49,69,80,94,98
50,70,82,97,101
51,71,84,99,103
52,73,86,103,105
53,74,88,105,107
54,75,91,108,109
55,77,93,111,111
56,78,93,114,114
57,83,96,116,116
58,85,98,120,118
59,86,100,123,120
60,88,101,126,121
61,88,103,129,124
62,90,105,132,126
63,92,108,135,128
64,93,110,137,133
65,97,112,139,134
66,99,114,141,138
67,100,119,144,144
68,102,117,147,147
69,103,119,148,148
70,104,121,151,152
71,106,124,154,157
72,107,127,156,161
73,110,128,158,164
74,111,131,160,169
75,113,133,163,173
76,114,135,166,176
77,115,137,168,179
78,117,141,171,182
79,118,142,174,184
80,120,151,176,187
81,125,154,178,191
82,127,148,181,194
83,129,151,184,197
84,129,152,187,199
85,131,155,189,202
86,132,157,192,204
87,134,160,196,207
88,135,161,198,211
89,144,163,201,211
90,146,166,203,216
91,147,167,207,218
92,149,169,210,220
93,150,172,213,222
94,152,174,217,225
95,153,177,220,227
96,155,180,222,229
97,161,182,224,233
98,162,184,227,235
99,164,186,229,238
100,166,188,232,241
