n,Find (Cache SIMD),Find (Cache SIMD SSE),Find (Cache SIMD SSE + Unrolled),Find (Cache SIMD Inlined)
3,5,4,3,4
4,6,5,4,6
5,8,6,5,7
6,10,7,7,9
7,11,9,8,11
8,13,10,10,12
9,15,12,11,14
10,16,13,12,16
11,18,15,13,17
12,20,16,15,19
13,22,17,15,21
14,24,18,17,22
15,26,20,18,24
16,27,22,20,26
17,29,24,22,28
18,31,25,23,30
19,33,27,24,31
20,35,28,25,33
21,37,29,26,35
22,38,31,28,36
23,40,32,29,38
24,42,34,30,39
25,45,36,33,43
26,46,37,34,44
27,48,39,36,46
28,50,41,37,48
29,52,42,38,50
30,54,44,39,51
31,56,45,40,53
32,57,47,42,55
33,60,49,44,57
34,61,50,45,58
35,63,51,46,60
36,65,53,48,62
37,67,54,49,63
38,69,56,50,65
39,71,57,51,67
40,72,58,53,69
41,76,62,56,73
42,78,64,57,74
43,80,65,59,76
44,82,66,61,78
45,84,68,61,80
46,86,69,63,81
47,88,71,64,83
48,90,73,66,84
49,92,75,68,87
50,94,76,70,89
51,96,78,71,91
52,98,80,73,92
53,100,81,73,94
54,102,82,74,96
55,104,84,76,97
56,106,86,78,99
57,112,91,83,103
58,114,92,84,105
59,116,94,86,107
60,118,96,87,109
61,120,97,88,110
62,122,99,90,112
63,124,100,91,114
64,126,102,92,115
65,130,104,95,119
66,132,106,97,121
67,134,108,98,122
68,136,109,99,124
69,138,110,100,126
70,140,112,102,127
71,142,113,103,129
72,144,115,105,131
73,149,121,111,137
74,152,123,113,140
75,155,126,115,143
76,155,127,116,144
77,158,127,118,146
78,158,129,118,147
79,161,131,120,148
80,164,133,121,151
81,168,137,125,154
82,170,138,126,156
83,171,139,127,156
84,173,141,129,159
85,175,142,130,160
86,177,145,131,163
87,179,146,132,165
88,181,147,134,166
89,192,157,143,178
90,194,159,145,179
91,195,160,147,181
92,198,161,148,183
93,201,163,149,185
94,203,165,151,187
95,205,167,152,189
96,207,168,154,191
97,210,169,155,193
98,212,171,156,194
99,215,172,158,196
100,216,174,160,198
