n,Baseline (copy+sort),Find SIMD,Insert Cache,Heap Cache,Tournament Tree
3,47,38,16,22,16
4,107,49,24,29,29
5,82,58,32,38,43
6,115,76,40,52,51
7,125,90,49,69,70
8,175,104,58,78,82
9,176,108,68,89,104
10,202,120,78,104,120
11,209,134,88,123,134
12,265,147,98,138,140
13,262,157,110,158,171
14,299,168,121,179,184
15,304,182,133,201,201
16,348,196,145,214,214
17,352,214,157,227,241
18,396,226,169,243,265
19,406,240,183,263,291
20,455,253,195,279,310
21,459,263,210,300,335
22,505,274,224,322,348
23,503,288,238,345,361
24,568,301,253,361,371
25,556,326,269,381,404
26,604,338,285,405,426
27,614,351,301,430,445
28,680,365,318,453,459
29,680,374,335,477,477
30,717,386,352,504,492
31,732,400,370,533,511
32,783,413,389,546,527
33,772,438,407,559,557
34,837,450,426,580,584
35,817,464,445,601,615
36,878,478,466,620,643
37,881,489,486,641,674
38,946,500,507,664,701
39,935,514,526,687,728
40,987,528,547,707,750
41,985,551,568,726,784
42,1058,562,590,750,811
43,1039,576,612,778,836
44,1104,590,634,800,857
45,1099,600,658,826,880
46,1160,612,683,854,900
47,1202,626,705,882,924
48,1219,640,729,901,941
49,1226,675,753,920,971
50,1286,685,778,947,1000
51,1283,700,804,972,1024
52,1392,715,829,998,1048
53,1332,725,856,1025,1069
54,1408,735,883,1055,1093
55,1396,750,911,1088,1111
56,1456,764,923,1112,1134
57,1436,817,945,1139,1157
58,1514,828,964,1170,1184
59,1489,842,994,1204,1208
60,1570,857,997,1232,1225
61,1575,868,1017,1262,1251
62,1644,880,1043,1295,1270
63,1610,894,1063,1326,1298
64,1729,909,1080,1345,1324
65,1668,947,1100,1360,1354
66,1745,957,1126,1385,1382
67,1737,972,1163,1405,1417
68,1815,987,1156,1427,1457
69,1785,998,1179,1444,1495
70,1903,1010,1197,1473,1529
71,1853,1025,1222,1496,1559
72,1933,1040,1242,1516,1593
73,1913,1064,1264,1535,1624
74,2016,1076,1287,1564,1659
75,1980,1091,1310,1592,1691
76,2059,1105,1333,1618,1721
77,2066,1115,1356,1640,1751
78,2140,1127,1373,1672,1780
79,2087,1142,1396,1697,1812
80,2169,1157,1726,1718,1838
81,2153,1207,1764,1737,1867
82,2230,1221,1460,1764,1887
83,2227,1237,1480,1796,1914
84,2292,1251,1498,1820,1942
85,2282,1263,1521,1845,1965
86,2360,1275,1548,1880,1987
87,2337,1289,1572,1910,2016
88,2424,1303,1584,1935,2029
89,2417,1397,1608,1965,2055
90,2505,1409,1631,1995,2089
91,2467,1424,1649,2024,2110
92,2571,1441,1664,2057,2131
93,2514,1454,1692,2085,2156
94,2607,1465,1718,2121,2174
95,2589,1482,1744,2153,2202
96,2660,1498,1764,2174,2216
97,2629,1556,1789,2193,2251
98,2731,1568,1818,2223,2274
99,2741,1584,1836,2246,2312
100,2875,1601,1859,2275,2331
101,2776,1612,1881,2302,2361
102,2878,1625,1942,2334,2388
103,2835,1642,1930,2362,2403
104,2941,1659,1952,2392,2435
105,2906,1674,1974,2415,2466
106,3001,1686,1995,2454,2480
107,2975,1704,2036,2484,2512
108,3075,1720,2064,2518,2525
109,3045,1731,2089,2547,2555
110,3130,1744,2121,2588,2577
111,3083,1760,2159,2617,2599
112,3185,1778,2201,2652,2630
113,3164,1842,2230,2672,2649
114,3230,1856,2254,2708,2673
115,3209,1872,2420,2740,2692
116,3320,1894,2287,2773,2723
117,3248,1908,2313,2814,2746
118,3370,1919,2314,2846,2769
119,3322,1936,2337,2883,2790
120,3444,1954,2368,2916,2819
121,3405,2083,2395,2944,2839
122,3553,2103,2404,2984,2870
123,3448,2119,2405,3018,2891
124,3566,2138,2417,3056,2916
125,3532,2151,2441,3084,2952
126,3626,2165,2567,3128,2974
127,3584,2184,2596,3161,2994
128,3685,2207,2595,3186,3020
129,3690,2277,2628,3209,3057
130,3761,2286,2658,3235,3101
131,3733,2305,2870,3259,3137
132,3810,2324,2892,3289,3170
133,3801,2340,2934,3312,3211
134,3881,2355,2973,3343,3249
135,3837,2373,2845,3369,3296
136,3934,2393,2884,3399,3324
137,3909,2405,2917,3420,3376
138,3994,2420,2954,3453,3406
