n,Baseline (copy+sort),Find SIMD (O2),Find SIMD (O3),Insert Cache (O2),Insert Cache (O3),Heap Cache (O2),Heap Cache (O3),Tournament Tree (O2),Tournament Tree (O3)
3,47,38,38,16,17,22,22,16,16
4,107,49,49,24,25,30,29,29,29
5,82,59,58,32,33,39,38,44,43
6,115,76,76,40,42,52,52,51,51
7,125,91,90,49,52,69,70,70,72
8,175,105,104,58,66,78,78,82,82
9,176,108,108,68,76,89,89,104,104
10,202,120,121,78,88,105,104,120,120
11,209,134,134,88,98,125,123,135,134
12,265,148,147,98,111,139,138,141,140
13,262,157,157,110,134,158,158,171,171
14,299,168,170,121,152,181,179,187,184
15,304,183,182,133,143,203,201,202,201
16,348,196,196,145,155,215,214,214,215
17,352,214,216,157,178,228,227,241,241
18,396,226,226,169,197,245,243,265,265
19,406,241,240,183,252,264,263,291,291
20,455,253,253,195,264,280,279,310,311
21,459,263,263,210,282,300,300,335,335
22,505,274,275,224,300,324,322,350,348
23,503,288,288,238,298,346,345,361,362
24,568,301,302,253,307,363,361,371,372
25,556,326,327,269,327,382,381,404,405
26,604,338,338,285,347,406,405,427,426
27,614,351,353,301,396,430,431,445,445
28,680,365,365,318,407,454,453,459,459
29,680,374,375,335,426,477,478,477,478
30,717,386,394,352,445,508,504,498,492
31,732,406,400,370,466,536,533,511,514
32,783,413,415,389,483,547,546,527,527
33,772,438,439,407,502,560,559,557,559
34,837,450,451,426,522,581,580,584,588
35,817,464,464,445,541,603,601,615,621
36,878,478,479,466,552,621,620,643,650
37,881,490,489,486,571,641,642,674,682
38,946,500,500,507,589,666,664,701,709
39,935,514,515,526,610,692,687,728,734
40,987,528,529,547,637,711,707,750,758
41,985,551,551,568,655,731,726,784,788
42,1058,562,562,590,668,757,750,811,813
43,1039,576,577,612,670,787,778,836,839
44,1104,590,591,634,691,811,800,857,861
45,1099,601,600,658,712,837,826,880,884
46,1160,612,612,683,731,871,854,900,904
47,1202,626,626,705,788,899,882,924,928
48,1219,640,641,729,761,916,901,941,950
49,1226,675,675,753,784,933,920,971,977
50,1286,686,685,778,805,962,947,1000,1001
51,1283,704,700,804,828,987,972,1024,1029
52,1392,715,715,829,848,1012,998,1048,1049
53,1332,725,726,856,868,1036,1025,1069,1076
54,1408,736,735,883,890,1069,1055,1093,1095
55,1396,750,750,911,911,1100,1088,1111,1116
56,1456,764,765,940,923,1125,1112,1134,1138
57,1436,817,817,968,945,1151,1139,1157,1162
58,1514,828,828,994,964,1184,1170,1184,1185
59,1489,842,844,1022,994,1217,1204,1208,1208
60,1570,858,857,1056,997,1248,1232,1225,1232
61,1575,868,871,1087,1017,1278,1262,1251,1254
62,1644,880,880,1116,1043,1313,1295,1270,1279
63,1610,894,895,1148,1063,1344,1326,1298,1300
64,1729,909,909,1177,1080,1359,1345,1326,1324
65,1668,947,947,1210,1100,1374,1360,1354,1357
66,1745,958,957,1241,1126,1395,1385,1382,1393
67,1737,972,972,1273,1163,1420,1405,1417,1427
68,1815,987,988,1304,1156,1442,1427,1457,1462
69,1785,998,998,1338,1179,1460,1444,1495,1496
70,1903,1010,1010,1374,1197,1488,1473,1529,1530
71,1853,1025,1025,1404,1222,1516,1496,1559,1569
72,1933,1040,1040,1439,1242,1532,1516,1593,1593
73,1913,1064,1064,1472,1264,1553,1535,1624,1631
74,2016,1076,1078,1507,1287,1578,1564,1661,1659
75,1980,1091,1092,1543,1310,1607,1592,1691,1697
76,2059,1105,1109,1578,1333,1630,1618,1724,1721
77,2066,1115,1118,1613,1356,1657,1640,1757,1751
78,2140,1127,1129,1650,1373,1687,1672,1781,1780
79,2087,1142,1142,1688,1396,1717,1697,1812,1815
80,2169,1157,1159,1726,1775,1737,1718,1838,1838
81,2153,1207,1211,1764,1806,1758,1737,1869,1867
82,2230,1221,1222,1800,1460,1784,1764,1897,1887
83,2227,1237,1238,1837,1480,1814,1796,1926,1914
84,2292,1251,1252,1877,1498,1840,1820,1951,1942
85,2282,1278,1263,1916,1521,1869,1845,1983,1965
86,2360,1275,1276,1953,1548,1901,1880,2005,1987
87,2337,1289,1289,1994,1572,1935,1910,2022,2016
88,2424,1303,1305,2035,1584,1960,1935,2042,2029
89,2417,1397,1397,2075,1608,1988,1965,2071,2055
90,2505,1411,1409,2118,1631,2019,1995,2095,2089
91,2467,1424,1427,2158,1649,2055,2024,2123,2110
92,2571,1441,1443,2205,1664,2083,2057,2145,2131
93,2514,1454,1455,2253,1692,2114,2085,2168,2156
94,2607,1465,1469,2290,1718,2150,2121,2190,2174
95,2589,1482,1483,2327,1744,2189,2153,2215,2202
96,2660,1498,1498,2371,1764,2204,2174,2238,2216
97,2629,1556,1559,2414,1789,2228,2193,2265,2251
98,2731,1569,1568,2459,1818,2256,2223,2295,2274
99,2741,1588,1584,2505,1836,2287,2246,2320,2312
100,2875,1601,1601,2549,1859,2311,2275,2340,2331
101,2776,1614,1612,2596,1881,2339,2302,2370,2361
102,2878,1628,1625,2649,1942,2372,2334,2395,2388
103,2835,1642,1645,2691,1930,2406,2362,2418,2403
104,2941,1662,1659,2733,1952,2428,2392,2444,2435
105,2906,1674,1677,2779,1974,2457,2415,2466,2467
106,3001,1686,1691,2829,1995,2488,2454,2489,2480
107,2975,1704,1706,2877,2036,2526,2484,2519,2512
108,3075,1720,1723,2926,2064,2552,2518,2537,2525
109,3045,1731,1737,2978,2089,2591,2547,2555,2559
110,3130,1744,1747,3026,2121,2628,2588,2577,2583
111,3083,1760,1763,3074,2159,2665,2617,2607,2599
112,3185,1778,1781,3119,2201,2687,2652,2630,2630
113,3164,1842,1845,3169,2230,2720,2672,2650,2649
114,3230,1856,1859,3223,2254,2750,2708,2674,2673
115,3209,1872,1907,3274,2420,2786,2740,2714,2692
116,3320,1895,1894,3328,2287,2819,2773,2727,2723
117,3248,1908,1909,3378,2313,2855,2814,2746,2746
118,3370,1919,1920,3430,2314,2895,2846,2769,2774
119,3322,1937,1936,3484,2337,2936,2883,2790,2795
120,3444,1954,1957,3535,2368,2964,2916,2819,2820
121,3405,2083,2086,3588,2395,2999,2944,2839,2849
122,3553,2104,2103,3641,2404,3035,2984,2874,2870
123,3448,2119,2119,3698,2405,3077,3018,2896,2891
124,3566,2138,2140,3752,2417,3108,3056,2916,2926
125,3532,2151,2156,3807,2441,3148,3084,2952,2954
126,3626,2165,2169,3864,2567,3195,3128,2979,2974
127,3584,2184,2186,3918,2596,3227,3161,3003,2994
128,3685,2207,2207,3980,2595,3247,3186,3026,3020
129,3690,2277,2286,4039,2628,3270,3209,3065,3057
130,3761,2286,2294,4089,2658,3294,3235,3101,3102
131,3733,2305,2315,4162,2870,3326,3259,3137,3142
132,3810,2324,2332,4219,2892,3347,3289,3170,3178
133,3801,2340,2347,4279,2934,3375,3312,3222,3211
134,3881,2355,2365,4341,2973,3403,3343,3255,3249
135,3837,2373,2381,4389,2845,3432,3369,3296,3296
136,3934,2393,2404,4452,2884,3453,3399,3335,3324
137,3909,2405,2408,4509,2917,3475,3420,3379,3376
138,3994,2420,2422,4570,2954,3507,3453,3415,3406
139,3988,2440,2437,4635,2997,3541,3484,3459,3451
140,4051,2457,2457,4702,3030,3560,3508,3489,3485
141,4051,2476,2476,4760,3060,3594,3534,3527,3524
142,4140,2490,2489,4823,3095,3626,3568,3566,3560
143,4116,2507,2508,4887,3126,3658,3593,3600,3591
144,4250,2529,2528,4944,3159,3676,3621,3642,3631
145,4160,2608,2609,5013,3194,3703,3644,3677,3670
146,4229,2624,2624,5075,3228,3785,3676,3709,3704
147,4285,2644,2646,5138,3263,3765,3699,3757,3747
148,4351,2663,2668,5204,3302,3789,3734,3791,3789
149,4315,2679,2682,5264,3331,3822,3755,3835,3814
150,4448,2694,2697,5330,3370,3853,3791,3861,3851
151,4322,2716,2716,5394,3397,3891,3822,3904,3888
152,4456,2737,2735,5454,3434,3916,3854,3935,3920
153,4399,2918,2918,5519,3467,3946,3879,3969,3962
154,4570,2937,2938,5585,3505,3976,3918,4010,3994
155,4524,2957,2960,5654,3525,4010,3951,4049,4090
156,4590,2977,2978,5725,3557,4044,3985,4085,4070
157,4513,2997,3003,5794,3592,4081,4011,4125,4106
158,4668,3013,3021,5860,3635,4119,4050,4152,4142
159,4621,3042,3040,5943,3627,4151,4082,4188,4183
160,4742,3059,3059,6009,3668,4180,4111,4221,4214
161,4682,3155,3157,6082,3700,4205,4135,4264,4241
162,4823,3172,3176,6153,3742,4234,4169,4301,4284
163,4721,3193,3219,6222,3804,4270,4194,4357,4345
164,4887,3239,3259,6297,3839,4297,4234,4413,4385
165,4844,3271,3276,6364,3884,4339,4263,4440,4427
166,4967,3291,3297,6451,3921,4372,4302,4471,4466
167,4889,3317,3325,6511,3966,4411,4336,4510,4498
168,4974,3344,3352,6586,4006,4442,4371,4542,4529
169,4952,3326,3327,6665,4048,4482,4402,4577,4568
170,5080,3359,3355,6754,4087,4515,4444,4608,4596
171,5079,3380,3387,6822,4219,4556,4475,4648,4624
172,5118,3418,3416,6892,4255,4592,4519,4677,4662
173,5028,3440,3444,6986,4292,4629,4553,4702,4689
174,5208,3465,3465,7061,4333,4675,4595,4731,4710
175,5105,3480,3496,7162,4356,4708,4627,4758,4741
176,5269,3514,3519,7230,4409,4737,4656,4790,4765
177,5214,3599,3597,7309,4441,4769,4680,4817,4812
178,5349,3606,3619,7384,4478,4802,4719,4847,4843
179,5229,3632,3638,7471,4480,4840,4751,4880,4863
