n,Find (Cache SIMD),Insert (Cache),Heap (Cache),Tournament Tree (Cache)
3,35,17,22,16
4,50,25,29,29
5,59,33,38,43
6,72,43,52,52
7,85,53,69,72
8,100,67,79,84
9,111,77,91,105
10,123,87,106,121
11,135,97,125,135
12,149,108,139,142
13,159,135,158,174
14,170,155,181,188
15,185,148,204,203
16,200,157,217,218
17,220,181,230,245
18,230,197,247,269
19,243,253,263,291
20,255,266,280,311
21,265,285,300,335
22,277,303,323,348
23,291,299,345,356
24,304,310,364,366
25,328,330,383,403
26,341,348,408,429
27,357,399,433,446
28,369,409,457,461
29,377,428,480,480
30,388,447,508,495
31,402,469,535,512
32,417,488,551,530
33,440,504,564,563
34,453,525,580,588
35,464,543,601,617
36,478,556,625,648
37,490,582,650,684
38,510,594,673,706
39,520,619,701,737
40,539,642,724,765
41,554,653,731,787
42,568,673,757,817
43,581,676,782,839
44,595,697,808,860
45,605,719,836,883
46,617,739,864,903
47,635,800,891,923
48,650,775,917,946
49,687,789,930,970
50,691,816,960,1001
51,710,844,985,1026
52,719,855,1015,1041
53,730,877,1036,1065
54,741,903,1070,1085
55,760,929,1106,1116
56,774,938,1131,1137
57,826,960,1149,1149
58,837,977,1182,1168
59,856,1010,1222,1189
60,873,1019,1258,1222
61,884,1033,1287,1236
62,887,1064,1320,1256
63,920,1086,1353,1277
64,925,1104,1372,1306
65,964,1126,1389,1334
66,976,1149,1412,1369
67,989,1182,1428,1409
68,1000,1171,1452,1442
69,1010,1198,1475,1483
70,1023,1213,1495,1523
71,1043,1238,1524,1554
72,1054,1259,1543,1593
73,1080,1281,1560,1633
74,1090,1307,1586,1667
75,1107,1339,1614,1702
76,1119,1364,1637,1732
77,1129,1388,1663,1762
78,1139,1410,1703,1789
79,1154,1420,1724,1821
80,1169,1515,1741,1849
81,1224,1546,1768,1879
82,1236,1475,1793,1917
83,1252,1500,1824,1950
84,1271,1518,1854,1970
85,1285,1544,1888,1998
86,1288,1570,1914,2018
87,1310,1592,1947,2038
88,1316,1605,1969,2057
89,1416,1629,1992,2094
90,1426,1649,2026,2110
91,1440,1671,2060,2141
92,1464,1691,2092,2161
93,1472,1713,2126,2194
94,1483,1738,2163,2205
95,1499,1761,2183,2230
96,1511,1787,2209,2247
97,1572,1809,2237,2278
98,1587,1834,2256,2309
99,1604,1858,2294,2333
100,1620,1879,2313,2362
