n,Find (Cache SIMD Unrolled),Find SIMD (O3),Heap Cache (O3),Tournament Tree (O3)
300,8573,9540,9028,9050
301,8691,9602,9164,9128
302,8681,10140,9156,9189
303,8661,10087,9126,9123
304,8619,9603,9106,9168
305,8820,9757,9128,9198
306,8880,10288,9184,9291
307,8872,10328,9236,9319
308,8903,9868,9253,9332
309,8934,9900,9273,9361
310,9019,10457,9333,9410
311,8996,10492,9355,9452
312,9039,9989,9418,9501
313,9066,10183,9482,9545
314,9085,10717,9485,9590
315,9147,10732,9516,9629
316,9153,10280,9564,9686
317,9202,10316,9596,9755
318,9201,10869,9653,9755
319,9244,10915,9678,9786
320,9286,10438,9717,9822
321,9573,10612,9732,9866
322,9613,11139,9801,9957
323,9635,11178,9810,9989
324,9661,10692,9883,9998
325,9706,10726,9899,10046
326,9749,11318,9976,10052
327,9757,11341,9973,10104
328,9785,10810,10020,10140
329,10057,11039,10023,10162
330,10083,11574,10112,10217
331,10112,11601,10130,10278
332,10143,11151,10141,10292
333,10186,11103,10199,10337
334,10202,11760,10263,10398
335,10250,11821,10266,10448
336,10259,11263,10297,10461
337,10562,11448,10354,10528
338,10607,12050,10420,10578
339,10630,12124,10413,10578
340,10677,11542,10442,10613
341,10704,11589,10532,10688
342,10748,12254,10538,10675
343,10769,12261,10584,10723
344,10813,11810,10631,10831
345,10955,11937,10707,10873
346,10966,12499,10713,10795
347,10773,12487,10772,10842
348,10787,12015,10788,10867
349,10846,11987,10802,10894
350,10852,12661,10857,10959
