n,Find Unrolled,Find SIMD,Insert Cache,Heap Cache,Tournament Tree,State Machine Cache
3,21,268,23,45,46,16
4,31,359,30,62,63,22
5,50,451,38,77,80,27
6,82,544,46,92,98,33
7,122,623,53,108,113,0
8,173,714,61,121,130,0
9,238,846,69,136,146,0
10,314,887,76,152,162,0
11,406,976,83,167,178,0
12,507,1066,92,182,194,0
13,633,1153,99,197,210,0
14,764,1239,106,212,225,0
15,925,1330,114,227,241,0
16,1095,1420,122,243,257,0
17,1290,1596,130,258,277,0
18,1502,1686,137,273,297,0
19,1749,1773,145,288,316,0
20,2011,1862,152,304,336,0
21,2307,1948,160,319,356,0
22,2606,2037,168,334,375,0
23,2934,2125,175,350,394,0
24,3291,2214,183,365,414,0
25,3683,2457,191,379,434,0
26,4115,2539,198,396,453,0
27,4557,2629,207,410,474,0
28,5045,2718,214,425,493,0
29,5762,2807,222,440,513,0
30,6300,2896,229,455,532,0
31,6906,2997,237,471,552,0
32,7546,3084,245,486,571,0
33,8264,3293,253,501,596,0
34,8938,3383,260,518,619,0
35,9689,3474,267,532,643,0
36,10490,3562,275,547,666,0
37,11399,3650,282,562,690,0
38,12309,3744,290,576,726,0
39,13346,3829,298,592,737,0
40,14290,3925,306,609,760,0
41,15245,4335,313,623,784,0
42,16448,4426,321,639,808,0
43,17752,4511,329,654,831,0
44,19182,4596,336,691,854,0
45,20461,4685,344,684,879,0
46,21910,4778,351,699,902,0
47,23252,4861,359,714,924,0
48,25031,4948,366,729,949,0
49,26278,5433,375,745,972,0
50,27945,5524,382,760,995,0
