n,Find Unrolled (O1),Find Unrolled (O2),Find Unrolled (O3),Find Unrolled (Os),Find Unrolled (Oz),Find SIMD (O1),Find SIMD (O2),Find SIMD (O3),Find SIMD (Os),Find SIMD (Oz),Insert Cache (O1),Insert Cache (O2),Insert Cache (O3),Insert Cache (Os),Insert Cache (Oz),Heap Cache (O1),Heap Cache (O2),Heap Cache (O3),Heap Cache (Os),Heap Cache (Oz),Tournament Tree (O1),Tournament Tree (O2),Tournament Tree (O3),Tournament Tree (Os),Tournament Tree (Oz),State Machine Cache (O1),State Machine Cache (O2),State Machine Cache (O3),State Machine Cache (Os),State Machine Cache (Oz)
3,24,21,24,22,23,272,268,269,272,273,42,34,49,23,23,45,184,183,184,185,57,47,46,77,77,18,16,16,21,21
4,33,31,32,32,32,375,363,359,364,369,56,45,65,31,30,62,249,248,250,249,77,63,63,104,104,24,24,22,30,23
5,50,50,50,50,50,459,451,452,456,458,71,57,81,38,38,77,309,310,310,310,98,80,80,129,129,39,27,27,30,31
6,83,83,83,83,82,555,544,544,550,552,85,56,86,46,46,92,373,371,376,373,117,98,98,155,155,37,39,33,39,44
7,124,123,122,123,122,649,623,634,642,634,99,79,112,53,54,108,433,425,432,427,137,113,113,180,177,0,0,0,0,0
8,173,173,173,173,173,736,715,714,723,725,111,89,128,61,61,121,488,487,488,489,156,131,130,202,203,0,0,0,0,0
9,238,238,238,238,238,876,846,847,849,866,125,101,144,69,69,136,548,548,549,550,181,146,146,228,229,0,0,0,0,0
10,317,314,316,314,316,932,891,887,892,903,140,112,160,76,77,152,609,609,610,610,204,162,162,254,254,0,0,0,0,0
11,406,414,406,413,406,1023,976,978,982,995,154,123,177,83,84,167,669,669,671,672,229,178,178,283,280,0,0,0,0,0
12,507,509,509,508,509,1124,1066,1066,1072,1085,167,134,192,92,92,182,731,730,731,732,253,194,194,305,306,0,0,0,0,0
13,636,633,638,633,638,1217,1154,1153,1160,1174,181,146,209,99,99,197,791,790,794,794,272,210,210,331,331,0,0,0,0,0
14,770,766,774,764,777,1311,1239,1242,1249,1286,196,157,225,107,106,212,852,852,854,856,306,225,226,357,357,0,0,0,0,0
15,934,931,930,937,925,1403,1330,1330,1340,1356,209,168,241,114,114,227,914,913,914,918,332,241,241,385,383,0,0,0,0,0
16,1095,1102,1099,1108,1095,1504,1420,1420,1428,1446,222,180,257,122,122,243,975,977,976,978,350,257,257,408,407,0,0,0,0,0
17,1290,1297,1294,1299,1292,1682,1596,1597,1600,1640,236,191,273,158,130,258,1035,1034,1038,1038,376,277,277,434,435,0,0,0,0,0
18,1525,1502,1531,1502,1532,1766,1715,1686,1691,1697,252,202,290,138,137,273,1097,1098,1099,1101,410,297,312,462,470,0,0,0,0,0
19,1750,1788,1753,1784,1749,1881,1774,1773,1779,1790,267,247,306,145,145,288,1158,1157,1160,1162,410,316,316,489,503,0,0,0,0,0
20,2014,2011,2011,2021,2012,1980,1863,1862,1870,1881,280,224,322,152,152,304,1219,1219,1221,1225,433,336,336,517,536,0,0,0,0,0
21,2307,2311,2309,2308,2316,2053,1996,1948,1956,1970,294,236,338,160,160,319,1279,1280,1293,1284,455,356,356,544,561,0,0,0,0,0
22,2606,2615,2606,2608,2609,2155,2037,2038,2046,2061,307,247,354,168,168,334,1340,1340,1343,1348,469,375,375,570,601,0,0,0,0,0
23,2934,2935,2935,2944,2938,2263,2130,2125,2138,2162,321,258,370,175,214,350,1401,1400,1403,1405,491,395,394,597,628,0,0,0,0,0
24,3296,3297,3295,3297,3291,2344,2214,2215,2226,2242,335,269,386,183,183,365,1462,1461,1466,1468,512,414,416,624,660,0,0,0,0,0
25,3688,3689,3686,3683,3688,2563,2457,2457,2494,2471,350,281,403,191,191,379,1523,1521,1526,1528,533,434,434,652,694,0,0,0,0,0
26,4122,4128,4122,4132,4115,2656,2547,2546,2539,2563,362,292,429,199,198,396,1587,1585,1586,1592,555,453,454,681,721,0,0,0,0,0
27,4563,4573,4560,4568,4557,2756,2639,2655,2629,2658,375,303,435,207,215,410,1646,1645,1646,1650,570,474,474,704,733,0,0,0,0,0
28,5055,5054,5052,5055,5045,2851,2730,2730,2718,2748,396,314,450,214,214,425,1702,1704,1707,1711,590,493,493,732,800,0,0,0,0,0
29,5791,5762,5806,5770,5766,2942,2814,2821,2807,2833,409,325,467,222,222,440,1765,1766,1771,1772,611,513,513,760,832,0,0,0,0,0
30,6300,6325,6306,6323,6307,3036,2903,2905,2896,2923,425,337,483,229,229,455,1825,1849,1839,1835,633,532,532,785,866,0,0,0,0,0
31,6906,6941,6912,6944,6928,3121,2997,3008,3028,3013,440,349,499,237,237,471,1890,1888,1893,1896,654,553,552,812,896,0,0,0,0,0
32,7587,7546,7584,7567,7644,3238,3088,3090,3084,3103,448,359,515,245,245,486,1950,1951,1952,1958,672,571,573,845,918,0,0,0,0,0
33,8279,8310,8264,8291,8270,3410,3297,3293,3305,3375,463,371,531,253,253,501,2011,2011,2016,2018,697,598,596,868,952,0,0,0,0,0
34,8943,8938,8941,8941,8989,3497,3385,3383,3393,3423,476,382,547,260,260,518,2072,2070,2084,2086,721,620,619,896,995,0,0,0,0,0
35,9712,9725,9746,9705,9689,3602,3475,3474,3532,3567,489,393,564,268,267,532,2132,2137,2137,2140,746,643,643,923,999,0,0,0,0,0
36,10516,10490,10516,10494,10580,3696,3567,3562,3564,3602,505,405,580,275,275,547,2228,2190,2196,2199,769,666,666,950,1023,0,0,0,0,0
