n,Find (Cache SIMD),Insert (Cache),Heap (Cache),Tournament Tree (Cache)
3,3,1,2,1
4,4,2,2,2
5,5,3,3,4
6,6,4,5,5
7,8,5,6,7
8,9,6,7,8
9,11,7,8,10
10,12,9,10,12
11,13,9,12,13
12,14,10,13,14
13,15,11,15,17
14,17,13,17,18
15,18,14,20,20
16,19,15,21,21
17,21,17,22,24
18,22,19,24,26
19,24,21,26,29
20,25,23,27,31
21,26,25,29,33
22,27,28,32,34
23,29,29,34,35
24,30,30,36,36
25,32,32,38,40
26,33,34,40,42
27,35,37,43,44
28,36,38,45,46
29,37,40,48,47
30,38,42,50,49
31,40,45,53,51
32,41,45,55,53
33,43,47,56,55
34,44,49,58,59
35,46,52,60,61
36,47,54,62,64
37,48,55,64,68
38,49,57,66,70
39,51,59,69,73
40,52,61,71,75
41,56,63,73,78
42,57,65,75,81
43,59,69,78,83
44,60,70,80,86
45,61,72,83,88
46,62,74,86,90
47,64,80,89,92
48,65,78,91,94
49,68,80,93,97
50,69,82,95,99
51,71,84,98,102
52,73,85,101,104
53,74,87,103,106
54,75,89,106,108
55,76,92,109,110
56,78,93,112,112
57,81,95,114,114
58,82,97,117,117
59,83,99,121,118
60,85,102,124,121
61,86,104,126,122
62,87,106,130,124
63,89,108,134,127
64,90,109,135,129
65,94,111,137,132
66,96,113,139,137
67,97,118,141,139
68,98,117,143,144
69,100,120,145,146
70,101,122,148,150
71,103,124,151,156
72,104,125,153,158
73,109,127,154,162
74,111,130,157,166
75,112,131,160,170
76,115,135,162,175
77,117,137,167,175
78,116,138,167,178
79,117,139,169,180
80,119,150,172,183
81,126,152,174,186
82,127,145,177,190
83,129,148,180,192
84,130,148,183,195
85,131,150,185,200
86,136,156,192,203
87,137,159,195,205
88,138,162,197,207
89,139,164,199,211
90,141,165,204,212
91,142,168,206,215
92,144,171,210,217
93,145,173,213,219
94,146,176,215,223
95,148,178,219,224
96,149,179,221,228
97,156,182,223,231
98,157,185,227,233
99,158,188,229,234
100,160,190,232,237
