n,Find (100k),Insert (100k),Heap (100k),Tournament Tree (100k),Find (1m),Insert (1m),Heap (1m),Tournament Tree (1m)
3,30,10,20,10,35,17,22,16
4,40,20,20,20,50,25,29,29
5,50,30,30,40,59,33,38,43
6,60,40,50,50,72,43,52,52
7,80,50,60,70,85,53,69,72
8,90,60,70,80,100,67,79,84
9,110,70,80,100,111,77,91,105
10,120,90,100,120,123,87,106,121
11,130,90,120,130,135,97,125,135
12,140,100,130,140,149,108,139,142
13,150,110,150,170,159,135,158,174
14,170,130,170,180,170,155,181,188
15,180,140,200,200,185,148,204,203
16,190,150,210,210,200,157,217,218
17,210,170,220,240,220,181,230,245
18,220,190,240,260,230,197,247,269
19,240,210,260,290,243,253,263,291
20,250,230,270,310,255,266,280,311
21,260,250,290,330,265,285,300,335
22,270,280,320,340,277,303,323,348
23,290,290,340,350,291,299,345,356
24,300,300,360,360,304,310,364,366
25,320,320,380,400,328,330,383,403
26,330,340,400,420,341,348,408,429
27,350,370,430,440,357,399,433,446
28,360,380,450,460,369,409,457,461
29,370,400,480,470,377,428,480,480
30,380,420,500,490,388,447,508,495
31,400,450,530,510,402,469,535,512
32,410,450,550,530,417,488,551,530
33,430,470,560,550,440,504,564,563
34,440,490,580,590,453,525,580,588
35,460,520,600,610,464,543,601,617
36,470,540,620,640,478,556,625,648
37,480,550,640,680,490,582,650,684
38,490,570,660,700,510,594,673,706
39,510,590,690,730,520,619,701,737
40,520,610,710,750,539,642,724,765
41,560,630,730,780,554,653,731,787
42,570,650,750,810,568,673,757,817
43,590,690,780,830,581,676,782,839
44,600,700,800,860,595,697,808,860
45,610,720,830,880,605,719,836,883
46,620,740,860,900,617,739,864,903
47,640,800,890,920,635,800,891,923
48,650,780,910,940,650,775,917,946
49,680,800,930,970,687,789,930,970
50,690,820,950,990,691,816,960,1001
51,710,840,980,1020,710,844,985,1026
52,730,850,1010,1040,719,855,1015,1041
53,740,870,1030,1060,730,877,1036,1065
54,750,890,1060,1080,741,903,1070,1085
55,760,920,1090,1100,760,929,1106,1116
56,780,930,1120,1120,774,938,1131,1137
57,810,950,1140,1140,826,960,1149,1149
58,820,970,1170,1170,837,977,1182,1168
59,830,990,1210,1180,856,1010,1222,1189
60,850,1020,1240,1210,873,1019,1258,1222
61,860,1040,1260,1220,884,1033,1287,1236
62,870,1060,1300,1240,887,1064,1320,1256
63,890,1080,1340,1270,920,1086,1353,1277
64,900,1090,1350,1290,925,1104,1372,1306
65,940,1110,1370,1320,964,1126,1389,1334
66,960,1130,1390,1370,976,1149,1412,1369
67,970,1180,1410,1390,989,1182,1428,1409
68,980,1170,1430,1440,1000,1171,1452,1442
69,1000,1200,1450,1460,1010,1198,1475,1483
70,1010,1220,1480,1500,1023,1213,1495,1523
71,1030,1240,1510,1560,1043,1238,1524,1554
72,1040,1250,1530,1580,1054,1259,1543,1593
73,1090,1270,1540,1620,1080,1281,1560,1633
74,1110,1300,1570,1660,1090,1307,1586,1667
75,1120,1310,1600,1700,1107,1339,1614,1702
76,1150,1350,1620,1750,1119,1364,1637,1732
77,1170,1370,1670,1750,1129,1388,1663,1762
78,1160,1380,1670,1780,1139,1410,1703,1789
79,1170,1390,1690,1800,1154,1420,1724,1821
80,1190,1500,1720,1830,1169,1515,1741,1849
81,1260,1520,1740,1860,1224,1546,1768,1879
82,1270,1450,1770,1900,1236,1475,1793,1917
83,1290,1480,1800,1920,1252,1500,1824,1950
84,1300,1480,1830,1950,1271,1518,1854,1970
85,1310,1500,1850,2000,1285,1544,1888,1998
86,1360,1560,1920,2030,1288,1570,1914,2018
87,1370,1590,1950,2050,1310,1592,1947,2038
88,1380,1620,1970,2070,1316,1605,1969,2057
89,1390,1640,1990,2110,1416,1629,1992,2094
90,1410,1650,2040,2120,1426,1649,2026,2110
91,1420,1680,2060,2150,1440,1671,2060,2141
92,1440,1710,2100,2170,1464,1691,2092,2161
93,1450,1730,2130,2190,1472,1713,2126,2194
94,1460,1760,2150,2230,1483,1738,2163,2205
95,1480,1780,2190,2240,1499,1761,2183,2230
96,1490,1790,2210,2280,1511,1787,2209,2247
97,1560,1820,2230,2310,1572,1809,2237,2278
98,1570,1850,2270,2330,1587,1834,2256,2309
99,1580,1880,2290,2340,1604,1858,2294,2333
100,1600,1900,2320,2370,1620,1879,2313,2362
