n,Find Unrolled,Find SIMD,Insert Cache,Heap Cache,Tournament Tree,State Machine Cache
3,11,35,16,21,16,11
4,19,47,24,30,29,18
5,27,56,32,39,44,27
6,36,69,40,53,52,47
7,46,83,49,70,71,0
8,58,96,58,80,84,0
9,70,109,68,90,105,0
10,88,123,78,106,122,0
11,103,137,87,125,137,0
12,122,151,98,140,142,0
13,148,160,107,158,174,0
14,176,170,118,181,187,0
15,201,185,130,202,201,0
16,233,200,141,215,215,0
17,267,217,154,228,242,0
18,305,228,166,245,266,0
19,326,243,179,263,292,0
20,372,257,196,280,313,0
21,418,266,210,301,336,0
22,449,278,219,324,352,0
23,489,293,235,345,362,0
24,535,306,248,363,372,0
25,560,327,264,383,407,0
26,611,338,278,406,427,0
27,649,353,295,431,447,0
28,688,366,311,454,460,0
29,766,377,328,479,479,0
30,805,387,345,509,494,0
31,858,400,362,536,511,0
32,886,415,380,549,530,0
33,962,439,398,562,558,0
34,991,450,417,584,590,0
35,1079,464,435,604,619,0
36,1121,478,456,620,645,0
37,1196,486,477,641,676,0
38,1251,498,493,663,703,0
39,1304,512,518,689,731,0
40,1359,526,537,711,756,0
41,1417,554,557,730,790,0
42,1477,566,578,757,813,0
43,1568,580,621,784,840,0
44,1617,594,620,808,859,0
45,1709,603,644,830,882,0
46,1764,617,669,859,906,0
47,1823,631,698,888,926,0
48,1937,645,727,908,949,0
49,1972,679,744,932,972,0
50,2055,690,765,952,1005,0
