n,Find Unrolled (O1),Find Unrolled (O2),Find Unrolled (O3),Find Unrolled (Os),Find Unrolled (Oz),Find SIMD (O1),Find SIMD (O2),Find SIMD (O3),Find SIMD (Os),Find SIMD (Oz),Insert Cache (O1),Insert Cache (O2),Insert Cache (O3),Insert Cache (Os),Insert Cache (Oz),Heap Cache (O1),Heap Cache (O2),Heap Cache (O3),Heap Cache (Os),Heap Cache (Oz),Tournament Tree (O1),Tournament Tree (O2),Tournament Tree (O3),Tournament Tree (Os),Tournament Tree (Oz),State Machine Cache (O1),State Machine Cache (O2),State Machine Cache (O3),State Machine Cache (Os),State Machine Cache (Oz)
3,11,12,11,12,12,36,35,35,35,35,16,16,17,17,17,21,22,22,22,22,17,16,16,21,22,13,12,11,12,13
4,21,20,20,19,20,50,49,49,48,47,24,24,25,25,24,31,30,30,30,30,30,29,29,36,37,20,19,18,19,20
5,27,27,27,27,27,60,57,57,57,56,32,33,34,32,32,42,39,39,40,40,44,44,44,51,53,29,29,27,30,30
6,36,37,36,37,36,73,70,70,70,69,40,41,44,40,40,58,53,53,53,54,54,52,52,62,64,54,49,47,52,52
7,46,46,46,47,47,88,84,84,84,83,49,50,53,49,49,76,71,71,70,72,74,71,72,84,86,0,0,0,0,0
8,59,58,59,58,60,102,98,98,97,96,58,60,65,59,59,86,80,80,81,82,87,84,84,98,101,0,0,0,0,0
9,70,70,70,70,70,116,111,110,111,109,68,69,77,69,68,100,91,90,93,96,108,106,105,122,125,0,0,0,0,0
10,90,89,88,89,91,132,125,124,125,123,78,80,88,80,80,116,108,106,109,112,125,123,122,137,145,0,0,0,0,0
11,104,105,106,106,103,146,138,138,140,137,87,89,101,91,92,134,127,125,128,133,139,138,137,153,165,0,0,0,0,0
12,128,122,126,125,123,161,151,152,152,151,98,101,110,102,103,150,142,140,144,149,147,144,142,163,176,0,0,0,0,0
13,153,153,148,155,156,171,163,161,160,160,107,110,136,111,111,174,158,160,161,167,177,175,174,195,199,0,0,0,0,0
14,179,176,178,178,179,182,172,172,173,170,118,122,154,123,123,191,181,181,181,187,193,187,187,207,214,0,0,0,0,0
15,205,207,201,206,205,197,188,189,188,185,130,134,175,134,134,216,202,203,203,211,208,202,201,226,232,0,0,0,0,0
16,234,235,234,238,233,213,202,200,202,201,141,146,195,146,147,228,216,215,217,224,222,215,215,241,250,0,0,0,0,0
17,268,267,267,267,270,234,219,219,220,217,154,158,216,162,159,241,228,228,233,241,250,242,242,270,278,0,0,0,0,0
18,305,305,307,309,307,247,231,232,232,228,166,169,235,172,173,257,246,245,251,260,276,268,266,297,307,0,0,0,0,0
19,328,330,326,331,329,263,247,245,245,243,179,183,219,184,185,278,266,263,271,283,304,292,292,324,335,0,0,0,0,0
20,376,372,376,377,375,277,259,259,259,257,196,200,243,205,205,292,282,280,286,303,326,313,313,347,358,0,0,0,0,0
21,418,419,422,422,422,288,271,270,270,266,210,214,262,220,219,315,301,301,310,321,352,336,389,374,387,0,0,0,0,0
22,452,449,454,452,451,301,282,282,281,278,219,227,279,232,231,336,325,324,328,344,370,352,352,390,406,0,0,0,0,0
23,491,490,489,496,489,316,296,296,297,293,235,240,325,248,247,366,348,345,359,369,384,362,363,407,423,0,0,0,0,0
24,543,540,535,535,539,332,312,311,309,306,248,255,341,267,266,379,365,363,370,388,397,372,375,425,441,0,0,0,0,0
25,620,560,568,561,566,355,327,328,328,329,264,270,360,287,284,401,383,383,392,408,424,408,407,447,466,0,0,0,0,0
26,627,611,628,620,626,368,339,338,342,343,278,288,379,303,301,423,407,406,416,433,443,427,430,468,488,0,0,0,0,0
27,658,649,652,657,655,383,354,353,356,357,295,303,457,321,324,451,431,433,442,458,462,448,447,487,510,0,0,0,0,0
28,698,690,703,688,698,399,366,368,368,369,311,320,412,344,343,470,455,454,461,481,481,460,460,501,526,0,0,0,0,0
29,768,771,771,772,766,468,377,377,379,381,328,337,429,362,359,499,479,480,486,507,496,479,480,522,547,0,0,0,0,0
30,805,808,809,811,805,424,389,387,392,393,345,354,447,382,381,524,509,509,569,535,514,495,494,539,567,0,0,0,0,0
31,868,858,869,867,861,439,400,403,406,408,362,372,469,404,401,555,536,537,538,565,529,511,512,559,587,0,0,0,0,0
32,886,892,892,890,891,455,415,416,421,422,380,392,486,422,419,566,549,550,555,576,548,530,530,576,604,0,0,0,0,0
33,969,962,968,1028,969,480,440,439,444,447,398,410,506,441,440,582,562,562,574,598,579,560,558,609,641,0,0,0,0,0
34,993,995,995,996,991,493,451,450,456,459,417,429,524,464,463,599,584,584,596,620,609,590,592,642,676,0,0,0,0,0
35,1079,1133,1080,1081,1082,509,464,466,470,472,435,448,544,493,488,630,604,606,619,649,641,619,624,678,710,0,0,0,0,0
36,1126,1133,1121,1127,1121,527,478,481,484,487,456,469,555,514,512,637,626,620,636,672,671,645,653,708,739,0,0,0,0,0
37,1199,1196,1204,1202,1202,534,486,488,494,496,477,488,575,531,531,666,642,641,663,693,705,676,688,737,775,0,0,0,0,0
38,1262,1262,1251,1265,1259,545,499,498,504,506,493,511,591,557,558,689,669,663,682,727,731,703,712,768,804,0,0,0,0,0
39,1304,1318,1312,1305,1316,564,512,515,520,523,518,531,617,588,582,728,696,689,715,745,759,731,796,797,832,0,0,0,0,0
40,1376,1371,1379,1359,1373,578,526,527,534,536,537,550,692,609,605,728,719,711,727,767,787,756,760,822,856,0,0,0,0,0
41,1423,1425,1417,1429,1420,598,554,554,560,560,557,572,685,629,632,758,736,730,762,791,814,790,793,851,893,0,0,0,0,0
42,1479,1489,1477,1481,1480,611,567,566,602,577,578,597,675,652,652,779,762,757,778,821,842,813,816,877,920,0,0,0,0,0
43,1576,1569,1568,1570,1574,627,580,582,587,587,662,621,676,682,676,809,789,784,818,844,865,840,844,900,947,0,0,0,0,0
44,1624,1619,1617,1618,1632,641,594,594,599,603,620,638,696,702,698,830,816,808,826,865,882,859,865,923,965,0,0,0,0,0
45,1719,1718,1709,1718,1726,653,603,604,610,613,644,662,717,732,731,859,894,830,868,894,901,882,888,942,989,0,0,0,0,0
46,1792,1764,1773,1766,1775,665,617,621,621,623,669,694,738,751,761,945,874,859,894,920,919,906,912,962,1012,0,0,0,0,0
47,1835,1890,1836,1823,1831,681,631,631,638,638,698,708,796,791,788,918,900,888,923,949,938,926,932,989,1028,0,0,0,0,0
48,1937,1947,1941,1940,1942,697,646,645,654,653,727,734,773,813,812,935,922,908,929,966,957,949,955,1002,1050,0,0,0,0,0
49,1987,1972,1988,1988,1982,745,679,679,683,684,744,759,794,836,839,953,932,932,969,995,985,972,986,1027,1079,0,0,0,0,0
50,2062,2057,2062,2055,2075,761,690,690,696,700,765,783,810,861,860,979,967,952,978,1019,1010,1005,1006,1051,1101,0,0,0,0,0
