n,Find Unrolled,Find SIMD,Insert Cache,Heap Cache,Tournament Tree,State Machine Cache
3,116,343,159,214,167,117
4,193,473,235,295,292,180
5,263,555,314,381,429,263
6,354,681,397,519,516,466
7,458,821,481,686,709,0
8,570,948,574,783,824,0
9,686,1108,668,889,1039,0
10,874,1212,771,1043,1198,0
11,1025,1353,866,1227,1345,0
12,1223,1482,962,1382,1406,0
13,1509,1591,1068,1564,1713,0
14,1778,1714,1174,1783,1849,0
15,2056,1854,1310,2017,2044,0
16,2356,1986,1425,2164,2146,0
17,2686,2120,1527,2266,2408,0
18,3070,2236,1654,2428,2648,0
19,3328,2375,1785,2629,2908,0
20,3794,2506,1953,2793,3097,0
21,4318,2645,2133,3043,3385,0
22,4676,2768,2219,3262,3539,0
23,4954,2903,2363,3493,3666,0
24,5466,2996,2471,3637,3715,0
25,5746,3214,2648,3828,4043,0
26,6276,3356,2778,4069,4249,0
27,6622,3475,2934,4310,4437,0
28,7029,3616,3104,4535,4590,0
29,7792,3718,3267,4779,4781,0
30,8209,3833,3434,5041,4929,0
31,8744,3973,3605,5326,5113,0
32,9037,4134,3802,5471,5286,0
33,9786,4398,3980,5623,5574,0
34,10118,4527,4169,5804,5860,0
35,10941,4668,4362,6018,6185,0
36,11370,4822,4578,6215,6447,0
37,12162,4929,4770,6400,6771,0
38,12783,5043,4963,6647,7033,0
39,13268,5198,5168,6888,7308,0
40,13904,5351,5373,7079,7553,0
41,14365,5711,5588,7271,7881,0
42,15054,5829,5794,7526,8137,0
43,15959,5973,6022,7798,8383,0
44,16480,6121,6240,8041,8598,0
45,17428,6244,6468,8276,8865,0
46,17956,6351,6704,8579,9052,0
47,18564,6505,6970,8916,9286,0
48,19675,6650,7169,9099,9475,0
49,20132,7001,7419,9261,9752,0
50,20901,7124,7680,9558,10010,0
