n,Find Unrolled (O1),Find Unrolled (O2),Find Unrolled (O3),Find Unrolled (Os),Find Unrolled (Oz),Find SIMD (O1),Find SIMD (O2),Find SIMD (O3),Find SIMD (Os),Find SIMD (Oz),Insert Cache (O1),Insert Cache (O2),Insert Cache (O3),Insert Cache (Os),Insert Cache (Oz),Heap Cache (O1),Heap Cache (O2),Heap Cache (O3),Heap Cache (Os),Heap Cache (Oz),Tournament Tree (O1),Tournament Tree (O2),Tournament Tree (O3),Tournament Tree (Os),Tournament Tree (Oz),State Machine Cache (O1),State Machine Cache (O2),State Machine Cache (O3),State Machine Cache (Os),State Machine Cache (Oz)
3,116,117,117,118,116,362,344,343,351,343,159,163,169,168,169,214,226,223,222,224,173,167,167,216,220,131,125,117,125,128
4,200,193,198,195,200,499,480,482,479,473,235,241,250,242,244,309,302,295,303,302,299,293,292,354,369,201,191,180,195,197
5,266,273,263,272,267,590,567,569,562,555,314,321,330,316,316,414,394,381,394,399,441,430,429,513,524,289,287,263,294,296
6,357,361,354,362,360,726,694,695,695,681,400,411,439,397,398,568,532,519,531,540,530,516,516,613,627,536,486,466,509,510
7,462,460,464,458,459,866,825,828,831,821,481,492,523,483,483,748,696,686,690,705,728,709,709,823,850,0,0,0,0,0
8,584,570,585,582,591,1003,965,968,960,948,574,586,661,580,580,843,797,783,793,807,852,824,824,959,989,0,0,0,0,0
9,698,687,686,695,691,1173,1119,1120,1118,1108,668,681,756,679,679,981,913,889,913,945,1067,1039,1039,1190,1229,0,0,0,0,0
10,888,874,893,878,891,1288,1220,1221,1225,1212,771,783,882,782,782,1141,1066,1043,1078,1104,1226,1198,1201,1348,1418,0,0,0,0,0
11,1030,1066,1035,1034,1025,1431,1358,1362,1368,1353,866,888,971,896,892,1343,1258,1227,1247,1290,1374,1346,1345,1513,1617,0,0,0,0,0
12,1252,1251,1271,1223,1254,1579,1495,1498,1503,1482,962,994,1092,1009,1005,1494,1406,1382,1401,1440,1441,1411,1406,1606,1721,0,0,0,0,0
13,1509,1539,1515,1518,1522,1679,1599,1601,1599,1591,1068,1102,1206,1110,1115,1707,1599,1564,1583,1635,1766,1713,1713,1911,1976,0,0,0,0,0
14,1809,1787,1812,1778,1800,1809,1716,1721,1726,1714,1174,1221,1333,1225,1224,1914,1814,1783,1789,1849,1908,1849,1850,2057,2143,0,0,0,0,0
15,2068,2110,2088,2091,2056,1989,1854,1860,1898,1875,1310,1363,1742,1343,1367,2188,2047,2017,2037,2112,2073,2044,2046,2280,2354,0,0,0,0,0
16,2398,2385,2356,2376,2359,2103,2029,2032,2016,1986,1425,1455,1976,1483,1477,2253,2216,2168,2164,2206,2250,2146,2153,2431,2477,0,0,0,0,0
17,2690,2704,2689,2686,2701,2264,2145,2147,2140,2120,1527,1573,2144,1580,1576,2400,2293,2266,2297,2376,2484,2409,2408,2675,2770,0,0,0,0,0
18,3122,3070,3102,3097,3106,2395,2261,2261,2260,2236,1654,1697,2339,1708,1705,2553,2466,2428,2463,2565,2743,2648,2648,2940,3046,0,0,0,0,0
19,3335,3339,3353,3328,3343,2541,2397,2398,2398,2375,1785,1820,2520,1845,1860,2769,2660,2629,2686,2793,3017,2909,2908,3226,3335,0,0,0,0,0
20,3816,3887,3805,3794,3893,2687,2533,2535,2529,2506,1953,2022,2686,2038,2034,2922,2825,2793,2834,2967,3230,3105,3097,3444,3615,0,0,0,0,0
