n,Find (Cache SIMD)
3,35
4,48
5,57
6,70
7,83
8,97
9,109
10,122
11,136
12,151
13,160
14,174
15,187
16,202
17,221
18,232
19,246
20,260
21,269
22,283
23,295
24,308
25,325
26,335
27,350
28,364
29,374
30,386
31,399
32,413
33,438
34,451
35,463
36,477
37,487
38,501
39,515
40,529
41,566
42,577
43,592
44,605
45,611
46,621
47,637
48,650
49,684
50,698
51,708
52,723
53,737
54,749
55,757
56,774
57,805
58,819
59,838
60,852
61,864
62,869
63,888
64,905
65,938
66,954
67,974
68,987
69,997
70,1012
71,1024
72,1039
73,1108
74,1121
75,1150
76,1164
77,1173
78,1182
79,1190
80,1204
81,1267
82,1281
83,1297
84,1314
85,1323
86,1337
87,1352
88,1369
89,1418
90,1432
91,1451
92,1452
93,1465
94,1474
95,1501
96,1514
97,1521
98,1572
99,1575
100,1595
101,1597
102,1603
103,1636
104,1635
105,1704
106,1716
107,1735
108,1750
109,1764
110,1753
111,1765
112,1780
113,1903
114,1911
115,1930
116,1944
117,1964
118,1978
119,2009
120,2015
121,2028
122,2038
123,2065
124,2082
125,2089
126,2109
127,2122
128,2140
129,2225
130,2253
131,2265
132,2274
133,2295
134,2360
135,2326
136,2344
137,2498
138,2525
139,2540
140,2557
141,2570
142,2596
143,2612
144,2633
145,2711
146,2741
147,2756
148,2779
149,2792
150,2812
151,2830
152,2848
153,2940
154,2961
155,2983
156,3007
157,3020
158,3046
159,3065
160,3086
161,3061
162,3073
163,3100
164,3118
165,3148
166,3168
167,3181
168,3225
169,3312
170,3416
171,3389
172,3407
173,3429
174,3451
175,3470
176,3497
177,3839
178,3877
179,3894
180,3915
181,3931
182,3966
183,3991
184,4019
185,3820
186,3849
187,3883
188,3893
189,3905
190,3926
191,3949
192,3971
193,4165
194,4176
195,4194
196,4227
197,4282
198,4299
199,4278
200,4309
201,4716
202,4725
203,4765
204,4785
205,4792
206,4817
207,4840
208,4880
209,5054
210,5071
211,5095
212,5188
213,5147
214,5166
215,5204
216,5254
217,5339
218,5441
219,5421
220,5429
221,5451
222,5550
223,5516
224,5553
225,5327
226,5348
227,5387
228,5410
229,5427
230,5451
231,5536
232,5492
233,5680
234,5719
235,5755
236,5803
237,5891
238,5888
239,5896
240,5931
241,6439
242,6440
243,6484
244,6505
245,6548
246,6620
247,6612
248,6663
249,6479
250,6526
251,6552
252,6684
253,6622
254,6610
255,6675
256,6800
257,6898
258,6960
259,7075
260,7159
261,6987
262,7221
263,7176
264,7335
265,7715
266,7592
267,7755
268,7821
269,7930
270,7839
271,7909
272,8075
273,8280
274,8248
275,8237
276,8300
277,8387
278,8369
279,8415
280,8431
281,8591
282,8639
283,8682
284,8730
285,8734
286,8783
287,8777
288,8822
289,9005
290,9082
291,9054
292,9094
293,9118
294,9188
295,9239
296,9223
297,9414
298,9435
299,9481
300,9506
301,9514
302,9571
303,9643
304,9611
305,9797
306,9818
307,9873
308,9922
309,9910
310,9954
311,10034
312,10054
313,10200
314,10246
315,10272
316,10322
317,10332
318,10380
319,10417
320,10431
321,10694
322,10656
323,10741
324,10739
325,10806
326,10807
327,10842
328,10873
329,11017
330,11062
331,11148
332,11186
333,11200
334,11224
335,11232
336,11296
337,11457
338,11537
339,11507
340,11611
341,11615
342,11737
343,11674
344,11745
345,11894
346,11916
347,11957
348,11986
349,12019
350,12026
351,12103
352,12201
353,12309
354,12394
355,12423
356,12450
357,12412
358,12473
359,12512
360,12606
361,12805
362,12783
363,12824
364,12818
365,12911
366,12921
367,13046
368,13008
369,13249
370,13280
371,13287
372,13328
373,13333
374,13377
375,13434
376,13504
377,13748
378,13711
379,13751
380,13806
381,13810
382,13911
383,13877
384,13940
385,14225
386,14143
387,14269
388,14266
389,14321
390,14350
391,14427
392,14460
393,14672
394,14772
395,14746
396,14824
397,14794
398,14889
399,14858
400,14938
401,15157
402,15273
403,15323
404,15368
405,15376
406,15356
407,15379
408,15427
409,15733
410,15792
411,15866
412,15832
413,15924
414,15991
415,16015
416,15986
417,16275
418,16333
419,16346
420,16352
421,16442
422,16486
423,16423
424,16525
425,16790
426,16829
427,16818
428,16876
429,16903
430,16960
431,16958
432,17078
433,17278
434,17364
435,17391
436,17446
437,17447
438,17512
439,17553
440,17567
441,17918
442,17946
443,18010
444,18084
445,18043
446,18094
447,18165
448,18207
449,18550
450,18564
451,18625
452,18665
453,18679
454,18741
455,18696
456,18829
457,19130
458,19122
459,19143
460,19190
461,19209
462,19285
463,19352
464,19382
465,19688
466,19685
467,19766
468,19800
469,19818
470,19894
471,19914
472,19966
473,20227
474,20281
475,20391
476,20423
477,20420
478,20444
479,20531
480,20556
481,20799
482,20841
483,20938
484,20932
485,20937
486,20997
487,21046
488,21063
489,21351
490,21410
491,21433
492,21520
493,21520
494,21616
495,21614
496,21665
497,21885
498,21936
499,22059
500,22103
