n,Baseline (copy+sort),Find SIMD,Insert Cache,Heap Cache,Tournament Tree
3,45,34,16,22,16
4,84,47,24,29,29
5,83,56,32,38,43
6,122,69,40,52,51
7,123,82,49,68,70
8,163,96,58,78,82
9,183,107,68,89,104
10,204,119,78,104,119
11,210,133,88,123,134
12,268,146,99,138,140
13,257,155,109,156,171
14,300,167,121,178,185
15,304,181,133,201,201
16,366,194,145,213,214
17,366,215,157,225,240
18,399,227,168,243,264
19,410,241,181,262,290
20,446,255,195,279,309
21,462,264,209,298,334
22,502,276,224,321,347
23,503,290,238,344,360
24,560,304,253,362,370
25,558,324,269,381,403
26,610,336,285,406,426
27,627,349,301,431,444
28,667,363,317,454,458
29,675,372,334,477,477
30,711,384,352,505,492
31,714,397,369,532,510
32,775,411,388,547,527
33,784,436,407,561,555
34,861,447,424,580,585
35,832,461,445,601,616
36,884,476,466,621,644
37,912,486,486,641,673
38,947,497,506,666,701
39,943,512,527,689,728
40,1030,526,547,714,751
41,1013,549,569,726,782
42,1054,560,590,751,809
43,1062,574,612,778,833
44,1104,588,634,804,853
45,1118,599,658,828,876
46,1195,610,682,860,896
47,1159,625,705,884,917
48,1220,639,729,905,935
49,1221,671,754,924,964
50,1280,682,778,951,988
51,1272,697,803,978,1013
52,1346,710,829,1003,1036
53,1358,721,856,1029,1057
54,1401,732,884,1062,1076
55,1386,746,911,1093,1096
56,1451,760,925,1118,1117
57,1456,812,947,1141,1140
58,1519,824,965,1172,1158
59,1509,838,990,1203,1177
60,1576,853,1002,1233,1196
61,1583,864,1022,1263,1217
62,1637,875,1044,1297,1237
63,1610,891,1065,1329,1261
64,1689,905,1086,1348,1288
65,1692,945,1104,1364,1314
66,1778,957,1130,1387,1347
67,1740,971,1170,1408,1386
68,1829,985,1160,1430,1425
69,1786,996,1181,1451,1464
70,1876,1009,1200,1476,1502
71,1887,1023,1224,1502,1539
72,1959,1038,1246,1522,1575
73,1917,1064,1268,1542,1614
74,1995,1075,1291,1571,1648
75,1963,1090,1313,1595,1684
76,2067,1104,1337,1621,1716
77,2039,1115,1360,1646,1748
78,2135,1126,1376,1676,1781
79,2100,1142,1401,1704,1811
80,2184,1156,1726,1726,1837
81,2149,1208,1764,1745,1868
82,2253,1220,1463,1774,1899
83,2218,1237,1484,1800,1925
84,2290,1250,1503,1827,1954
85,2298,1261,1524,1853,1977
86,2380,1274,1551,1887,2005
87,2365,1289,1575,1918,2029
88,2398,1303,1584,1944,2051
89,2426,1395,1608,1967,2076
90,2463,1407,1632,2003,2102
91,2449,1423,1652,2031,2127
92,2534,1440,1665,2066,2151
93,2537,1453,1695,2094,2192
94,2633,1507,1726,2133,2228
95,2608,1523,1751,2163,2251
96,2677,1539,1772,2187,2275
97,2664,1597,1796,2205,2307
98,2760,1610,1822,2237,2337
99,2714,1627,1844,2260,2360
100,2837,1642,1867,2288,2393
101,2763,1655,1892,2317,2414
102,2877,1669,1947,2347,2445
103,2816,1686,1931,2380,2471
104,2932,1703,1959,2408,2491
105,2912,1720,1983,2436,2519
106,3008,1734,2003,2472,2541
107,2950,1750,2037,2504,2570
108,3059,1766,2063,2539,2590
109,2984,1778,2088,2569,2622
110,3151,1793,2122,2605,2637
111,3065,1811,2162,2637,2665
112,3191,1827,2208,2665,2689
113,3207,1892,2235,2689,2709
114,3252,1904,2256,2721,2743
115,3210,1922,2418,2753,2758
116,3316,1939,2288,2789,2780
117,3278,1950,2317,2820,2812
118,3401,1966,2314,2855,2829
119,3306,1984,2340,2894,2860
120,3432,2000,2373,2930,2882
121,3409,2126,2396,2958,2911
122,3499,2140,2406,2999,2926
123,3464,2160,2413,3032,2954
124,3574,2175,2421,3068,2982
125,3555,2190,2448,3099,3010
126,3616,2207,2584,3137,3035
127,3581,2225,2618,3173,3057
128,3704,2244,2609,3194,3080
129,3669,2319,2638,3215,3116
130,3738,2335,2670,3249,3154
131,3694,2353,2886,3269,3191
132,3845,2372,2914,3298,3229
133,3785,2388,2953,3323,3275
134,3882,2404,2990,3350,3307
135,3862,2422,2874,3379,3356
136,3972,2442,2910,3407,3381
137,3918,2461,2948,3431,3422
138,4036,2477,2984,3463,3471
139,3964,2494,3001,3491,3508
140,4107,2513,3034,3519,3550
141,4056,2528,3068,3548,3585
142,4128,2544,3101,3577,3621
143,4057,2563,3132,3608,3653
144,4195,2581,3163,3636,3693
145,4167,2661,3200,3656,3732
146,4292,2676,3236,3684,3769
147,4245,2693,3271,3714,3809
148,4359,2712,3307,3742,3846
149,4259,2729,3342,3769,3881
150,4426,2746,3376,3804,3916
151,4389,2767,3405,3834,3952
152,4434,2784,3436,3866,3990
153,4383,2948,3473,3890,4025
154,4558,2965,3507,3928,4060
155,4485,2985,3551,3961,4090
156,4659,3007,3581,3995,4123
157,4574,3027,3619,4028,4161
158,4682,3044,3653,4066,4197
159,4599,3065,3653,4093,4221
160,4724,3086,3688,4126,4256
161,4677,3179,3724,4146,4295
162,4827,3194,3760,4182,4329
163,4701,3221,3808,4208,4369
164,4858,3244,3837,4240,4399
165,4825,3263,3879,4272,4433
166,4928,3287,3919,4312,4474
167,4886,3312,3961,4346,4503
168,4992,3340,4002,4382,4545
169,4929,3332,4045,4411,4574
170,5146,3359,4085,4458,4599
171,4973,3388,4192,4489,4629
172,5150,3414,4241,4531,4658
173,5096,3439,4281,4564,4687
174,5207,3460,4318,4603,4718
175,5159,3484,4354,4638,4746
176,5258,3507,4406,4672,4778
177,5168,3587,4439,4696,4807
