n,Baseline (copy+sort),Find SIMD (O2),Find SIMD (O3),Insert Cache (O2),Insert Cache (O3),Heap Cache (O2),Heap Cache (O3),Tournament Tree (O2),Tournament Tree (O3)
3,45,34,34,16,17,23,22,16,16
4,84,48,47,24,25,30,29,29,29
5,83,56,56,32,33,39,38,43,43
6,122,69,69,40,42,53,52,51,51
7,123,82,82,49,52,69,68,70,71
8,163,96,96,58,66,79,78,82,82
9,183,107,107,68,76,90,89,104,104
10,204,119,119,78,87,106,104,119,119
11,210,133,133,88,95,125,123,134,134
12,268,146,146,99,109,140,138,141,140
13,257,155,156,109,134,159,156,171,171
14,300,167,167,121,153,181,178,185,185
15,304,181,181,133,143,204,201,201,201
16,366,194,195,145,154,216,213,214,214
17,366,215,216,157,178,228,225,240,240
18,399,227,228,168,196,245,243,265,264
19,410,241,242,181,252,264,262,290,290
20,446,255,256,195,265,281,279,310,309
21,462,264,265,209,284,300,298,334,334
22,502,276,277,224,301,324,321,349,347
23,503,290,291,238,321,348,344,361,360
24,560,304,304,253,340,365,362,371,370
25,558,324,325,269,358,383,381,404,403
26,610,336,336,285,378,409,406,426,427
27,627,349,350,301,396,434,431,444,444
28,667,363,363,317,408,458,454,458,458
29,675,372,373,334,428,483,477,477,478
30,711,384,384,352,446,513,505,492,492
31,714,397,398,369,467,542,532,510,510
32,775,411,412,388,485,555,547,527,527
33,784,436,436,407,503,567,561,555,557
34,861,447,447,424,523,588,580,585,585
35,832,461,461,445,542,607,601,616,616
36,884,476,476,466,553,624,621,644,645
37,912,486,486,486,572,643,641,673,674
38,947,497,497,506,590,671,666,702,701
39,943,512,512,527,612,695,689,728,728
40,1030,526,526,547,637,714,720,752,751
41,1013,549,549,569,666,734,726,782,782
42,1054,560,561,590,670,762,751,809,809
43,1062,575,574,612,671,790,778,833,834
44,1104,588,591,634,692,815,804,853,853
45,1118,599,599,658,713,842,828,876,877
46,1195,611,610,682,733,875,860,896,899
47,1159,625,628,705,789,904,884,918,917
48,1220,640,639,729,762,921,905,936,935
49,1221,671,671,754,783,942,924,964,965
50,1280,682,682,778,805,969,951,993,988
51,1272,697,697,803,828,994,978,1019,1013
52,1346,712,710,829,849,1018,1003,1038,1036
53,1358,722,721,856,870,1045,1029,1062,1057
54,1401,733,732,884,892,1079,1062,1082,1076
55,1386,747,746,911,913,1110,1093,1103,1096
56,1451,762,760,938,925,1135,1118,1125,1117
57,1456,813,812,968,947,1159,1141,1148,1140
58,1519,824,824,993,965,1191,1172,1167,1158
59,1509,840,838,1022,990,1223,1203,1187,1177
60,1576,854,853,1056,1002,1253,1233,1207,1196
61,1583,864,864,1087,1022,1283,1263,1226,1217
62,1637,877,875,1117,1044,1317,1297,1249,1237
63,1610,891,891,1148,1065,1349,1329,1268,1261
64,1689,907,905,1178,1086,1365,1348,1292,1288
65,1692,947,945,1209,1104,1381,1364,1321,1314
66,1778,958,957,1240,1130,1403,1387,1357,1347
67,1740,972,971,1272,1170,1427,1408,1396,1386
68,1829,986,985,1304,1160,1448,1430,1433,1425
69,1786,998,996,1337,1181,1469,1451,1472,1464
70,1876,1010,1009,1371,1200,1495,1476,1508,1502
71,1887,1026,1023,1404,1224,1519,1502,1543,1539
72,1959,1041,1038,1438,1246,1539,1522,1580,1575
73,1917,1065,1064,1473,1268,1559,1542,1614,1624
74,1995,1075,1075,1507,1291,1585,1571,1648,1655
75,1963,1091,1090,1543,1313,1610,1595,1684,1694
76,2067,1104,1106,1577,1337,1635,1621,1716,1721
77,2039,1115,1115,1613,1360,1660,1646,1748,1756
78,2135,1128,1126,1649,1376,1695,1676,1781,1790
79,2100,1142,1142,1686,1401,1723,1704,1811,1815
80,2184,1157,1156,1726,1785,1743,1726,1837,1842
81,2149,1209,1208,1764,1815,1761,1745,1868,1876
82,2253,1220,1221,1799,1463,1789,1774,1901,1899
83,2218,1237,1237,1838,1484,1817,1800,1925,1929
84,2290,1251,1250,1877,1503,1844,1827,1956,1954
85,2298,1263,1261,1915,1524,1872,1853,1981,1977
86,2380,1276,1274,1954,1551,1905,1887,2005,2011
87,2365,1289,1290,1994,1575,1940,1918,2029,2029
88,2398,1304,1303,2035,1584,1964,1944,2052,2051
89,2426,1399,1395,2075,1608,1993,1967,2076,2077
90,2463,1408,1407,2117,1632,2026,2003,2102,2105
91,2449,1423,1423,2158,1652,2062,2031,2127,2128
92,2534,1440,1440,2203,1665,2091,2066,2151,2158
93,2537,1466,1453,2246,1695,2121,2094,2195,2192
94,2633,1509,1507,2290,1726,2163,2133,2228,2231
95,2608,1524,1523,2333,1751,2197,2163,2251,2261
96,2677,1540,1539,2378,1772,2220,2187,2275,2279
97,2664,1597,1597,2421,1796,2243,2205,2307,2316
98,2760,1610,1611,2465,1822,2272,2237,2337,2344
