n,Baseline (copy+sort),Find SIMD,Insert Cache,Heap Cache,Tournament Tree
3,70,40,18,22,33
4,108,56,27,33,53
5,120,72,38,44,74
6,162,87,47,62,89
7,170,100,59,82,116
8,208,116,70,92,134
9,219,138,82,108,166
10,262,155,95,127,196
11,272,170,108,146,222
12,313,186,121,166,242
13,322,203,135,185,266
14,366,222,152,210,288
15,371,235,168,232,309
16,420,252,181,249,329
17,422,277,198,266,367
18,471,296,214,286,403
19,477,310,229,309,441
20,527,327,245,331,473
21,524,345,264,353,508
22,577,363,283,380,535
23,578,379,299,405,562
24,640,395,319,426,584
25,633,425,336,446,615
26,688,444,355,474,641
27,680,460,375,509,666
28,737,477,396,533,686
29,732,495,417,559,712
30,793,515,438,589,735
31,785,530,462,616,762
32,848,548,488,637,785
33,836,582,512,656,833
34,900,603,535,682,868
35,886,619,555,713,911
36,962,635,579,740,952
37,942,654,604,763,993
38,1002,675,629,793,1039
39,993,691,657,823,1075
40,1064,708,683,845,1113
41,1050,743,712,870,1159
42,1115,763,738,904,1189
43,1103,781,766,935,1223
44,1169,799,794,971,1258
45,1149,818,822,991,1287
46,1224,841,853,1035,1319
47,1209,857,884,1063,1343
48,1280,872,914,1093,1372
49,1257,914,947,1109,1411
50,1331,936,975,1144,1435
51,1310,954,1013,1179,1468
52,1400,973,1052,1215,1497
53,1358,991,1085,1234,1528
54,1435,1014,1117,1277,1552
55,1422,1031,1150,1316,1585
56,1497,1050,1183,1349,1612
57,1470,1095,1219,1376,1643
58,1552,1115,1257,1414,1676
59,1527,1131,1296,1450,1704
60,1602,1151,1330,1480,1733
61,1577,1172,1377,1512,1762
62,1669,1193,1410,1554,1792
63,1625,1213,1451,1593,1822
64,1717,1231,1490,1615,1849
65,1688,1274,1530,1646,1899
66,1790,1298,1572,1678,1947
67,1737,1318,1615,1703,1992
68,1825,1335,1658,1743,2037
69,1783,1356,1708,1771,2084
70,1870,1378,1743,1803,2129
71,1841,1398,1784,1838,2178
72,1929,1413,1825,1877,2222
73,1892,1464,1868,1897,2266
74,1995,1487,1913,1933,2309
75,1955,1506,1955,1964,2361
76,2059,1521,2010,2002,2404
77,2001,1544,2056,2040,2455
78,2092,1564,2093,2085,2494
79,2059,1582,2143,2111,2549
80,2158,1599,2186,2145,2587
81,2109,1651,2236,2173,2638
82,2222,1676,2296,2211,2687
83,2162,1695,2334,2246,2745
84,2278,1712,2383,2284,2788
85,2229,1732,2443,2316,2841
86,2308,1760,2494,2366,2890
87,2274,1781,2545,2399,2937
88,2371,1798,2598,2434,2987
89,2341,1854,2654,2471,3037
90,2438,1884,2712,2525,3085
91,2378,1902,2765,2552,3129
92,2486,1924,2822,2593,3181
93,2450,1943,2869,2631,3221
94,2544,1966,2935,2694,3277
95,2495,1988,3003,2714,3322
96,2605,2009,3049,2748,3361
97,2535,2062,3112,2773,3417
98,2663,2087,3168,2816,3456
99,2591,2109,3229,2853,3509
100,2734,2125,3279,2897,3548
