n,Baseline (copy+sort),Find SIMD (O1),Find SIMD (O2),Find SIMD (O3),Find SIMD (Os),Find SIMD (Oz),Insert Cache (O1),Insert Cache (O2),Insert Cache (O3),Insert Cache (Os),Insert Cache (Oz),Heap Cache (O1),Heap Cache (O2),Heap Cache (O3),Heap Cache (Os),Heap Cache (Oz),Tournament Tree (O1),Tournament Tree (O2),Tournament Tree (O3),Tournament Tree (Os),Tournament Tree (Oz)
3,70,41,42,40,40,40,21,19,18,18,19,29,22,25,68,69,35,35,35,33,35
4,108,58,58,57,56,57,31,28,28,27,28,47,33,41,107,107,55,55,55,53,55
5,120,74,74,74,72,74,41,38,39,38,38,63,44,56,155,155,78,78,77,74,84
6,162,89,91,88,87,89,53,49,49,47,47,87,62,78,203,205,100,99,97,89,110
7,170,102,103,101,100,102,64,60,60,59,59,113,82,95,265,267,125,125,123,116,140
8,208,119,120,118,116,118,77,72,72,70,71,132,92,120,312,312,144,144,142,134,166
9,219,142,140,140,138,140,90,84,85,83,82,153,108,139,371,372,180,181,178,166,201
10,262,159,158,157,155,158,103,95,98,95,95,178,127,171,429,431,210,209,210,196,233
11,272,172,172,170,170,172,116,109,112,108,109,208,146,184,503,504,239,238,236,222,267
12,313,188,189,187,186,189,130,122,126,121,124,234,166,215,563,563,258,256,254,242,295
13,322,206,207,204,203,207,143,136,139,135,140,262,185,227,635,634,293,293,292,266,336
14,366,224,224,223,222,225,162,156,158,152,156,295,210,260,706,705,317,320,314,288,369
15,371,239,238,236,235,239,177,172,172,168,173,339,232,279,786,791,340,344,336,309,402
16,420,254,255,252,252,255,193,187,188,181,190,352,249,310,844,842,363,362,359,329,433
17,422,280,281,277,278,284,211,203,205,198,205,377,266,338,918,917,405,407,403,367,468
18,471,299,301,296,297,303,226,219,220,214,223,406,286,376,1009,995,447,449,449,403,502
19,477,313,314,310,311,318,242,234,235,229,240,438,309,402,1074,1078,485,488,490,441,547
20,527,329,330,327,327,333,262,251,252,245,258,467,331,441,1148,1155,525,524,522,473,577
21,524,347,350,345,346,352,276,266,271,264,275,497,353,451,1237,1238,566,564,565,508,620
22,577,365,369,363,363,371,295,284,289,283,294,533,380,493,1318,1325,595,598,595,535,651
23,578,381,384,379,379,387,311,302,308,299,314,568,405,511,1424,1418,623,625,622,562,685
24,640,395,401,395,396,404,331,321,325,319,335,600,426,551,1489,1493,646,650,648,584,717
25,633,428,425,427,427,429,348,338,344,336,354,630,446,559,1581,1584,679,683,685,615,762
26,688,448,445,444,446,450,369,360,365,355,376,668,474,603,1666,1671,710,712,715,641,800
27,680,463,460,460,461,465,388,379,385,375,397,708,509,619,1773,1776,738,742,741,666,837
28,737,481,478,477,477,481,409,398,406,396,417,744,533,659,1856,1857,767,767,768,686,872
29,732,500,495,497,496,499,429,419,426,417,441,780,559,676,1954,1959,794,794,799,712,911
30,793,520,515,515,515,520,452,441,447,438,469,824,589,715,2050,2052,823,824,828,735,939
31,785,537,531,530,531,535,473,464,470,462,496,868,616,739,2155,2166,849,848,853,762,979
32,848,552,548,548,548,552,502,493,497,488,525,894,637,775,2318,2236,876,876,882,785,1012
33,836,583,587,584,582,583,524,516,524,512,551,928,656,808,2311,2322,926,928,934,833,1058
34,900,608,608,605,603,604,545,539,543,535,581,961,682,851,2402,2405,974,971,982,868,1096
35,886,620,622,622,619,621,567,561,568,555,605,998,713,890,2488,2495,1020,1017,1034,911,1140
36,962,640,639,639,635,639,591,586,590,579,632,1034,740,927,2588,2582,1065,1063,1083,952,1182
37,942,658,659,658,654,655,618,609,615,604,658,1068,763,964,2666,2665,1112,1106,1128,993,1225
38,1002,680,681,678,675,680,643,634,641,629,689,1117,793,1009,2769,2782,1159,1154,1178,1039,1269
39,993,695,696,694,691,692,664,663,666,657,714,1159,823,1043,2866,2881,1202,1194,1217,1075,1309
40,1064,711,714,712,708,710,692,688,695,683,748,1195,845,1087,2952,2960,1243,1240,1261,1113,1348
41,1050,744,755,745,743,753,720,715,719,712,771,1228,870,1096,3048,3058,1292,1299,1310,1159,1398
42,1115,766,776,767,763,775,744,745,747,738,801,1278,904,1145,3158,3154,1340,1345,1350,1189,1439
43,1103,785,792,783,781,793,774,771,777,766,830,1316,935,1168,3261,3278,1379,1389,1390,1223,1486
44,1169,801,809,800,799,810,802,800,805,794,863,1366,971,1215,3370,3387,1423,1432,1432,1258,1519
45,1149,820,829,821,818,830,831,829,834,822,894,1406,991,1233,3490,3523,1468,1479,1471,1287,1568
46,1224,841,853,842,841,855,861,858,868,853,925,1457,1035,1282,3605,3608,1507,1521,1511,1319,1607
47,1209,861,867,858,857,870,890,893,897,884,958,1510,1063,1304,3720,3742,1547,1561,1543,1343,1643
48,1280,878,885,876,872,884,926,921,931,914,992,1549,1093,1348,3819,3823,1583,1602,1587,1372,1684
49,1257,922,926,914,915,927,957,958,960,947,1025,1595,1109,1363,3904,3917,1629,1651,1626,1411,1741
50,1331,943,951,936,938,949,990,985,994,975,1061,1644,1144,1416,4007,4015,1677,1698,1662,1435,1776
51,1310,960,966,954,956,968,1022,1019,1027,1013,1097,1695,1179,1436,4107,4129,1721,1746,1704,1468,1820
52,1400,976,985,973,973,983,1052,1054,1061,1069,1127,1742,1215,1482,4213,4235,1761,1790,1732,1497,1869
53,1358,1000,1004,993,991,1003,1090,1085,1094,1085,1167,1799,1234,1499,4320,4334,1805,1831,1770,1528,1913
54,1435,1022,1030,1014,1014,1025,1124,1124,1124,1117,1203,1851,1277,1554,4440,4445,1841,1877,1808,1552,1948
55,1422,1038,1048,1031,1031,1046,1161,1156,1162,1150,1239,1909,1316,1579,4540,4551,1882,1919,1843,1585,1995
56,1497,1054,1064,1051,1050,1062,1196,1195,1198,1183,1279,1966,1349,1627,4650,4645,1912,1960,1877,1612,2035
57,1470,1108,1105,1095,1095,1118,1231,1230,1233,1219,1317,2015,1376,1639,4738,4767,1957,2003,1916,1643,2074
58,1552,1128,1131,1118,1115,1136,1271,1265,1273,1257,1352,2068,1414,1694,4858,4874,1993,2042,1947,1676,2111
59,1527,1150,1149,1136,1131,1155,1306,1302,1312,1296,1389,2140,1450,1718,5126,4979,2033,2083,1991,1704,2160
60,1602,1165,1169,1158,1151,1173,1345,1340,1345,1330,1432,2179,1480,1767,5083,5098,2070,2128,2023,1733,2204
61,1577,1187,1194,1177,1172,1195,1386,1381,1385,1377,1464,2251,1512,1786,5188,5215,2100,2165,2063,1762,2243
62,1669,1210,1212,1196,1193,1218,1421,1421,1427,1410,1512,2284,1554,1837,5322,5329,2134,2204,2097,1792,2281
63,1625,1233,1230,1217,1213,1237,1467,1463,1470,1451,1549,2371,1593,1863,5434,5457,2167,2242,2130,1822,2319
64,1717,1248,1251,1235,1231,1256,1505,1504,1509,1490,1597,2406,1615,1906,5519,5550,2203,2277,2171,1849,2359
65,1688,1290,1322,1320,1274,1309,1546,1547,1548,1530,1630,2426,1646,1945,5616,5634,2254,2337,2226,1899,2417
66,1790,1313,1341,1339,1298,1335,1595,1585,1587,1572,1675,2472,1678,1994,5732,5745,2310,2403,2282,1947,2472
67,1737,1332,1360,1358,1318,1353,1630,1622,1634,1615,1717,2508,1703,2040,5868,5862,2362,2462,2328,1992,2521
68,1825,1352,1382,1379,1335,1371,1673,1670,1674,1658,1761,2549,1743,2092,5933,5944,2413,2523,2389,2037,2571
69,1783,1374,1403,1396,1356,1392,1716,1708,1715,1796,1808,2596,1771,2133,6048,6066,2462,2574,2436,2084,2622
70,1870,1393,1427,1420,1378,1419,1763,1760,1763,1743,1848,2639,1803,2182,6154,6177,2512,2631,2488,2129,2669
71,1841,1413,1447,1439,1398,1436,1806,1794,1802,1784,1891,2692,1838,2229,6281,6314,2560,2677,2539,2178,2716
72,1929,1431,1470,1454,1413,1454,1849,1837,1845,1825,1940,2744,1877,2271,6361,6390,2613,2735,2590,2222,2766
73,1892,1491,1509,1523,1464,1508,1895,1882,1898,1868,1980,2767,1897,2313,6470,6499,2657,2784,2635,2266,2818
74,1995,1513,1532,1544,1487,1531,1939,1923,1939,1913,2028,2817,1933,2359,6590,6604,2714,2840,2687,2309,2868
75,1955,1529,1547,1564,1506,1546,1988,1971,1986,1955,2078,2858,1964,2407,6712,6723,2756,2886,2733,2361,2915
76,2059,1549,1568,1582,1521,1569,2039,2013,2031,2010,2127,2908,2002,2450,6814,6835,2807,2941,2784,2404,2960
77,2001,1568,1586,1604,1544,1586,2081,2060,2067,2056,2187,2962,2040,2492,6924,6947,2849,2988,2829,2455,3018
78,2092,1591,1610,1624,1564,1611,2129,2104,2118,2093,2232,3009,2085,2546,7032,7062,2903,3038,2878,2494,3063
79,2059,1606,1627,1644,1582,1630,2179,2161,2163,2143,2279,3060,2111,2589,7172,7188,2954,3087,2925,2549,3117
80,2158,1631,1647,1660,1599,1644,2221,2208,2216,2186,2333,3110,2145,2632,7268,7293,2993,3136,2972,2587,3161
81,2109,1681,1692,1687,1651,1711,2272,2255,2262,2236,2387,3143,2173,2660,7393,7404,3045,3190,3017,2638,3214
82,2222,1705,1718,1714,1676,1736,2329,2304,2312,2296,2436,3194,2211,2715,7477,7720,3102,3243,3071,2687,3265
83,2162,1722,1739,1726,1695,1754,2378,2350,2371,2334,2495,3240,2246,2740,7607,7637,3153,3307,3117,2745,3323
84,2278,1737,1757,1748,1712,1775,2434,2405,2411,2383,2541,3285,2284,2800,7731,7769,3208,3358,3174,2788,3367
85,2229,1760,1784,1771,1732,1795,2482,2456,2470,2443,2595,3358,2316,2818,7839,7873,3258,3408,3221,2841,3426
86,2308,1788,1807,1790,1760,1818,2542,2506,2522,2494,2647,3396,2366,2882,7958,7990,3312,3457,3266,2890,3479
87,2274,1804,1821,1813,1781,1842,2618,2558,2570,2545,2708,3449,2399,2904,8091,8145,3359,3507,3313,2937,3528
88,2371,1824,1848,1832,1798,1864,2654,2605,2633,2598,2762,3512,2434,2967,8196,8219,3410,3555,3359,2987,3575
89,2341,1894,1899,1886,1854,1944,2708,2671,2691,2654,2818,3555,2471,2980,8311,8344,3465,3611,3411,3037,3625
90,2438,1922,1921,1914,1884,1969,2759,2712,2741,2712,2940,3608,2525,3039,8444,8475,3507,3666,3457,3085,3684
91,2378,1939,1943,1935,1902,1993,2818,2783,2797,2765,2906,3657,2552,3063,8604,8612,3561,3712,3501,3129,3734
92,2486,1962,1967,1954,1924,2011,2878,2837,2858,2822,2966,3713,2593,3124,8681,8705,3603,3763,3550,3181,3783
93,2450,1988,1989,1980,1943,2030,2941,2878,2904,2869,3027,3766,2631,3143,9056,8839,3650,3812,3590,3221,3827
94,2544,2008,2019,2002,1966,2058,3051,2937,2970,2935,3092,3839,2694,3193,8948,8990,3703,3861,3645,3277,3871
95,2495,2028,2037,2022,1988,2081,3053,3012,3030,3003,3268,3889,2714,3227,9089,9096,3752,3913,3684,3322,3920
96,2605,2047,2053,2043,2009,2102,3113,3058,3086,3049,3223,3952,2748,3279,9160,9429,3796,3954,3727,3361,3976
97,2535,2122,2121,2109,2062,2164,3171,3112,3139,3113,3276,3977,2773,3297,9268,9322,3847,4006,3771,3417,4026
