n,Baseline (copy+sort),Find Unrolled (O1),Find Unrolled (O2),Find Unrolled (O3),Find Unrolled (Os),Find Unrolled (Oz),Find SIMD (O1),Find SIMD (O2),Find SIMD (O3),Find SIMD (Os),Find SIMD (Oz),Insert Cache (O1),Insert Cache (O2),Insert Cache (O3),Insert Cache (Os),Insert Cache (Oz),Heap Cache (O1),Heap Cache (O2),Heap Cache (O3),Heap Cache (Os),Heap Cache (Oz),Tournament Tree (O1),Tournament Tree (O2),Tournament Tree (O3),Tournament Tree (Os),Tournament Tree (Oz),State Machine Cache (O1),State Machine Cache (O2),State Machine Cache (O3),State Machine Cache (Os),State Machine Cache (Oz)
3,67,19,19,19,19,20,41,41,40,40,40,20,19,18,18,19,26,22,24,67,67,35,35,34,33,33,16,16,16,15,16
4,105,31,32,31,31,32,58,58,57,56,57,30,28,28,27,27,41,33,40,105,105,54,54,55,52,53,26,24,25,25,25
5,112,45,43,45,43,45,75,74,73,72,73,41,39,38,38,37,56,46,55,153,158,77,77,76,73,79,36,36,36,36,35
6,152,59,58,59,58,59,89,90,88,86,88,52,49,50,48,47,77,63,76,199,198,99,100,96,89,105,53,52,52,52,52
7,160,78,77,77,78,77,103,103,101,99,101,63,60,59,58,58,99,80,92,260,258,124,124,123,115,134,0,0,0,0,0
8,201,115,115,114,114,115,120,120,118,116,117,75,71,72,70,70,116,94,117,313,305,143,144,142,133,162,0,0,0,0,0
9,208,148,149,148,150,148,140,142,139,137,138,88,83,85,83,82,134,109,138,362,367,178,179,178,164,199,0,0,0,0,0
10,249,192,201,189,200,191,157,159,156,154,157,102,95,98,95,94,158,129,168,424,421,208,210,210,194,229,0,0,0,0,0
11,254,258,258,257,259,257,170,173,169,168,171,115,108,110,107,108,183,148,182,498,494,235,237,237,220,258,0,0,0,0,0
12,302,297,314,296,317,296,188,191,186,184,187,129,122,124,120,122,208,167,211,558,549,253,255,254,239,283,0,0,0,0,0
13,301,356,344,355,344,356,206,208,203,201,203,142,135,137,135,141,231,188,224,625,617,289,291,293,263,320,0,0,0,0,0
14,351,413,417,417,412,417,224,227,222,220,222,161,155,155,152,156,262,211,257,693,690,313,315,315,284,354,0,0,0,0,0
15,351,458,459,457,457,457,236,241,235,234,237,176,170,170,169,173,289,233,275,773,774,338,340,337,306,380,0,0,0,0,0
16,404,518,517,518,519,517,254,260,252,250,252,193,186,185,185,191,311,249,305,829,827,360,362,358,326,411,0,0,0,0,0
17,396,575,571,574,572,575,278,284,277,275,280,208,202,200,199,208,328,267,332,901,900,400,404,405,362,467,0,0,0,0,0
18,447,630,631,628,628,632,297,305,294,294,299,225,217,215,216,225,355,289,366,985,975,443,444,451,397,501,0,0,0,0,0
19,448,692,697,693,695,689,311,318,309,308,313,242,233,232,232,241,381,311,396,1065,1058,483,483,491,435,535,0,0,0,0,0
20,503,744,735,747,745,745,327,334,325,325,331,258,248,248,247,262,411,336,431,1126,1137,519,519,529,464,561,0,0,0,0,0
