n,Heap (Cache),Tournament Tree (Cache)
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,0,0
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
24,0,0
25,0,0
26,0,0
27,0,0
28,0,0
29,0,0
30,0,0
31,0,0
32,0,0
33,0,0
34,0,0
35,0,1
36,1,1
37,0,1
38,1,1
39,1,1
40,1,1
41,1,1
42,1,1
43,1,1
44,1,1
45,1,1
46,1,1
47,1,1
48,1,1
49,1,1
50,1,1
51,1,1
52,1,1
53,1,1
54,1,1
55,1,1
56,1,1
57,1,1
58,1,1
59,1,2
60,1,1
61,1,2
62,1,2
63,1,2
64,1,2
65,2,2
66,1,2
67,1,2
68,2,2
69,2,2
70,2,2
71,2,2
72,2,2
73,2,2
74,2,2
75,2,2
76,2,2
77,2,2
78,2,3
79,2,2
80,2,3
81,2,3
82,2,3
83,2,3
84,2,3
85,3,3
86,2,3
87,2,3
88,3,3
89,2,3
90,2,3
91,3,3
92,2,3
93,3,3
94,3,3
95,3,3
96,3,3
97,3,3
98,3,3
99,3,3
100,3,3
101,3,4
102,3,4
103,3,4
104,3,4
105,3,4
106,3,4
107,3,4
108,3,4
109,3,4
110,3,4
111,3,4
112,3,4
113,3,4
114,3,4
115,3,4
116,4,5
117,3,4
118,4,4
119,4,4
120,4,4
121,4,4
122,4,4
123,4,5
124,4,5
125,4,5
126,4,5
127,4,5
128,4,5
129,4,5
130,4,5
131,4,5
132,4,5
133,4,5
134,4,5
135,4,5
136,4,5
137,5,5
138,4,5
139,5,5
140,5,5
141,5,5
142,5,6
143,5,6
144,5,6
145,5,6
146,5,6
147,5,6
148,5,6
149,5,6
150,5,6
151,5,6
152,5,6
153,5,6
154,5,6
155,5,7
156,5,6
157,5,6
158,5,6
159,6,7
160,5,7
161,6,7
162,5,7
163,6,7
164,6,7
165,6,7
166,6,7
167,6,7
168,6,7
169,6,8
170,6,8
171,6,7
172,6,7
173,6,7
174,6,8
175,6,8
176,7,8
177,6,8
178,6,8
179,6,8
180,6,8
181,6,8
182,6,8
183,6,9
184,7,8
185,6,8
186,7,8
187,7,8
188,7,8
189,7,8
190,7,8
191,7,9
192,7,8
193,7,9
194,7,9
195,7,9
196,7,9
197,7,9
198,7,9
199,7,9
200,7,9
201,8,9
202,7,9
203,7,9
204,7,9
205,7,9
206,7,9
207,8,9
208,8,9
209,8,9
210,7,10
211,8,9
212,8,10
213,8,10
214,8,10
215,8,10
216,8,10
217,8,10
218,8,10
219,8,10
220,8,10
221,8,10
222,8,10
223,8,10
224,9,10
225,8,10
226,8,11
227,9,10
228,8,11
229,8,11
230,9,11
231,8,11
232,9,11
233,9,11
234,9,11
235,9,11
236,9,11
237,9,11
238,9,11
239,9,11
240,9,11
241,9,11
242,9,11
243,9,11
244,9,11
245,9,12
246,9,11
247,9,11
248,9,12
249,10,12
250,10,12
251,9,12
252,9,12
253,10,12
254,10,12
255,10,12
256,10,12
257,10,12
258,10,12
259,10,12
260,10,12
261,10,12
262,10,12
263,10,12
264,10,13
265,10,12
266,10,13
267,10,13
268,11,13
269,10,13
270,11,13
271,11,13
272,11,13
273,11,13
274,11,13
275,11,13
276,11,14
277,11,13
278,11,13
279,11,13
280,11,13
281,11,13
282,11,14
283,11,14
284,11,14
285,11,14
286,11,14
287,12,14
288,11,14
289,11,14
290,12,14
291,12,14
292,12,14
293,12,14
294,12,14
295,12,14
296,12,15
297,12,14
298,12,15
299,12,15
300,12,15
301,12,15
302,12,15
303,13,15
304,13,15
305,12,15
306,13,15
307,13,15
308,13,15
309,13,15
310,13,16
311,14,16
312,13,16
313,13,15
314,13,16
315,13,16
316,13,16
317,13,16
318,13,16
319,13,16
320,13,16
321,13,16
322,13,16
323,14,16
324,13,16
325,13,16
326,14,16
327,13,16
328,14,16
329,14,16
330,14,16
331,14,16
332,14,17
333,14,17
334,14,17
335,14,17
336,14,17
337,14,17
338,14,17
339,14,17
340,14,17
341,14,17
342,14,17
343,14,17
344,15,17
345,14,17
346,14,17
347,14,18
348,14,18
349,14,18
350,14,18
351,15,18
352,15,18
353,15,18
354,15,18
355,15,18
356,15,18
357,15,18
358,15,18
359,15,18
360,16,18
361,15,18
362,15,18
363,15,19
364,15,19
365,15,19
366,15,19
367,16,19
368,16,19
369,15,19
370,15,19
371,16,19
372,16,19
373,16,19
374,16,19
375,16,19
376,16,20
377,16,20
378,16,19
379,16,20
380,16,20
381,16,20
382,16,20
383,16,20
384,16,20
385,16,20
386,16,20
387,16,20
388,16,21
389,16,21
390,16,20
391,16,20
392,16,21
393,16,20
394,17,21
395,17,21
396,17,21
397,17,21
398,17,21
399,17,21
400,17,21
401,17,21
402,17,21
403,17,21
404,17,21
405,17,21
406,17,21
407,18,21
408,17,21
409,17,21
410,17,22
411,17,22
412,18,22
413,18,21
414,18,22
415,17,22
416,18,22
417,18,22
418,18,22
419,18,22
420,18,22
421,18,22
422,18,22
423,18,22
424,18,23
425,18,22
426,18,22
427,18,23
428,18,22
429,18,23
430,18,23
431,19,23
432,18,23
433,18,23
434,19,23
435,19,23
436,19,23
437,19,23
438,19,23
439,19,23
440,19,23
441,19,23
442,19,23
443,19,23
444,19,23
445,19,24
446,19,24
447,19,23
448,19,24
449,20,24
450,19,24
451,19,24
452,19,24
453,19,24
454,19,24
455,20,24
456,20,25
457,20,24
458,20,24
459,20,25
460,20,24
461,20,25
462,20,25
463,20,25
464,20,25
465,20,25
466,20,24
467,20,25
468,20,25
469,20,25
470,21,25
471,20,25
472,20,25
473,20,25
474,21,25
475,20,26
476,21,26
477,21,25
478,21,26
479,21,26
480,21,26
481,21,26
482,21,26
483,21,26
484,21,26
485,21,26
486,21,26
487,21,26
488,21,26
489,21,26
490,21,26
491,21,27
492,22,26
493,21,26
494,21,27
495,22,26
496,22,27
497,22,26
498,22,27
499,22,27
500,22,27
501,22,27
502,22,27
503,22,27
504,22,27
505,22,27
506,22,27
507,23,27
508,22,27
509,22,28
510,23,27
511,23,28
512,23,28
513,23,28
514,23,28
