n,Find,Find (Cache),Insert,Insert (Cache),Insert Cache Pair,Heap,Heap (Cache),Tournament Tree,Tournament Tree (Cache)
3,254,215,185,207,200,194,206,310,343
4,405,351,285,309,307,300,309,511,537
5,609,494,387,415,423,414,417,796,759
6,821,668,495,527,546,568,565,1002,940
7,1076,852,615,641,681,765,740,1245,1194
8,1326,1042,743,756,813,892,867,1457,1379
9,2126,1288,882,880,957,1034,991,1821,1712
10,2497,1541,1001,1012,1108,1210,1163,2178,2016
11,2837,1736,1145,1130,1264,1420,1351,2485,2259
12,3137,1954,1292,1272,1428,1613,1524,2729,2424
13,4447,2205,1447,1412,1596,1822,1710,3135,2783
14,4926,2469,1740,1624,1779,2080,1950,3452,3004
15,5391,2740,1942,1790,1950,2425,2198,3761,3224
16,5899,3030,2156,1962,2151,2664,2350,4045,3428
17,7702,4532,2366,2128,2351,2742,2486,4491,3845
18,8319,4886,2573,2292,2552,2970,2690,4903,4254
19,8909,5309,2733,2452,2756,3197,2903,5318,4646
20,9571,5601,2867,2626,2962,3444,3103,5701,4968
21,11819,6002,3074,2789,3181,3714,3305,6127,5354
22,12573,6369,3297,2969,3397,4030,3568,6503,5644
23,13301,6794,3524,3159,3623,4530,3841,6879,5908
24,13983,7164,3742,3362,3851,4741,4054,7238,6155
25,16794,9844,3945,3548,4089,4903,4256,7644,6488
26,17650,10306,4148,3755,4324,5283,4515,8026,6776
27,18436,10896,4370,3957,4581,5573,4787,8395,7032
28,19275,11282,4581,4179,4844,6119,5035,8765,7286
29,22509,11848,4708,4387,5115,6248,5283,9135,7556
30,23486,12306,4836,4608,5374,6766,5591,9501,7823
31,24408,12901,5167,4836,5665,7248,5878,9867,8083
32,25311,13391,5541,5147,6017,7507,6120,10242,8340
33,29064,17124,5781,5403,6315,7565,6258,10710,8853
34,30122,17762,6038,5638,6614,8175,6515,11169,9321
35,31125,18546,6319,5881,6923,8375,6737,11648,9797
36,32143,19026,6589,6138,7244,8747,7022,12086,10254
37,36340,19746,6869,6392,7554,9107,7221,12568,10732
38,37532,20326,7159,6656,7877,9065,7536,13027,11155
39,38664,21060,7446,6928,8214,9705,7835,13482,11562
40,39711,21642,7750,7208,8561,10145,8250,13921,11959
41,44364,26463,8047,7480,8905,10475,8304,14415,12382
42,45658,27260,8331,7774,9265,10624,8710,14881,12780
43,46903,28205,8614,8076,9638,11055,9003,15343,13150
44,48101,28786,8915,8372,10020,11429,9400,15769,13492
45,53216,29665,9233,8670,10407,11673,9662,16244,13838
46,54619,30347,9541,8985,10802,12040,10104,16677,14163
47,55894,31244,9864,9304,11196,12513,10380,17094,14492
48,57090,31952,10187,9623,11592,13027,10807,17505,14821
49,62752,37849,10541,9981,12030,13207,10863,18020,15214
50,64267,38785,10863,10286,12446,13405,11222,18454,15600
51,65672,39891,11223,10639,12889,14023,11459,18925,15966
52,67098,40553,11568,10979,13331,14348,11771,19382,16345
53,73016,41567,11908,11325,13763,14838,12087,19803,16660
54,74681,42398,12295,11692,14222,15285,12595,20242,17012
55,76233,43411,12626,12049,14691,15913,12719,20697,17352
56,77675,44242,12991,12424,15162,16303,13004,21094,17688
57,84088,51206,13340,12791,15637,16746,13481,21552,18069
58,85914,52254,13709,13166,16117,17221,13670,21993,18442
59,87569,53542,14090,13546,16615,17644,14102,22429,18804
60,89218,54308,14477,13936,17119,18189,14304,22860,19154
61,96099,55502,14860,14350,17636,18642,14780,23332,19537
62,98091,56363,15218,14749,18144,19150,15286,23744,19884
63,99850,57557,15610,15140,18654,19719,15454,24156,20229
64,101547,58494,16007,15556,19190,20030,15928,24572,20579
65,108836,66498,16423,15969,19726,20199,16242,25148,21140
66,111133,67681,16846,16378,20262,20627,16356,25687,21677
67,113063,69135,17246,16791,20803,20932,16731,26214,22196
68,114961,69974,17682,17214,21343,21339,17110,26728,22718
69,122640,71264,18093,17708,21900,21645,17579,27262,23253
70,125138,72243,18544,18044,22445,22044,17690,27779,23755
71,127327,73546,18963,18473,23007,22423,18216,28315,24265
72,129349,74574,19439,18901,23575,22948,18384,28851,24767
73,137499,83606,19874,19346,24143,22946,18801,29367,25291
74,140120,84944,20382,19790,24735,23607,19186,29930,25802
75,142330,86578,20863,20235,25329,23808,19458,30444,26290
76,144682,87502,21419,20709,25935,24271,19888,30963,26765
77,153336,88927,21912,21172,26539,24545,20103,31495,27222
78,156249,90146,22524,21632,27163,25085,20644,32039,27710
79,158648,91579,23082,22120,27792,25411,20995,32582,28153
80,161064,92760,23637,22581,28404,25917,21430,33074,28579
81,170367,102726,24205,23073,29056,26192,21731,33646,29061
82,173299,104224,24801,23542,29677,26841,22073,34140,29513
83,176040,106042,25374,24071,30346,26915,22408,34689,29993
84,178497,107072,25970,24593,31015,27575,22856,35231,30449
85,188026,108622,26602,25108,31686,27809,23299,35747,30911
86,191395,109896,27208,25608,32386,28417,23760,36304,31358
87,194390,111470,27785,26161,33078,28867,24158,36776,31797
88,197084,112740,28480,26694,33772,29311,24617,37281,32241
89,206960,123845,29070,27244,34485,29791,24927,37845,32676
90,210550,125475,29665,27770,35198,30215,25358,38309,33131
91,213587,127429,30324,28321,35907,30603,25739,38825,33550
92,216619,128522,30996,28853,36630,31187,26165,39288,33977
