n,Baseline (copy+sort),Find SIMD,Heap Cache,Tournament Tree
3,0,0,0,0
4,0,0,1,0
5,0,0,1,0
6,1,0,1,1
7,1,1,2,1
8,1,1,1,1
9,1,1,1,1
10,2,1,1,1
11,2,1,1,2
12,2,1,1,2
13,2,1,1,2
14,3,2,2,2
15,3,2,2,2
16,3,2,2,3
17,3,2,2,3
18,3,2,2,3
19,3,2,3,4
20,4,2,3,4
21,4,3,3,4
22,4,3,3,5
23,4,3,3,5
24,5,3,4,5
25,5,3,4,5
26,5,4,4,5
27,5,4,4,6
28,6,4,5,6
29,6,4,5,6
30,6,4,5,6
31,6,4,6,7
32,6,4,6,7
33,7,5,6,7
34,7,5,6,8
35,7,5,6,8
36,7,5,7,9
37,7,5,7,9
38,8,6,7,9
39,8,6,8,10
40,8,6,8,10
41,8,6,8,11
42,9,6,8,11
43,9,7,9,11
44,9,7,9,12
45,9,7,9,12
46,10,7,9,12
47,10,7,10,13
48,10,8,10,13
49,10,8,10,14
50,10,8,11,14
51,10,8,11,14
52,11,8,11,15
53,11,9,11,15
54,11,9,12,15
55,11,9,12,16
56,12,9,12,16
57,12,9,13,17
58,12,10,13,17
59,12,10,13,17
60,13,10,14,18
61,13,10,14,18
62,13,11,14,18
63,13,11,15,18
64,14,11,15,19
65,14,11,15,19
66,14,11,16,20
67,14,12,16,20
68,15,12,16,21
69,14,12,16,21
70,15,12,17,21
71,15,12,17,22
72,15,12,17,22
73,16,13,18,23
74,16,13,18,23
75,16,13,18,23
76,17,14,19,24
77,16,14,19,24
78,17,14,19,25
79,17,14,20,25
80,17,14,20,25
81,17,15,20,26
82,18,15,21,26
83,18,15,21,27
84,18,15,21,27
85,18,16,22,28
86,19,16,22,28
87,18,16,23,29
88,19,16,23,29
89,19,17,23,29
90,20,17,23,30
91,19,17,24,30
92,20,18,24,31
93,20,18,25,31
94,20,18,25,31
95,20,18,25,32
96,21,18,26,32
97,21,19,26,33
98,22,19,26,33
99,21,19,27,34
100,22,20,27,34
101,22,20,27,34
102,22,20,28,35
103,22,20,28,35
104,23,20,29,36
105,23,21,29,36
106,23,21,29,36
107,23,21,30,37
108,24,21,30,37
109,23,21,30,38
110,24,22,31,38
111,24,22,31,39
112,25,22,31,39
113,25,23,32,39
114,25,23,32,40
115,25,23,32,40
116,26,23,33,40
117,25,24,33,41
118,26,24,34,41
119,26,24,34,42
120,27,24,34,42
121,26,25,35,43
122,27,25,35,43
123,27,25,35,44
124,28,25,36,44
125,27,26,36,44
126,28,26,37,44
127,28,26,37,45
128,28,26,38,45
129,28,27,38,46
130,29,27,38,46
131,29,27,38,47
132,29,27,40,47
133,29,28,39,47
134,30,28,40,48
135,29,28,40,48
136,31,28,40,49
137,30,29,41,49
138,30,29,41,49
139,30,30,41,50
140,31,30,42,50
141,31,30,43,51
142,31,30,43,51
143,31,30,43,52
144,32,31,43,52
145,32,32,43,52
146,32,31,44,53
147,32,32,44,54
148,33,32,45,54
149,33,32,45,54
150,34,32,46,55
151,33,33,46,55
152,34,33,46,56
153,34,34,46,56
154,34,34,47,56
155,34,34,47,58
156,35,34,48,57
157,34,34,48,58
158,35,35,49,58
159,35,35,50,58
160,36,35,49,60
161,36,36,49,59
162,36,36,50,60
163,36,36,51,60
164,37,36,51,61
165,36,37,51,61
166,37,38,51,62
167,37,37,51,62
168,37,37,53,62
169,37,38,52,63
170,38,39,53,63
171,38,39,53,64
172,39,39,53,64
173,38,40,54,65
174,39,40,54,65
175,39,40,55,66
176,40,40,55,66
177,39,41,55,66
178,40,41,56,67
179,40,41,56,67
180,40,41,56,68
181,40,42,57,68
182,41,42,57,69
183,41,42,57,69
184,42,42,58,70
185,41,43,58,70
186,42,44,59,70
187,41,44,60,71
188,42,44,59,71
189,42,44,60,72
190,43,44,60,72
191,43,45,61,73
192,43,45,61,73
193,43,46,62,74
194,44,46,62,74
195,43,46,62,75
196,44,47,62,75
197,44,47,63,75
198,45,47,63,76
199,44,48,64,76
200,45,48,64,77
201,45,49,65,78
202,46,49,65,78
203,46,49,65,78
204,46,49,66,79
205,46,50,66,79
206,47,50,67,80
207,46,50,67,80
208,47,50,68,81
209,47,51,68,81
210,49,52,69,82
211,47,52,69,82
212,48,52,69,82
213,48,53,70,83
214,49,53,71,83
215,48,53,72,84
216,50,54,71,84
217,48,55,72,85
218,50,55,73,85
219,49,56,73,86
220,50,56,73,86
221,49,56,74,87
222,51,56,74,88
223,50,56,76,88
224,51,57,75,89
225,50,58,76,88
