n,Baseline (copy+sort),Find Unrolled,Find SIMD,Insert Cache,Heap Cache,Tournament Tree,State Machine Cache
3,67,19,40,18,22,33,15
4,105,31,56,27,33,52,24
5,112,43,72,37,46,73,35
6,152,58,86,47,63,89,52
7,160,77,99,58,80,115,0
8,201,114,116,70,94,133,0
9,208,148,137,82,109,164,0
10,249,189,154,94,129,194,0
11,254,257,168,107,148,220,0
12,302,296,184,120,167,239,0
13,301,344,201,135,188,263,0
14,351,412,220,152,211,284,0
15,351,457,234,169,233,306,0
16,404,517,250,185,249,326,0
17,396,571,275,199,267,362,0
18,447,628,294,215,289,397,0
19,448,689,308,232,311,435,0
20,503,735,325,247,336,464,0
