n,Baseline (copy+sort),Find,Find (Cache),Find (Cache Unrolled),Find (Cache SIMD)
3,715,246,226,197,408
4,1146,392,366,308,573
5,1225,617,528,465,726
6,1715,841,680,592,870
7,1743,1077,874,842,998
8,2197,1316,1072,1085,1154
9,2260,2136,1312,1606,1349
10,2724,2504,1545,2090,1517
11,2750,2838,1770,2490,1638
12,3252,3204,1996,2978,1792
13,3268,4471,2255,3483,1964
14,3794,4949,2531,4100,2130
15,3783,5424,2813,4719,2254
16,4299,5940,3115,5289,2421
17,4299,7742,4610,5763,2668
18,4896,8358,4971,6383,2841
19,4826,8952,5411,6921,2967
20,5418,9574,5697,7666,3132
