n,Baseline (O1),Baseline (O2),Baseline (O3),Baseline (Os),Baseline (Oz)
3,6,6,6,6,6
4,9,9,9,9,9
5,10,10,10,10,10
6,14,13,13,14,13
7,15,15,15,15,15
8,18,18,18,18,18
9,20,19,20,19,19
10,23,23,22,23,22
11,24,24,24,24,24
12,27,27,27,27,27
13,28,28,28,28,28
14,32,32,32,32,32
15,33,34,36,35,34
16,36,37,37,37,38
17,38,38,38,38,38
18,41,41,42,42,42
19,42,42,43,43,43
20,46,47,47,47,47
21,47,46,47,47,46
22,51,52,51,51,51
23,51,51,51,52,52
24,57,56,56,55,56
25,57,57,56,57,56
26,61,61,61,61,61
27,61,60,61,61,61
28,66,67,66,67,69
29,66,66,66,66,66
30,71,71,71,72,71
31,70,70,70,70,70
32,75,76,76,75,76
33,74,75,75,75,75
34,81,81,80,81,81
35,79,79,80,80,79
36,86,86,87,86,87
37,85,85,84,85,84
38,89,90,90,89,89
39,89,89,90,90,89
40,94,95,94,94,94
41,93,94,94,94,94
42,102,103,107,102,102
43,99,99,98,99,98
44,105,105,105,105,105
45,103,103,103,103,103
46,115,115,114,114,114
47,108,108,109,108,108
48,114,114,114,114,114
49,113,113,113,113,113
50,119,119,119,122,126
51,118,118,120,118,119
52,125,124,125,125,124
53,122,122,122,122,122
54,128,128,128,128,128
55,127,127,128,128,127
56,134,134,134,134,134
57,132,132,132,132,132
58,140,139,141,140,141
59,136,137,136,136,136
60,142,143,143,143,143
61,141,142,141,142,142
62,152,155,149,149,150
63,146,147,148,146,146
64,152,152,153,155,153
65,151,152,152,152,152
66,158,157,158,157,157
67,156,156,158,156,157
68,164,163,164,163,164
69,162,162,162,162,162
70,171,170,170,170,169
71,166,166,166,167,166
72,179,176,176,176,176
73,170,171,176,171,171
74,181,180,181,178,179
75,179,176,175,175,175
76,183,183,182,182,182
77,180,180,180,179,179
78,187,187,188,187,187
79,185,185,187,187,185
80,200,201,196,201,199
81,192,198,194,192,193
82,202,199,198,198,201
83,195,195,195,196,196
84,202,203,207,207,205
85,205,205,201,200,201
86,210,209,209,210,211
87,203,205,203,204,203
88,218,219,219,218,221
89,214,211,211,214,210
90,217,217,217,216,216
91,215,216,215,215,215
92,229,229,226,228,228
93,226,225,220,220,225
94,226,228,230,230,231
95,231,229,228,225,227
96,238,232,233,236,234
97,230,234,229,230,235
98,237,236,236,236,236
99,233,234,239,238,235
100,244,241,248,242,241
