n,Baseline (copy+sort),Find SIMD (Os),Insert Cache (Os),Heap Cache (O2),Tournament Tree (Os)
3,67,40,18,24,33
4,102,56,27,36,52
5,112,71,38,51,73
6,151,87,49,69,90
7,159,100,59,90,114
8,201,115,70,104,131
9,206,136,81,121,164
10,245,154,94,140,193
11,253,167,108,164,217
12,296,183,121,183,236
13,299,200,134,205,260
14,349,218,151,231,281
15,349,232,165,264,302
16,402,248,180,280,320
17,395,271,198,295,357
18,443,289,210,318,393
19,441,302,227,338,427
20,491,318,244,360,461
21,492,335,261,390,497
22,539,356,278,420,528
23,537,369,295,454,559
24,591,385,313,478,591
25,588,419,332,495,623
26,640,435,353,527,655
27,637,451,383,563,683
28,692,467,394,593,709
29,687,486,414,621,743
30,742,503,436,658,771
