n,Baseline (O1),Baseline (O2),Baseline (O3),Baseline (Os),Baseline (Oz)
3,70,70,70,70,70
4,106,106,107,107,107
5,118,119,118,118,118
6,158,158,158,158,158
7,169,169,169,169,169
8,208,208,208,208,208
9,219,220,219,219,220
10,261,261,260,260,260
11,269,269,269,269,269
12,319,319,319,319,319
13,318,319,318,319,319
14,364,364,364,364,364
15,369,370,370,370,370
16,418,418,418,418,418
17,420,420,420,420,421
18,469,469,469,469,469
19,473,473,472,472,472
20,523,523,523,523,523
21,522,522,522,522,522
22,576,575,575,576,576
23,574,575,574,574,574
24,626,626,627,626,626
25,626,626,626,626,626
26,687,687,687,687,687
27,678,677,677,677,678
28,736,737,737,736,737
29,726,726,726,726,726
30,792,792,792,792,793
31,780,780,780,780,780
32,876,868,868,868,867
33,832,832,832,831,832
34,892,892,892,892,892
35,882,882,882,882,882
36,948,947,947,947,948
37,938,938,938,938,938
38,1010,1010,1010,1011,1010
39,987,986,986,986,986
40,1064,1063,1064,1065,1064
41,1041,1041,1041,1041,1041
42,1118,1118,1118,1119,1119
43,1093,1094,1094,1094,1094
44,1167,1167,1167,1167,1168
45,1150,1149,1150,1149,1150
46,1219,1219,1220,1219,1219
47,1198,1198,1198,1198,1198
48,1272,1271,1272,1272,1272
49,1252,1252,1252,1252,1252
50,1333,1334,1331,1331,1334
51,1305,1303,1305,1305,1305
52,1395,1395,1394,1394,1395
53,1357,1357,1359,1357,1358
54,1431,1431,1431,1430,1431
55,1408,1409,1409,1408,1408
56,1509,1508,1509,1508,1508
57,1468,1468,1468,1468,1468
58,1549,1552,1551,1551,1551
59,1522,1521,1521,1522,1521
60,1617,1617,1617,1618,1617
61,1570,1570,1570,1570,1571
62,1656,1656,1655,1656,1656
63,1629,1630,1630,1630,1630
64,1733,1732,1732,1732,1732
65,1675,1675,1675,1675,1675
66,1772,1772,1772,1772,1772
67,1730,1731,1731,1730,1731
68,1816,1816,1816,1816,1817
69,1792,1792,1792,1792,1792
70,1912,1911,1911,1911,1911
71,1835,1835,1835,1835,1834
72,1933,1935,1934,1935,1933
73,1890,1891,1891,1891,1891
74,1992,1992,1992,1992,1993
75,1949,1949,1949,1950,1949
76,2038,2037,2037,2037,2037
77,2001,2001,2001,2001,2001
78,2087,2088,2089,2088,2089
79,2047,2047,2047,2047,2047
80,2147,2146,2146,2147,2146
81,2107,2106,2106,2106,2106
82,2196,2197,2197,2197,2197
83,2153,2154,2154,2153,2153
84,2261,2261,2261,2261,2262
85,2204,2204,2204,2204,2204
86,2310,2309,2309,2311,2311
87,2269,2269,2268,2268,2268
88,2378,2379,2378,2378,2378
89,2325,2325,2324,2325,2325
90,2428,2427,2428,2427,2427
91,2374,2374,2373,2373,2373
92,2482,2482,2483,2483,2483
93,2431,2429,2429,2428,2429
94,2597,2596,2596,2597,2596
95,2494,2495,2494,2494,2494
96,2576,2576,2575,2575,2575
97,2528,2527,2527,2528,2528
98,2636,2638,2637,2636,2637
99,2579,2580,2580,2579,2579
100,2692,2692,2691,2692,2692
