n,Heap,Heap Cache
3,21,20
4,32,31
5,44,42
6,61,58
7,83,76
8,99,88
9,114,103
10,135,122
11,160,141
12,183,161
13,209,180
14,240,206
15,280,230
16,300,246
17,316,261
18,342,283
19,367,305
20,392,325
21,431,347
22,461,382
23,511,402
24,535,429
25,562,448
26,599,483
27,648,508
28,680,540
29,726,568
30,764,605
31,826,634
32,845,658
33,878,675
34,907,710
35,951,728
36,995,761
37,987,787
38,1067,822
39,1087,846
40,1111,874
41,1130,896
42,1183,944
43,1231,958
44,1272,1004
45,1308,1021
46,1349,1062
47,1390,1106
48,1421,1136
49,1455,1164
50,1499,1204
51,1540,1238
52,1573,1275
53,1639,1310
54,1673,1350
55,1743,1383
56,1768,1422
57,1839,1453
58,1870,1499
59,1916,1536
60,1969,1575
61,2045,1610
62,2102,1651
63,2146,1688
64,2196,1718
65,2202,1739
66,2255,1778
67,2275,1796
68,2329,1842
69,2336,1863
70,2394,1913
71,2435,1934
72,2482,1981
73,2507,2009
74,2570,2041
75,2583,2068
76,2660,2104
77,2676,2150
78,2727,2182
79,2771,2222
80,2835,2266
81,2851,2287
82,2908,2331
83,2949,2357
84,3002,2396
85,3043,2435
86,3097,2490
87,3164,2527
88,3190,2577
89,3237,2595
90,3292,2649
91,3334,2683
92,3398,2727
93,3452,2774
94,3503,2816
95,3572,2871
96,3612,2916
97,3628,2929
98,3682,2982
99,3713,3011
100,3769,3057
