n,Heap Cache (O1),Heap Cache (O2),Heap Cache (O3),Heap Cache (Os),Heap Cache (Oz)
3,24,25,20,67,67
4,38,37,31,104,104
5,54,51,43,151,151
6,73,69,59,197,197
7,96,90,77,256,256
8,112,104,90,301,304
9,130,121,104,359,359
10,151,140,123,417,418
11,178,163,143,487,487
12,199,183,162,540,542
13,226,206,181,611,612
14,253,232,208,683,683
15,284,266,231,757,763
16,301,281,248,812,813
17,322,297,262,886,886
18,345,318,285,960,960
19,373,340,305,1038,1037
20,399,362,326,1112,1110
21,427,389,346,1188,1189
22,453,419,378,1276,1279
23,488,458,396,1367,1365
24,512,480,421,1431,1433
25,540,500,437,1526,1529
26,573,537,466,1610,1608
27,609,568,493,1709,1713
28,639,598,520,1784,1783
29,672,627,544,1903,1890
30,707,669,577,1995,1998
31,743,706,603,2087,2092
32,767,732,628,2158,2153
33,793,745,642,2228,2236
34,822,780,669,2315,2323
35,857,796,695,2407,2397
36,889,831,720,2486,2488
37,921,854,742,2571,2573
38,959,888,778,2673,2664
39,997,918,802,2769,2765
40,1026,962,840,2857,2849
41,1060,968,853,2951,2937
42,1097,1017,884,3047,3055
43,1138,1037,913,3154,3159
44,1173,1073,944,3256,3254
45,1214,1099,965,3380,3378
46,1259,1151,1011,3486,3490
47,1295,1171,1034,3609,3598
48,1332,1205,1079,3684,3677
49,1377,1231,1090,3795,3782
50,1412,1270,1123,3874,3869
51,1461,1306,1150,3993,3976
52,1505,1348,1189,4075,4057
53,1553,1385,1210,4189,4186
54,1600,1434,1254,4281,4277
55,1654,1474,1294,4394,4389
56,1694,1524,1329,4479,4480
57,1746,1541,1349,4591,4590
58,1786,1599,1397,4682,4669
59,1846,1624,1430,4805,4791
60,1889,1680,1473,4900,4904
61,1943,1717,1500,5043,5031
62,1992,1760,1546,5137,5156
63,2047,1809,1585,5274,5271
64,2081,1846,1631,5336,5354
65,2106,1860,1632,5444,5426
66,2151,1905,1654,5545,5523
67,2180,1928,1699,5651,5636
68,2224,1970,1732,5742,5737
69,2256,1988,1766,5857,5845
70,2299,2030,1804,5947,5997
71,2337,2063,1827,6059,6047
72,2374,2108,1853,6157,6164
73,2406,2126,1889,6272,6246
74,2460,2163,1926,6368,6416
75,2489,2193,1954,6496,6459
76,2527,2232,1981,6597,6586
77,2567,2250,2003,6715,6685
78,2618,2306,2056,6825,6790
79,2661,2341,2081,6935,6916
80,2700,2378,2115,7035,7002
81,2729,2401,2134,7147,7108
82,2775,2444,2190,7246,7221
83,2813,2484,2202,7375,7336
84,2864,2521,2253,7458,7437
85,2903,2560,2296,7592,7560
86,2953,2597,2340,7701,7671
87,3011,2642,2365,7880,7816
88,3049,2692,2417,7963,7919
89,3080,2733,2434,8063,8011
90,3137,2781,2500,8122,8123
91,3170,2819,2507,8325,8241
92,3232,2881,2573,8379,8369
93,3264,2917,2597,8527,8486
94,3329,2979,2653,8674,8608
95,3367,3019,2662,8780,8737
96,3414,3058,2707,8874,8830
97,3446,3077,2738,8968,8943
98,3509,3128,2787,9093,9054
99,3540,3159,2823,9200,9174
100,3584,3205,2863,9281,9267
