n,Insert Cache (O1),Insert Cache (O2),Insert Cache (O3),Insert Cache (Os),Insert Cache (Oz)
3,20,18,18,18,18
4,30,27,27,27,27
5,40,37,37,37,36
6,51,48,48,47,46
7,63,59,59,58,57
8,75,70,70,69,68
9,87,82,82,80,80
10,100,92,95,92,92
11,113,105,109,105,105
12,125,120,122,118,120
13,139,132,136,131,137
14,157,152,153,146,152
15,172,167,167,161,168
16,188,182,183,176,184
17,204,197,198,192,200
18,220,212,213,207,217
19,236,227,229,222,233
20,252,243,245,238,249
21,268,259,262,255,267
22,286,275,280,272,286
23,301,293,297,290,304
24,321,311,316,307,323
25,338,329,333,326,343
26,358,347,353,344,362
27,376,367,373,365,383
28,396,386,392,384,404
29,416,407,412,405,425
30,438,428,433,425,447
31,458,450,455,446,475
32,485,477,481,473,499
33,507,499,506,494,522
34,527,521,525,515,549
35,550,543,549,538,573
36,573,567,571,561,597
37,596,591,596,585,624
38,619,615,620,609,648
39,645,640,645,635,676
40,670,665,670,660,702
41,695,691,697,686,728
42,721,718,723,713,759
43,748,746,750,739,789
44,776,773,778,767,816
45,805,802,807,796,846
46,833,831,836,825,872
47,862,860,866,855,907
48,893,891,896,884,939
49,923,922,927,915,969
50,955,953,958,946,1003
51,987,986,990,979,1035
52,1019,1018,1023,1010,1069
53,1052,1051,1057,1043,1103
54,1087,1085,1090,1077,1144
55,1121,1120,1125,1111,1175
56,1156,1155,1160,1146,1210
57,1192,1190,1194,1182,1248
58,1228,1226,1230,1216,1282
59,1265,1262,1267,1253,1322
60,1303,1300,1304,1289,1360
61,1341,1337,1342,1326,1396
62,1378,1375,1380,1365,1437
63,1418,1416,1417,1403,1476
64,1458,1451,1457,1440,1516
65,1498,1492,1498,1481,1554
66,1539,1531,1538,1521,1597
67,1580,1572,1579,1560,1639
68,1621,1613,1619,1602,1679
69,1663,1657,1662,1646,1724
70,1709,1695,1702,1682,1767
71,1747,1735,1744,1723,1805
72,1790,1777,1786,1765,1846
73,1834,1819,1830,1808,1890
74,1885,1861,1871,1849,1934
75,1930,1905,1914,1892,1980
76,1966,1948,1957,1937,2026
77,2011,1994,2000,1980,2072
78,2057,2036,2044,2021,2119
79,2103,2082,2091,2066,2162
80,2152,2128,2139,2112,2215
81,2200,2175,2187,2159,2263
82,2250,2221,2235,2207,2310
83,2299,2270,2283,2256,2358
84,2351,2319,2333,2304,2413
85,2402,2368,2384,2353,2461
86,2454,2420,2434,2405,2516
87,2505,2470,2487,2455,2574
88,2562,2525,2541,2508,2625
89,2617,2576,2594,2561,2680
90,2673,2630,2647,2614,2734
91,2728,2683,2704,2669,2773
92,2785,2738,2755,2722,2828
93,2841,2789,2809,2776,2882
94,2896,2842,2863,2829,2944
95,2953,2900,2924,2888,3004
96,3012,2953,2979,2940,3062
97,3075,3008,3033,2994,3118
98,3125,3063,3091,3056,3179
99,3184,3119,3147,3104,3233
100,3244,3175,3206,3161,3306
