n,Insert,Insert Cache,Insert Cache Pair
3,18,18,18
4,28,27,28
5,39,38,38
6,50,49,48
7,63,60,60
8,77,71,72
9,90,83,83
10,105,97,96
11,122,110,108
12,137,123,121
13,154,137,137
14,174,155,152
15,186,168,164
16,202,183,180
17,219,199,196
18,235,213,211
19,252,229,227
20,268,245,242
21,286,263,259
22,304,280,277
23,323,298,294
24,342,316,313
25,363,333,333
26,384,353,352
27,405,373,372
28,434,392,392
29,452,412,413
30,476,433,434
31,501,455,462
32,531,481,483
33,559,505,505
34,584,525,528
35,610,548,553
36,638,571,576
37,667,596,600
38,694,620,625
39,722,645,649
40,751,670,675
41,779,696,702
42,811,722,729
43,842,751,757
44,873,778,785
45,903,806,813
46,936,836,842
47,968,866,872
48,1001,896,902
49,1034,927,933
50,1069,959,965
51,1104,991,996
52,1139,1023,1029
53,1175,1057,1061
54,1210,1090,1095
55,1248,1124,1129
56,1283,1159,1164
57,1320,1194,1200
58,1357,1230,1235
59,1396,1267,1271
60,1433,1304,1307
61,1472,1342,1345
62,1511,1379,1382
63,1552,1419,1420
64,1591,1457,1459
65,1631,1498,1498
66,1674,1537,1538
67,1716,1578,1578
68,1757,1618,1619
69,1799,1660,1658
70,1840,1701,1700
71,1885,1743,1742
72,1927,1785,1783
73,1971,1828,1824
74,2013,1871,1866
75,2057,1913,1907
76,2104,1957,1951
77,2157,2001,1994
78,2210,2046,2037
79,2263,2091,2081
80,2316,2139,2126
81,2365,2184,2170
82,2415,2233,2218
83,2467,2279,2266
84,2519,2330,2315
85,2571,2387,2362
86,2624,2435,2412
87,2674,2489,2463
88,2727,2538,2512
89,2778,2592,2565
90,2832,2647,2617
91,2885,2699,2670
92,2895,2753,2718
93,2944,2808,2770
94,2999,2864,2823
95,3063,2924,2883
96,3124,2975,2934
97,3187,3034,2990
98,3245,3088,3044
99,3308,3148,3098
100,3369,3202,3152
