n,Tournament External Cache,Tournament Branchless
3,21,21
4,38,31
5,58,38
6,76,47
7,102,57
8,123,67
9,151,79
10,175,90
11,198,102
12,216,114
13,247,126
14,271,138
15,294,150
16,315,162
17,358,177
18,387,191
19,418,205
20,445,219
21,475,233
22,500,247
23,520,261
24,544,275
25,581,290
26,613,305
27,643,319
28,668,333
29,695,348
30,721,363
31,747,377
32,774,390
33,826,408
34,870,424
35,906,441
36,939,458
37,977,474
38,1012,492
39,1045,508
40,1078,525
41,1120,550
42,1153,559
43,1184,576
44,1212,594
45,1246,612
46,1268,629
47,1303,647
48,1337,670
49,1367,683
50,1407,700
51,1442,718
52,1474,737
53,1508,755
54,1540,773
55,1569,793
56,1603,813
57,1636,830
58,1668,848
59,1701,866
60,1736,885
61,1764,905
62,1798,923
63,1831,943
64,1867,962
65,1910,981
66,1952,1003
67,1995,1025
68,2038,1043
69,2077,1064
70,2119,1083
71,2159,1104
72,2197,1122
73,2240,1143
74,2282,1160
75,2324,1180
76,2363,1199
77,2402,1218
78,2442,1237
79,2478,1257
80,2517,1277
81,2564,1298
82,2606,1323
83,2649,1347
84,2690,1361
85,2726,1384
86,2759,1408
87,2802,1428
88,2834,1454
89,2866,1474
90,2911,1497
91,2944,1519
92,2978,1541
93,3024,1564
94,3055,1586
95,3091,1607
96,3120,1635
97,3172,1648
98,3207,1670
99,3252,1691
100,3288,1713
