n,Tournament Tree,Tournament Cache,Tournament External,Tournament External Cache
3,29,26,23,23
4,48,42,42,41
5,71,64,62,60
6,87,80,83,76
7,116,104,111,103
8,135,120,136,120
9,170,153,166,151
10,201,181,193,177
11,229,204,223,202
12,249,219,247,214
13,283,253,284,253
14,307,274,309,274
15,333,293,339,296
16,355,313,365,316
17,398,353,404,354
18,438,393,441,391
19,479,430,479,428
20,516,459,509,457
21,557,495,546,495
22,590,523,573,519
23,624,548,607,540
24,655,571,632,556
25,700,605,685,599
26,739,632,718,633
27,777,658,756,661
28,809,681,787,685
29,845,707,824,713
30,876,732,856,738
31,908,757,888,763
32,939,782,919,789
33,982,830,965,832
34,1024,874,1010,875
35,1069,920,1057,921
36,1111,964,1096,963
37,1156,1010,1140,1008
38,1198,1050,1181,1049
39,1239,1089,1225,1090
40,1279,1126,1268,1129
41,1325,1168,1309,1176
42,1370,1207,1353,1221
43,1413,1245,1395,1257
44,1450,1279,1434,1289
45,1491,1315,1469,1322
46,1530,1350,1505,1352
47,1568,1384,1547,1382
48,1606,1417,1575,1410
49,1652,1456,1618,1447
50,1693,1491,1672,1482
51,1739,1525,1715,1517
52,1779,1558,1757,1549
53,1821,1591,1802,1583
54,1856,1622,1842,1613
55,1895,1653,1878,1640
56,1931,1684,1918,1669
57,1972,1719,1956,1703
58,2013,1751,1993,1736
59,2051,1785,2036,1767
60,2088,1816,2076,1796
61,2127,1850,2113,1827
62,2164,1883,2152,1857
63,2204,1916,2191,1889
64,2242,1947,2232,1923
65,2291,1999,2284,1972
66,2341,2047,2336,2025
67,2391,2095,2389,2078
68,2440,2143,2442,2129
69,2489,2190,2493,2179
70,2540,2237,2542,2228
71,2591,2282,2596,2277
72,2637,2327,2642,2323
73,2689,2372,2698,2376
74,2740,2418,2745,2426
75,2791,2462,2796,2474
76,2836,2506,2848,2522
77,2888,2549,2905,2569
78,2937,2592,2945,2614
79,2983,2633,2992,2659
80,3029,2675,3038,2704
81,3081,2720,3098,2758
82,3131,2766,3148,2811
83,3180,2809,3201,2860
84,3228,2854,3249,2906
85,3275,2897,3302,2951
86,3322,2940,3356,2996
87,3365,2983,3390,3031
88,3408,3025,3435,3067
89,3456,3068,3484,3107
90,3500,3112,3528,3158
91,3550,3155,3573,3201
92,3590,3197,3618,3239
93,3635,3238,3663,3273
94,3680,3279,3704,3307
95,3723,3318,3743,3345
96,3763,3358,3792,3378
97,3815,3399,3845,3425
98,3867,3442,3903,3466
99,3919,3484,3957,3515
100,3966,3523,4008,3550
