n,Tournament Tree,Tournament Cache,Tournament External,Tournament External Cache,Tournament Branchless,Tournament Cache Branchless,Tournament External Branchless,Tournament External Cache Branchless
3,32,26,26,21,29,21,24,21
4,54,44,46,38,51,23,38,31
5,86,65,72,57,75,40,44,39
6,115,79,96,75,93,47,58,48
7,141,106,128,99,125,50,72,58
8,170,122,152,121,148,55,88,67
9,209,155,189,148,186,73,106,79
10,246,183,221,175,218,91,125,91
11,284,209,257,199,250,105,142,102
12,319,223,280,217,270,108,161,114
13,359,257,322,248,314,113,178,126
14,396,277,355,274,343,119,196,138
15,430,297,385,294,375,124,215,152
16,458,316,418,318,401,129,233,164
17,518,359,463,352,447,150,253,178
18,562,399,507,383,496,169,275,193
19,607,436,552,417,538,187,306,206
20,652,469,591,444,579,205,318,219
21,698,505,633,477,623,223,340,234
22,739,534,668,502,656,234,362,249
23,785,557,704,527,686,240,382,263
24,825,577,731,549,713,246,403,276
25,872,612,789,586,762,253,425,290
26,913,642,838,616,803,260,447,305
27,957,666,873,646,841,271,470,322
28,1007,689,909,671,873,277,491,334
29,1040,712,951,699,909,284,512,348
30,1082,738,988,727,945,293,534,363
31,1126,762,1025,753,983,302,555,378
32,1169,788,1064,779,1012,311,578,391
33,1223,837,1118,822,1074,330,603,411
34,1275,881,1171,860,1125,348,629,426
35,1321,929,1220,896,1181,367,653,442
36,1381,977,1268,932,1232,386,679,461
37,1442,1023,1319,969,1288,405,707,476
38,1482,1066,1370,1007,1341,425,731,494
39,1538,1104,1419,1041,1393,446,758,510
40,1576,1145,1465,1074,1441,467,780,530
41,1637,1190,1523,1114,1499,486,810,546
42,1691,1227,1570,1152,1548,504,833,561
43,1733,1264,1617,1190,1595,519,862,583
44,1784,1297,1667,1218,1631,533,884,596
45,1829,1334,1708,1248,1674,543,912,614
46,1882,1367,1750,1275,1709,553,941,633
47,1928,1402,1788,1308,1747,562,966,650
48,1977,1436,1839,1336,1780,572,991,668
49,2035,1471,1889,1373,1836,580,1018,688
50,2096,1509,1936,1418,1886,589,1046,707
51,2144,1550,1988,1452,1938,599,1071,723
52,2180,1578,2042,1490,1985,609,1102,742
53,2238,1611,2096,1516,2029,621,1123,761
54,2280,1642,2139,1549,2075,630,1151,780
55,2339,1676,2182,1582,2121,641,1177,800
56,2385,1709,2232,1612,2162,651,1205,816
57,2431,1739,2278,1645,2204,663,1231,835
58,2475,1771,2319,1680,2254,676,1257,853
59,2545,1809,2366,1712,2299,688,1286,875
60,2580,1840,2416,1745,2340,699,1310,893
61,2632,1873,2457,1780,2381,710,1341,913
62,2697,1906,2506,1810,2426,723,1366,931
63,2740,1935,2552,1845,2466,737,1396,949
64,2774,1970,2594,1875,2512,748,1422,970
65,2830,2021,2660,1967,2576,773,1454,992
66,2893,2071,2726,2010,2631,794,1484,1011
67,2952,2119,2780,2052,2695,818,1516,1032
68,3015,2168,2839,2095,2754,848,1545,1054
69,3075,2218,2897,2131,2818,863,1577,1074
70,3141,2265,2961,2172,2878,887,1606,1093
71,3196,2319,3016,2212,2936,908,1636,1114
72,3246,2357,3072,2248,2991,930,1668,1136
73,3311,2406,3138,2288,3056,953,1700,1152
74,3361,2451,3197,2328,3119,969,1728,1170
75,3415,2500,3259,2369,3181,991,1761,1191
76,3483,2549,3321,2413,3240,1013,1797,1211
77,3546,2586,3375,2455,3292,1034,1820,1230
78,3601,2629,3437,2487,3351,1057,1851,1250
79,3654,2667,3492,2521,3403,1079,1879,1270
80,3699,2710,3547,2552,3458,1102,1908,1288
81,3779,2759,3614,2603,3525,1124,1949,1310
82,3828,2805,3675,2644,3592,1151,1971,1334
83,3886,2847,3737,2689,3657,1169,2004,1356
84,3936,2892,3793,2719,3713,1191,2030,1376
85,4000,2939,3855,2758,3774,1207,2067,1395
86,4060,2977,3914,2797,3826,1227,2090,1418
87,4128,3018,3963,2830,3879,1246,2122,1443
88,4177,3071,4015,2869,3926,1266,2154,1465
89,4217,3101,4063,2906,3978,1277,2179,1495
90,4283,3150,4124,2935,4036,1288,2209,1512
91,4341,3202,4167,2974,4096,1300,2242,1534
92,4406,3234,4222,3007,4139,1318,2274,1556
93,4454,3277,4282,3037,4188,1327,2302,1590
94,4504,3315,4326,3072,4246,1344,2336,1600
95,4562,3363,4384,3115,4295,1351,2380,1626
96,4627,3399,4416,3142,4338,1361,2394,1644
97,4665,3437,4491,3192,4412,1376,2431,1661
98,4735,3483,4570,3255,4480,1388,2462,1689
99,4804,3525,4616,3280,4538,1396,2491,1707
100,4864,3563,4686,3331,4601,1411,2526,1729
