n,Find SIMD (O1),Find SIMD (O2),Find SIMD (O3),Find SIMD (Os),Find SIMD (Oz)
3,39,36,35,36,36
4,55,49,49,51,55
5,65,59,59,61,65
6,80,72,72,74,79
7,96,87,87,90,92
8,115,102,102,107,112
9,130,117,116,123,129
10,144,130,130,136,142
11,162,146,146,154,157
12,181,163,162,171,177
13,194,174,175,184,193
14,209,189,188,198,206
15,228,205,205,216,221
16,245,220,221,232,241
17,267,241,241,253,260
18,283,255,255,266,273
19,302,272,272,284,288
20,320,289,288,302,309
21,334,302,301,315,323
22,350,316,316,328,338
23,372,333,332,346,353
24,389,349,349,364,374
25,415,372,372,387,400
26,431,386,386,402,414
27,450,403,403,419,430
28,470,421,421,438,451
29,485,434,434,451,467
30,502,449,450,467,482
31,520,466,465,485,497
32,540,483,483,503,517
33,570,510,510,526,544
34,586,524,524,541,559
35,606,542,541,559,576
36,626,560,558,578,597
37,640,574,573,592,612
38,657,589,588,607,628
39,676,607,606,627,645
40,696,624,624,645,666
41,727,651,649,678,699
42,745,668,664,694,716
43,765,685,684,719,730
44,785,703,701,730,753
45,800,716,714,745,770
46,817,733,731,763,786
47,838,751,749,780,803
48,859,769,768,801,826
49,901,804,800,839,864
50,921,821,819,859,880
51,942,840,836,878,899
52,963,859,857,897,921
53,978,872,870,914,937
54,1000,890,888,930,953
55,1018,910,904,950,971
56,1039,929,924,970,996
57,1092,962,963,1013,1043
58,1111,979,980,1029,1062
59,1133,997,1001,1052,1080
60,1156,1019,1021,1073,1104
61,1175,1033,1036,1089,1124
62,1191,1051,1051,1105,1139
63,1211,1069,1070,1125,1156
64,1233,1091,1092,1146,1182
65,1280,1132,1133,1189,1232
66,1305,1150,1153,1207,1251
67,1325,1169,1172,1228,1271
68,1345,1190,1188,1250,1294
69,1362,1203,1206,1264,1308
70,1383,1223,1224,1281,1329
71,1401,1241,1243,1303,1349
72,1423,1256,1258,1321,1368
73,1462,1303,1306,1364,1420
74,1477,1317,1323,1380,1435
75,1501,1335,1339,1399,1454
76,1519,1358,1360,1422,1479
77,1534,1369,1372,1434,1493
78,1556,1385,1389,1451,1510
79,1576,1405,1412,1470,1532
80,1596,1423,1429,1495,1555
81,1647,1469,1483,1541,1604
82,1667,1487,1502,1557,1622
83,1695,1508,1520,1578,1643
84,1716,1529,1545,1602,1666
85,1733,1547,1561,1621,1685
86,1753,1564,1577,1637,1705
87,1776,1588,1601,1662,1727
88,1797,1607,1626,1684,1757
89,1860,1664,1684,1738,1812
90,1884,1687,1707,1759,1832
91,1908,1709,1728,1784,1853
92,1934,1730,1751,1808,1885
93,1952,1748,1769,1827,1898
94,1976,1770,1791,1847,1918
95,1996,1788,1808,1869,1940
96,2017,1806,1829,1888,1962
97,2074,1863,1886,1943,2016
98,2100,1885,1905,1961,2039
99,2123,1904,1928,1984,2061
100,2150,1929,1954,2010,2094
