n,Insert Cache Pair (O1),Insert Cache Pair (O2),Insert Cache Pair (O3),Insert Cache Pair (Os),Insert Cache Pair (Oz)
3,19,20,20,18,19
4,28,30,31,28,29
5,38,42,43,39,40
6,49,55,56,49,51
7,60,68,70,60,63
8,73,82,84,73,74
9,85,97,99,85,88
10,97,112,115,98,101
11,110,128,131,111,115
12,128,143,148,126,131
13,141,161,165,142,148
14,156,180,184,157,164
15,172,200,201,172,181
16,188,222,220,188,199
17,203,242,241,204,215
18,220,262,261,219,232
19,236,283,282,235,249
20,254,305,302,252,267
21,270,328,324,269,286
22,289,349,345,286,305
23,307,373,367,304,326
24,327,398,391,323,347
25,347,422,415,344,369
26,367,450,439,362,393
27,388,473,465,383,412
28,409,502,492,404,437
29,430,530,518,424,460
30,457,557,546,446,484
31,479,590,574,474,515
32,500,624,609,495,540
33,524,654,639,516,567
34,545,686,670,540,595
35,569,718,700,565,624
36,592,749,732,588,650
37,616,783,762,610,678
38,643,815,794,638,711
39,668,852,831,660,737
40,693,886,862,687,767
41,718,923,898,711,799
42,746,959,934,741,830
43,775,1000,971,769,864
44,804,1039,1012,797,898
45,832,1075,1049,824,931
46,862,1118,1089,854,962
47,893,1158,1128,883,1000
48,924,1202,1172,918,1035
49,956,1246,1211,943,1072
50,988,1290,1254,978,1109
51,1020,1334,1300,1011,1149
52,1052,1378,1341,1042,1185
53,1087,1422,1388,1074,1228
54,1122,1471,1433,1110,1267
55,1155,1521,1480,1147,1305
56,1188,1567,1530,1182,1348
57,1230,1615,1577,1213,1389
58,1264,1665,1627,1252,1433
59,1301,1717,1676,1286,1476
60,1337,1766,1724,1325,1517
61,1378,1820,1778,1362,1561
62,1410,1869,1830,1395,1605
63,1452,1926,1879,1437,1649
64,1493,1981,1932,1480,1703
65,1530,2033,1984,1513,1747
66,1570,2090,2039,1553,1790
67,1611,2144,2101,1598,1841
68,1653,2204,2154,1641,1887
69,1697,2256,2207,1675,1937
70,1737,2319,2269,1716,1985
71,1779,2376,2327,1763,2034
72,1822,2432,2384,1803,2091
73,1864,2492,2440,1848,2139
74,1910,2554,2499,1887,2193
75,1948,2616,2565,1932,2242
76,1991,2675,2619,1976,2293
77,2033,2741,2681,2014,2340
78,2080,2807,2741,2059,2398
79,2126,2861,2802,2112,2452
80,2174,2931,2868,2151,2504
81,2217,2992,2930,2198,2558
82,2262,3060,2999,2244,2616
83,2298,3109,3043,2276,2658
84,2348,3178,3108,2322,2715
85,2393,3245,3174,2370,2770
86,2443,3311,3252,2422,2830
87,2495,3385,3316,2472,2893
88,2548,3457,3381,2521,2953
89,2602,3533,3456,2577,3017
90,2653,3603,3532,2626,3079
91,2701,3673,3598,2674,3134
92,2754,3746,3670,2727,3197
93,2810,3819,3748,2781,3259
94,2867,3892,3822,2840,3331
95,2921,3974,3897,2892,3399
96,2977,4055,3972,2948,3460
97,3025,4124,4043,2996,3525
98,3081,4198,4118,3053,3589
99,3137,4279,4202,3109,3654
100,3199,4353,4283,3161,3726
