n,Tournament External Cache Branchless (O1),Tournament External Cache Branchless (O2),Tournament External Cache Branchless (O3),Tournament External Cache Branchless (Os),Tournament External Cache Branchless (Oz)
3,20,23,21,21,21
4,27,41,37,28,27
5,40,63,55,41,41
6,50,79,68,51,49
7,61,104,91,60,60
8,72,123,108,71,72
9,85,153,132,84,84
10,98,179,156,98,97
11,112,204,178,111,109
12,126,216,188,123,120
13,139,255,222,134,133
14,153,275,239,146,145
15,166,298,259,158,158
16,180,318,277,171,170
17,195,357,308,186,185
18,210,394,340,202,201
19,225,431,373,217,216
20,239,464,401,233,231
21,254,502,435,248,246
22,270,531,459,263,260
23,286,557,489,278,274
24,303,571,501,291,289
25,319,611,532,305,302
26,334,638,554,319,317
27,351,663,578,334,331
28,367,689,597,348,346
29,383,714,621,362,361
30,399,742,642,376,375
31,415,766,664,391,391
32,431,790,684,416,405
33,448,839,723,423,422
34,466,883,761,442,440
35,484,928,799,460,458
36,503,971,840,477,478
37,520,1016,879,498,494
38,537,1060,921,514,512
39,554,1100,954,536,529
40,573,1153,993,551,547
41,592,1191,1028,570,565
42,611,1233,1060,586,581
43,630,1263,1093,607,599
44,650,1294,1122,623,616
45,670,1327,1155,642,635
46,688,1359,1184,660,651
47,708,1387,1210,677,669
48,726,1414,1237,694,687
49,747,1445,1273,711,704
50,765,1483,1305,731,722
51,786,1518,1339,749,741
52,804,1545,1365,765,759
53,824,1580,1389,783,780
54,850,1612,1421,805,796
55,864,1642,1440,822,817
56,886,1672,1469,841,835
57,904,1706,1496,861,854
58,924,1741,1523,879,873
59,946,1772,1548,897,893
60,964,1804,1575,914,911
61,984,1834,1602,932,929
62,1006,1868,1629,952,949
63,1025,1901,1654,972,967
64,1044,1922,1679,990,988
65,1068,1982,1730,1012,1007
66,1088,2032,1774,1034,1030
67,1113,2089,1833,1056,1050
68,1130,2140,1870,1079,1071
69,1151,2197,1918,1102,1093
70,1172,2246,1985,1123,1113
71,1192,2300,2031,1147,1137
72,1213,2351,2080,1167,1153
73,1233,2410,2128,1184,1173
74,1256,2468,2169,1207,1194
75,1277,2548,2207,1229,1214
76,1295,2587,2252,1247,1234
77,1320,2628,2303,1271,1255
78,1339,2688,2336,1291,1276
79,1363,2737,2368,1311,1297
80,1379,2776,2417,1335,1319
81,1404,2833,2442,1353,1340
82,1427,2888,2499,1377,1363
83,1454,2929,2532,1402,1383
84,1476,2977,2572,1422,1409
85,1502,3019,2606,1443,1432
86,1527,3070,2642,1481,1451
87,1554,3099,2680,1488,1477
88,1581,3154,2713,1509,1500
89,1608,3191,2749,1537,1521
90,1631,3227,2789,1557,1542
91,1653,3270,2828,1578,1569
92,1677,3313,2870,1601,1587
93,1702,3350,2894,1625,1608
94,1723,3385,2928,1643,1629
95,1748,3424,2960,1665,1647
96,1770,3459,2997,1684,1668
97,1792,3503,3037,1706,1693
98,1814,3543,3080,1726,1713
99,1842,3589,3119,1752,1740
100,1864,3612,3151,1772,1757
