n,Tournament Cache Branchless (O1),Tournament Cache Branchless (O2),Tournament Cache Branchless (O3),Tournament Cache Branchless (Os),Tournament Cache Branchless (Oz)
3,35,25,24,45,44
4,57,43,41,68,68
5,82,62,61,94,95
6,102,78,75,117,117
7,133,105,101,146,148
8,154,123,117,170,173
9,191,155,145,209,211
10,223,179,168,244,247
11,257,203,191,277,280
12,282,220,205,302,306
13,317,257,241,336,339
14,341,278,260,363,367
15,368,302,282,393,399
16,394,322,301,421,428
17,438,362,336,465,470
18,481,399,368,509,516
19,523,437,400,553,559
20,560,469,428,592,602
21,608,505,464,636,645
22,640,527,489,671,681
23,668,553,525,705,714
24,693,569,528,734,744
25,735,607,563,770,779
26,771,641,591,806,818
27,804,668,616,838,851
28,834,695,640,871,885
29,866,721,666,907,918
30,899,747,688,938,955
31,930,777,714,975,990
32,961,804,739,1006,1021
33,1009,843,778,1058,1071
34,1058,889,815,1108,1121
35,1111,933,855,1157,1168
36,1159,975,892,1207,1223
37,1209,1017,932,1260,1277
38,1259,1059,970,1307,1326
39,1306,1102,1007,1357,1374
40,1354,1139,1039,1404,1418
41,1403,1183,1080,1456,1478
42,1447,1244,1115,1501,1519
43,1487,1300,1151,1544,1568
44,1528,1323,1177,1577,1602
45,1569,1358,1204,1620,1648
46,1601,1346,1233,1661,1682
47,1641,1374,1256,1698,1720
48,1683,1400,1283,1731,1756
49,1720,1441,1320,1774,1800
50,1761,1483,1353,1817,1845
51,1800,1515,1384,1857,1883
52,1841,1553,1415,1899,1925
53,1877,1584,1446,1941,1966
54,1917,1616,1472,1981,2011
55,1955,1660,1506,2022,2053
56,1992,1682,1530,2061,2088
57,2035,1717,1562,2097,2130
58,2069,1753,1590,2144,2168
59,2111,1785,1625,2186,2212
60,2143,1815,1649,2227,2252
61,2184,1850,1683,2265,2295
62,2218,1876,1711,2306,2335
63,2254,1915,1740,2344,2372
64,2294,1947,1771,2377,2408
65,2349,1997,1815,2444,2472
66,2408,2050,1857,2504,2532
67,2467,2099,1905,2560,2586
68,2520,2150,1947,2612,2646
69,2574,2194,1988,2670,2704
70,2632,2248,2033,2731,2766
71,2687,2299,2081,2789,2821
72,2747,2341,2122,2839,2878
73,2798,2395,2166,2896,2932
74,2857,2443,2211,2955,2998
75,2910,2492,2254,3012,3053
76,2959,2535,2295,3062,3104
77,3017,2584,2343,3128,3165
78,3067,2627,2380,3180,3223
79,3120,2828,2425,3234,3276
80,3171,2713,2468,3292,3338
81,3231,2767,2513,3355,3407
82,3292,2817,2558,3425,3464
83,3335,3012,2596,3475,3531
84,3391,2916,2640,3536,3590
85,3435,3087,2680,3596,3651
86,3481,3131,2719,3660,3711
87,3527,3163,2756,3711,3772
88,3575,3071,2794,3783,3824
89,3627,3256,2826,3832,3880
90,3675,3284,2862,3889,3951
91,3723,3320,2906,3949,3999
92,3761,3360,2932,4006,4064
93,3806,3278,2968,4057,4120
94,3841,3437,3007,4119,4183
95,3878,3480,3030,4173,4232
96,3924,3506,3068,4227,4291
97,3977,3556,3107,4292,4354
98,4027,3610,3146,4351,4412
99,4076,3654,3182,4412,4474
100,4118,3686,3219,4465,4534
